k xa ya xb yb
0 9.00000 2.000000 9.00000 2.000000
1 8.55000 1.000000 7.38000 -1.600000
2 8.12250 0.500000 6.05160 1.280000
3 7.71638 0.250000 4.96231 -1.024000
4 7.33056 0.125000 4.06910 0.819200
5 6.96403 0.062500 3.33666 -0.655360
6 6.61583 0.031250 2.73606 0.524288
7 6.28504 0.015625 2.24357 -0.419430
8 5.97078 0.007812 1.83973 0.335544
9 5.67224 0.003906 1.50858 -0.268435
10 5.38863 0.001953 1.23703 0.214748
11 5.11920 0.000977 1.01437 -0.171799
12 4.86324 0.000488 0.83178 0.137439
13 4.62008 0.000244 0.68206 -0.109951
14 4.38907 0.000122 0.55929 0.087961
15 4.16962 0.000061 0.45862 -0.070369
16 3.96114 0.000031 0.37607 0.056295
17 3.76308 0.000015 0.30837 -0.045036
18 3.57493 0.000008 0.25287 0.036029
19 3.39618 0.000004 0.20735 -0.028823
20 3.22637 0.000002 0.17003 0.023058
