t x v a
0.00 0.0000 0.0000 1.00
0.10 0.0050 0.1000 1.00
0.20 0.0200 0.2000 1.00
0.30 0.0450 0.3000 1.00
0.40 0.0800 0.4000 1.00
0.50 0.1250 0.5000 1.00
0.60 0.1800 0.6000 1.00
0.70 0.2450 0.7000 1.00
0.80 0.3200 0.8000 1.00
0.90 0.4050 0.9000 1.00
1.00 0.5000 1.0000 1.00
1.10 0.6050 1.1000 1.00
1.20 0.7200 1.2000 1.00
1.30 0.8450 1.3000 1.00
1.40 0.9800 1.4000 1.00
1.50 1.1250 1.5000 1.00
1.60 1.2800 1.6000 1.00
1.70 1.4450 1.7000 1.00
1.80 1.6200 1.8000 1.00
1.90 1.8050 1.9000 1.00
2.00 2.0000 2.0000 0.00
2.10 2.2000 2.0000 0.00
2.20 2.4000 2.0000 0.00
2.30 2.6000 2.0000 0.00
2.40 2.8000 2.0000 0.00
2.50 3.0000 2.0000 0.00
2.60 3.2000 2.0000 0.00
2.70 3.4000 2.0000 0.00
2.80 3.6000 2.0000 0.00
2.90 3.8000 2.0000 0.00
3.00 4.0000 2.0000 0.00
3.10 4.2000 2.0000 0.00
3.20 4.4000 2.0000 0.00
3.30 4.6000 2.0000 0.00
3.40 4.8000 2.0000 0.00
3.50 5.0000 2.0000 0.00
3.60 5.2000 2.0000 0.00
3.70 5.4000 2.0000 0.00
3.80 5.6000 2.0000 0.00
3.90 5.8000 2.0000 0.00
4.00 6.0000 2.0000 0.00
4.10 6.2000 2.0000 0.00
4.20 6.4000 2.0000 0.00
4.30 6.6000 2.0000 0.00
4.40 6.8000 2.0000 0.00
4.50 7.0000 2.0000 0.00
4.60 7.2000 2.0000 0.00
4.70 7.4000 2.0000 0.00
4.80 7.6000 2.0000 0.00
4.90 7.8000 2.0000 0.00
5.00 8.0000 2.0000 -1.00
5.10 8.1950 1.9000 -1.00
5.20 8.3800 1.8000 -1.00
5.30 8.5550 1.7000 -1.00
5.40 8.7200 1.6000 -1.00
5.50 8.8750 1.5000 -1.00
5.60 9.0200 1.4000 -1.00
5.70 9.1550 1.3000 -1.00
5.80 9.2800 1.2000 -1.00
5.90 9.3950 1.1000 -1.00
6.00 9.5000 1.0000 -1.00
6.10 9.5950 0.9000 -1.00
6.20 9.6800 0.8000 -1.00
6.30 9.7550 0.7000 -1.00
6.40 9.8200 0.6000 -1.00
6.50 9.8750 0.5000 -1.00
6.60 9.9200 0.4000 -1.00
6.70 9.9550 0.3000 -1.00
6.80 9.9800 0.2000 -1.00
6.90 9.9950 0.1000 -1.00
7.00 10.0000 -0.0000 0.00
