x1 y1 x2 y2
3.3923 1.9282 4.7846 2.8564
3.3654 1.9571 4.7307 2.9142
3.3281 1.9787 4.6561 2.9574
3.2806 1.9929 4.5613 2.9857
3.2235 1.9995 4.4470 2.9990
3.1570 1.9985 4.3140 2.9970
3.0817 1.9899 4.1634 2.9798
2.9982 1.9738 3.9964 2.9475
2.9071 1.9502 3.8142 2.9004
2.8091 1.9194 3.6182 2.8389
2.7049 1.8817 3.4098 2.7634
2.5954 1.8372 3.1908 2.6744
2.4813 1.7863 2.9626 2.5727
2.3636 1.7295 2.7272 2.4590
2.2431 1.6671 2.4862 2.3342
2.1207 1.5997 2.2415 2.1993
1.9975 1.5276 1.9949 2.0553
1.8742 1.4516 1.7484 1.9032
1.7519 1.3721 1.5039 1.7442
1.6315 1.2898 1.2631 1.5796
1.5139 1.2053 1.0279 1.4105
1.4000 1.1192 0.8001 1.2384
1.2907 1.0322 0.5814 1.0644
1.1868 0.9450 0.3735 0.8899
1.0890 0.8582 0.1780 0.7163
0.9982 0.7724 -0.0036 0.5448
0.9150 0.6884 -0.1700 0.3768
0.8401 0.6068 -0.3198 0.2136
0.7740 0.5281 -0.4520 0.0563
0.7172 0.4531 -0.5656 -0.0938
0.6702 0.3822 -0.6596 -0.2356
0.6333 0.3160 -0.7334 -0.3679
0.6068 0.2551 -0.7863 -0.4899
0.5909 0.1997 -0.8181 -0.6005
0.5858 0.1505 -0.8284 -0.6989
0.5914 0.1078 -0.8172 -0.7845
0.6077 0.0718 -0.7846 -0.8564
0.6346 0.0429 -0.7307 -0.9142
0.6719 0.0213 -0.6561 -0.9574
0.7194 0.0071 -0.5613 -0.9857
0.7765 0.0005 -0.4470 -0.9990
0.8430 0.0015 -0.3140 -0.9970
0.9183 0.0101 -0.1634 -0.9798
1.0018 0.0262 0.0036 -0.9475
1.0929 0.0498 0.1858 -0.9004
1.1909 0.0806 0.3818 -0.8389
1.2951 0.1183 0.5902 -0.7634
1.4046 0.1628 0.8092 -0.6744
1.5187 0.2137 1.0374 -0.5727
1.6364 0.2705 1.2728 -0.4590
1.7569 0.3329 1.5138 -0.3342
1.8793 0.4003 1.7585 -0.1993
2.0025 0.4724 2.0051 -0.0553
2.1258 0.5484 2.2516 0.0968
2.2481 0.6279 2.4961 0.2558
2.3685 0.7102 2.7369 0.4204
2.4861 0.7947 2.9721 0.5895
2.6000 0.8808 3.1999 0.7616
2.7093 0.9678 3.4186 0.9356
2.8132 1.0550 3.6265 1.1101
2.9110 1.1418 3.8220 1.2837
3.0018 1.2276 4.0036 1.4552
3.0850 1.3116 4.1700 1.6232
3.1599 1.3932 4.3198 1.7864
3.2260 1.4719 4.4520 1.9437
3.2828 1.5469 4.5656 2.0938
3.3298 1.6178 4.6596 2.2356
3.3667 1.6840 4.7334 2.3679
3.3932 1.7449 4.7863 2.4899
3.4091 1.8003 4.8181 2.6005
3.4142 1.8495 4.8284 2.6989
3.4086 1.8922 4.8172 2.7845
3.3923 1.9282 4.7846 2.8564
