x y
1.8665 0.6300
3.1808 0.4749
-0.7895 -0.2447
2.2611 1.5900
1.7459 0.5329
0.7160 -0.0229
2.6543 1.0105
1.3912 0.5408
1.3914 0.2679
2.0448 0.5503
0.7818 0.2889
1.4379 0.8459
3.2130 2.2296
-0.4571 -1.5187
4.7811 2.0453
0.7965 0.2669
0.3194 0.2679
1.6364 0.9102
2.0209 1.4807
3.6775 1.8916
1.2149 1.4448
3.3320 1.3080
2.5438 1.8835
1.9987 1.7109
4.3271 3.1580
0.9111 -0.4884
1.4846 1.3098
1.6296 1.2904
-1.3745 -1.1024
2.5816 0.9733
1.1465 0.3253
2.2750 1.1267
1.3597 0.0000
4.7338 1.5144
0.3128 -0.0851
-0.1003 -0.4050
2.9147 1.8667
2.4178 0.6044
2.7940 2.4789
1.4033 0.8260
2.5561 1.0000
0.7845 0.1334
3.0902 1.6547
3.2137 1.9113
0.6352 -0.3592
0.1767 -0.5744
1.9939 0.5464
2.2977 1.2239
2.7796 1.1419
3.1475 1.3237
4.2512 2.3595
1.2161 0.9657
0.4895 1.3138
1.6695 0.5344
-0.3461 -1.1269
0.8885 -0.2543
1.9953 -0.0611
0.7872 0.1064
2.9309 2.5227
0.9230 0.3066
3.0486 1.6758
2.0484 1.4218
1.0545 0.0108
2.8969 1.3119
4.0254 2.0323
1.9573 1.3429
0.3622 -0.5264
1.3431 0.3232
-0.8772 -0.9443
1.5331 0.1856
3.0787 1.8275
2.4471 1.4879
4.0103 2.6960
2.8251 2.4758
2.1294 1.6760
3.8358 2.4544
3.3572 1.6431
2.0444 0.8592
1.4466 1.0329
1.1128 0.3615
4.0979 1.9661
2.7989 0.3922
1.0123 0.2128
2.1146 1.5862
1.0153 0.4623
3.3171 2.0449
1.7375 0.3495
0.4214 0.2206
4.7120 2.8736
3.4789 2.5967
1.1502 -0.1597
3.2067 1.8592
1.9541 1.7892
1.0384 0.2071
1.7002 -0.2922
1.3537 1.0348
2.4253 0.9018
0.7263 1.2036
1.9928 0.3928
0.4530 -1.0410
1.4438 0.3164
0.9151 -0.1799
0.0823 -0.1171
4.8939 1.8684
2.1190 1.7750
1.8065 0.9071
2.1454 1.4935
1.4051 0.7541
3.0763 2.3560
0.4250 -0.7494
-1.3836 -0.8674
3.1519 0.7443
0.9472 0.5978
3.2735 0.8866
0.5804 -0.2626
1.9509 2.4967
-1.1993 -0.6203
2.4730 1.6644
5.1500 3.1573
3.3768 1.2269
4.0734 2.6646
1.8360 0.9765
1.0371 -0.0967
4.1609 1.4859
2.2781 1.5940
2.0490 1.3773
3.7607 1.9217
3.3761 1.2464
-0.8003 -0.4089
3.2507 1.4221
2.4374 0.5165
1.7143 0.1139
2.7700 0.9625
2.9983 0.9501
4.4295 2.1004
3.0199 1.5214
1.5252 1.5041
0.9318 0.1520
1.1602 0.0699
-0.1530 -0.1400
3.7003 2.5396
1.5300 -0.7568
3.1591 1.5181
4.9498 2.3929
3.1946 2.0689
0.9302 1.6983
2.2628 1.7951
1.8230 1.0276
4.0886 1.3653
2.8790 1.9957
-0.3536 -0.2444
1.5143 0.2254
-0.4695 0.0759
2.7506 1.4755
3.0228 2.4705
1.4578 0.5875
1.3242 0.7863
2.8809 0.9200
4.2186 1.5447
0.8075 1.3974
4.3313 2.6285
1.6720 0.2521
1.9875 0.4021
0.4761 -0.3353
1.6903 1.1613
3.0428 0.7324
2.5504 1.7770
2.0607 1.1640
3.4687 2.0561
0.9771 0.3377
-0.6050 -0.8483
3.8511 1.3646
0.4107 -0.0912
0.4780 0.2313
-0.5767 -0.0373
2.4577 1.4524
0.7955 -0.4674
-0.3207 0.1043
0.6813 0.0129
1.8565 0.3038
2.0650 0.7276
2.0022 0.7356
1.3123 1.1754
3.5938 2.5599
5.3093 2.0447
2.1645 1.1133
1.7922 -0.0240
2.0521 1.1027
0.2782 -0.2037
1.5060 0.1453
2.3717 1.0083
1.2661 -0.0207
3.0187 1.9887
-0.5863 -0.5185
1.6632 0.5894
0.3507 0.1906
-0.4951 -0.4857
3.4622 1.6685
3.6850 1.4511
0.0403 0.1274
3.2827 2.8125
1.8969 0.4169
1.4794 0.6158
3.5577 0.9942
1.8764 1.0746
5.4532 3.6004
1.2566 0.2519
1.9135 0.7915
3.2548 1.6430
0.4780 -0.7943
1.6241 0.8484
3.0945 1.4930
4.1611 1.9828
1.8981 1.1077
2.4926 2.9711
2.7625 1.5768
2.4202 1.0653
0.3073 -0.3858
-0.1411 0.1863
3.1990 2.3559
2.2267 2.6219
2.7706 1.0080
4.9815 2.2927
