size cells free dijkstra_full dijkstra_early cost dijkstra_mid cost_mid
10 100 76.0 74.5 69.6 16.408 35.4 10.663
20 400 298.2 292.3 289.5 33.421 128.0 19.540
30 900 678.8 662.9 662.5 49.027 280.9 26.241
40 1600 1202.8 1190.2 1190.0 67.191 499.0 35.859
50 2500 1856.9 1830.5 1829.8 82.994 718.3 43.078
60 3600 2705.5 2684.9 2684.2 98.728 1147.3 52.286
70 4900 3685.5 3652.4 3650.7 115.930 1522.7 59.997
80 6400 4816.5 4777.9 4777.1 133.587 1949.8 68.181
90 8100 6086.8 6034.8 6031.8 149.228 2414.1 75.170
100 10000 7498.5 7437.7 7436.6 165.489 3020.4 85.252
