size cells free dijkstra4 astar_manh wastar_m15 wastar_m20 dijkstra8 astar_oct wastar_o15 wastar_o20 ratio_m15 ratio_m20 ratio_o15 ratio_o20
10 100 76.5 72.7 25.4 25.2 25.2 71.8 28.5 19.2 18.0 1.0111 1.0333 1.0075 1.0075
20 400 301.4 294.1 64.5 58.6 58.8 293.8 122.3 47.7 42.3 1.0105 1.0416 1.0117 1.0426
30 900 676.2 660.4 148.3 96.7 94.0 659.6 284.9 81.7 57.5 1.0482 1.0823 1.0203 1.0276
40 1600 1200.0 1185.2 176.7 140.8 137.5 1185.2 512.2 97.0 82.9 1.0436 1.0769 1.0266 1.0384
50 2500 1871.4 1853.5 299.2 175.1 169.1 1853.5 896.4 147.2 107.5 1.0488 1.0917 1.0403 1.0603
60 3600 2689.4 2655.8 480.9 259.2 244.6 2655.7 1175.9 159.9 128.1 1.0707 1.1094 1.0324 1.0458
70 4900 3690.8 3656.4 378.2 213.7 204.6 3656.1 1650.0 187.5 140.2 1.0667 1.0941 1.0337 1.0421
80 6400 4771.6 4722.3 648.3 341.7 316.8 4721.3 2113.1 229.5 185.5 1.0709 1.1188 1.0311 1.0464
90 8100 6060.4 6000.0 715.6 319.3 303.1 6000.0 2612.3 235.1 184.4 1.0764 1.1146 1.0297 1.0451
100 10000 7513.3 7451.8 756.2 379.5 371.8 7451.5 3323.6 380.1 271.3 1.0694 1.1197 1.0451 1.0582
