event dsl_exp astar_exp dsl_ms astar_ms dsl_cum astar_cum onpath cost
0 1285.1 278.6 33.154 1.429 1285.1 278.6 0.00 98.0
1 3.6 278.9 0.172 1.283 1288.7 557.5 0.60 97.0
2 41.8 301.8 1.527 1.306 1330.5 859.3 0.70 96.0
3 12.6 308.1 0.409 1.270 1343.1 1167.4 0.60 95.0
4 75.6 333.1 2.260 1.421 1418.7 1500.5 0.80 94.2
5 166.4 357.3 5.571 1.551 1585.1 1857.8 0.60 93.4
6 34.3 357.5 0.997 1.554 1619.4 2215.3 0.60 92.6
7 22.2 372.0 0.725 1.797 1641.6 2587.3 0.40 91.6
8 1.7 370.5 0.097 1.566 1643.3 2957.8 0.30 90.6
9 15.2 367.3 0.551 1.696 1658.5 3325.1 0.60 89.6
10 5.1 368.6 0.206 1.591 1663.6 3693.7 0.60 88.6
11 7.2 328.3 0.286 1.454 1670.8 4022.0 0.60 87.6
12 1.6 327.4 0.096 1.378 1672.4 4349.4 0.50 86.6
13 174.4 387.1 5.829 1.595 1846.8 4736.5 0.50 85.8
14 2.4 384.3 0.134 1.643 1849.2 5120.8 0.80 84.8
15 11.5 393.3 0.380 1.636 1860.7 5514.1 0.50 83.8
16 54.3 404.8 1.595 1.693 1915.0 5918.9 0.40 83.0
17 1.5 399.9 0.100 1.610 1916.5 6318.8 0.40 82.0
18 1.0 398.6 0.107 1.808 1917.5 6717.4 0.10 81.0
19 2.7 388.5 0.128 1.675 1920.2 7105.9 0.60 80.0
20 17.0 389.0 0.590 1.769 1937.2 7494.9 0.40 79.0
21 13.7 388.2 0.433 1.768 1950.9 7883.1 0.50 78.2
22 8.1 390.4 0.338 1.603 1959.0 8273.5 0.50 77.2
23 9.8 386.7 0.394 1.939 1968.8 8660.2 0.60 76.2
24 19.0 381.6 0.655 1.697 1987.8 9041.8 0.40 75.4
25 1.2 362.0 0.117 1.764 1989.0 9403.8 0.40 74.4
26 85.1 387.6 2.902 2.044 2074.1 9791.4 0.20 73.6
27 41.8 374.5 1.638 1.659 2115.9 10165.9 0.70 72.8
28 12.1 355.4 0.557 1.466 2128.0 10521.3 0.40 71.8
29 17.9 366.7 0.570 1.542 2145.9 10888.0 0.50 71.0
30 3.2 364.5 0.178 1.599 2149.1 11252.5 0.40 70.0
31 5.1 356.9 0.205 1.582 2154.2 11609.4 0.80 69.0
32 17.7 362.2 0.564 1.483 2171.9 11971.6 0.60 68.0
33 1.6 333.4 0.099 1.360 2173.5 12305.0 0.40 67.0
34 1.4 319.7 0.100 1.420 2174.9 12624.7 0.50 66.0
35 2.9 307.4 0.150 1.542 2177.8 12932.1 0.30 65.0
36 2.9 301.1 0.171 1.298 2180.7 13233.2 0.50 64.0
37 78.7 312.0 3.276 1.271 2259.4 13545.2 0.30 63.2
38 20.0 307.9 0.648 1.231 2279.4 13853.1 0.90 62.4
39 3.6 294.8 0.159 1.210 2283.0 14147.9 0.40 61.4
40 33.1 296.5 1.016 1.249 2316.1 14444.4 0.40 60.6
