k conflicts_mean vertex_mean swap_mean pairs_mean free_frac
2 0.117 0.117 0.000 0.050 0.950
4 0.400 0.367 0.033 0.400 0.650
6 1.767 1.467 0.300 1.333 0.333
8 3.500 2.883 0.617 2.633 0.050
10 5.083 4.183 0.900 4.133 0.017
12 7.233 5.883 1.350 6.000 0.000
14 10.683 8.867 1.817 8.033 0.000
16 14.783 11.967 2.817 11.650 0.000
18 18.067 15.150 2.917 14.133 0.000
20 20.817 17.083 3.733 17.033 0.000
22 26.583 21.783 4.800 21.183 0.000
24 32.583 27.033 5.550 25.633 0.000
26 37.233 31.300 5.933 29.250 0.000
28 45.267 37.617 7.650 34.867 0.000
30 50.533 42.017 8.517 39.367 0.000
32 58.633 48.167 10.467 46.200 0.000
34 66.667 55.400 11.267 50.883 0.000
36 75.050 62.150 12.900 59.500 0.000
38 81.700 68.200 13.500 63.367 0.000
40 96.883 81.250 15.633 71.967 0.000
