k states16 states54 free54 states400 moves
1 1.6000e+01 5.4000e+01 5.4000e+01 4.0000e+02 5.0000e+00
2 2.5600e+02 2.9160e+03 2.8620e+03 1.6000e+05 2.5000e+01
3 4.0960e+03 1.5746e+05 1.4882e+05 6.4000e+07 1.2500e+02
4 6.5536e+04 8.5031e+06 7.5900e+06 2.5600e+10 6.2500e+02
5 1.0486e+06 4.5917e+08 3.7950e+08 1.0240e+13 3.1250e+03
6 1.6777e+07 2.4795e+10 1.8596e+10 4.0960e+15 1.5625e+04
7 2.6844e+08 1.3389e+12 8.9259e+11 1.6384e+18 7.8125e+04
8 4.2950e+09 7.2302e+13 4.1952e+13 6.5536e+20 3.9062e+05
9 6.8719e+10 3.9043e+15 1.9298e+15 2.6214e+23 1.9531e+06
10 1.0995e+12 2.1083e+17 8.6840e+16 1.0486e+26 9.7656e+06
11 1.7592e+13 1.1385e+19 3.8209e+18 4.1943e+28 4.8828e+07
12 2.8147e+14 6.1479e+20 1.6430e+20 1.6777e+31 2.4414e+08
13 4.5036e+15 3.3199e+22 6.9006e+21 6.7109e+33 1.2207e+09
14 7.2058e+16 1.7927e+24 2.8293e+23 2.6844e+36 6.1035e+09
15 1.1529e+18 9.6807e+25 1.1317e+25 1.0737e+39 3.0518e+10
16 1.8447e+19 5.2276e+27 4.4136e+26 4.2950e+41 1.5259e+11
17 2.9515e+20 2.8229e+29 1.6772e+28 1.7180e+44 7.6294e+11
18 4.7224e+21 1.5244e+31 6.2056e+29 6.8719e+46 3.8147e+12
19 7.5558e+22 8.2315e+32 2.2340e+31 2.7488e+49 1.9073e+13
20 1.2089e+24 4.4450e+34 7.8190e+32 1.0995e+52 9.5367e+13
