t ax ay bx by avx avy sep_vo sep_none tc_pref
0.0000 -5.0000 0.0000 0.0000 -5.0000 0.8966 0.0784 7.0711 7.0711 4.5586
0.1000 -4.9103 0.0078 0.0000 -4.9100 1.0340 0.1823 6.9496 6.9367 4.4653
0.2000 -4.8069 0.0261 0.0000 -4.8200 1.0340 0.1823 6.8258 6.8024 4.3714
0.3000 -4.7035 0.0443 0.0000 -4.7300 1.0340 0.1823 6.7020 6.6681 4.2777
0.4000 -4.6001 0.0625 0.0000 -4.6400 1.0340 0.1823 6.5784 6.5337 4.1843
0.5000 -4.4967 0.0808 0.0000 -4.5500 1.0340 0.1823 6.4548 6.3994 4.0911
0.6000 -4.3933 0.0990 0.0000 -4.4600 1.0340 0.1823 6.3313 6.2651 3.9982
0.7000 -4.2899 0.1172 0.0000 -4.3700 1.0340 0.1823 6.2080 6.1308 3.9055
0.8000 -4.1865 0.1355 0.0000 -4.2800 1.0340 0.1823 6.0847 5.9965 3.8131
0.9000 -4.0831 0.1537 0.0000 -4.1900 1.2000 0.0000 5.9615 5.8623 3.7209
1.0000 -3.9631 0.1537 0.0000 -4.1000 1.2000 0.0000 5.8138 5.7280 3.6157
1.1000 -3.8431 0.1537 0.0000 -4.0100 1.2000 0.0000 5.6662 5.5938 3.5108
1.2000 -3.7231 0.1537 0.0000 -3.9200 1.2000 0.0000 5.5188 5.4595 3.4061
1.3000 -3.6031 0.1537 0.0000 -3.8300 1.2000 0.0000 5.3714 5.3253 3.3016
1.4000 -3.4831 0.1537 0.0000 -3.7400 1.2000 0.0000 5.2243 5.1911 3.1974
1.5000 -3.3631 0.1537 0.0000 -3.6500 1.2000 0.0000 5.0773 5.0569 3.0934
1.6000 -3.2431 0.1537 0.0000 -3.5600 1.2000 0.0000 4.9305 4.9228 2.9897
1.7000 -3.1231 0.1537 0.0000 -3.4700 1.2000 0.0000 4.7838 4.7886 2.8863
1.8000 -3.0031 0.1537 0.0000 -3.3800 1.2000 0.0000 4.6374 4.6545 2.7832
1.9000 -2.8831 0.1537 0.0000 -3.2900 1.2000 0.0000 4.4913 4.5204 2.6804
2.0000 -2.7631 0.1537 0.0000 -3.2000 1.2000 0.0000 4.3454 4.3863 2.5779
2.1000 -2.6431 0.1537 0.0000 -3.1100 1.2000 0.0000 4.1997 4.2523 2.4757
2.2000 -2.5231 0.1537 0.0000 -3.0200 1.2000 0.0000 4.0544 4.1183 2.3739
2.3000 -2.4031 0.1537 0.0000 -2.9300 1.2000 0.0000 3.9095 3.9843 2.2724
