t ax ay bx by avy bvy sep a1x a1y a1vy
0.0000 -5.0000 0.0000 5.0000 0.2000 -0.1823 0.1823 10.0020 -5.0000 0.0000 -0.1823
0.1000 -4.8966 -0.0182 4.8966 0.2182 0.0018 -0.0018 9.7960 -4.8966 -0.0182 -0.1823
0.2000 -4.7966 -0.0180 4.7966 0.2180 -0.1823 0.1823 9.5961 -4.7932 -0.0365 -0.1823
0.3000 -4.6932 -0.0363 4.6932 0.2363 0.0037 -0.0037 9.3903 -4.6898 -0.0547 -0.1823
0.4000 -4.5932 -0.0359 4.5932 0.2359 -0.1823 0.1823 9.1904 -4.5864 -0.0729 -0.1823
0.5000 -4.4898 -0.0541 4.4898 0.2541 0.0057 -0.0057 8.9849 -4.4830 -0.0912 -0.1823
0.6000 -4.3898 -0.0536 4.3898 0.2536 -0.1823 0.1823 8.7849 -4.3796 -0.1094 -0.1823
0.7000 -4.2864 -0.0718 4.2864 0.2718 0.0077 -0.0077 8.5796 -4.2762 -0.1276 -0.1823
0.8000 -4.1864 -0.0710 4.1864 0.2710 -0.1823 0.1823 8.3798 -4.1728 -0.1459 -0.1823
0.9000 -4.0830 -0.0893 4.0830 0.2893 0.0098 -0.0098 8.1747 -4.0694 -0.1641 -0.1823
1.0000 -3.9830 -0.0883 3.9830 0.2883 -0.1823 0.1823 7.9749 -3.9660 -0.1823 -0.1823
1.1000 -3.8796 -0.1065 3.8796 0.3065 0.0120 -0.0120 7.7701 -3.8625 -0.2006 -0.1823
1.2000 -3.7796 -0.1053 3.7796 0.3053 -0.1823 0.1823 7.5703 -3.7591 -0.2188 -0.1823
1.3000 -3.6762 -0.1235 3.6762 0.3235 0.0142 -0.0142 7.3659 -3.6557 -0.2370 -0.1823
1.4000 -3.5762 -0.1221 3.5762 0.3221 -0.1823 0.1823 7.1662 -3.5523 -0.2553 -0.1823
1.5000 -3.4728 -0.1404 3.4728 0.3404 0.0166 -0.0166 6.9622 -3.4489 -0.2735 -0.1823
1.6000 -3.3728 -0.1387 3.3728 0.3387 -0.1823 0.1823 6.7625 -3.3455 -0.2917 -0.1823
1.7000 -3.2694 -0.1569 3.2694 0.3569 0.0190 -0.0190 6.5590 -3.2421 -0.3100 -0.1823
1.8000 -3.1694 -0.1550 3.1694 0.3550 -0.1823 0.1823 6.3593 -3.1387 -0.3282 -0.1823
1.9000 -3.0660 -0.1733 3.0660 0.3733 0.0215 -0.0215 6.1563 -3.0353 -0.3464 -0.1823
2.0000 -2.9660 -0.1711 2.9660 0.3711 -0.1823 0.1823 5.9568 -2.9319 -0.3647 -0.1823
2.1000 -2.8626 -0.1894 2.8626 0.3894 0.0241 -0.0241 5.7544 -2.8285 -0.3829 -0.1823
2.2000 -2.7627 -0.1869 2.7627 0.3869 -0.1823 0.1823 5.5550 -2.7251 -0.4011 -0.1563
2.3000 -2.6593 -0.2052 2.6593 0.4052 0.0268 -0.0268 5.3534 -2.6365 -0.4168 -0.1563
2.4000 -2.5593 -0.2025 2.5593 0.4025 -0.2329 0.2329 5.1542 -2.5478 -0.4324 -0.1563
2.5000 -2.4724 -0.2258 2.4724 0.4258 0.0302 -0.0302 4.9875 -2.4592 -0.4480 -0.1563
2.6000 -2.3724 -0.2228 2.3724 0.4228 -0.2329 0.2329 4.7885 -2.3706 -0.4636 -0.1563
2.7000 -2.2855 -0.2461 2.2855 0.4461 0.0338 -0.0338 4.6230 -2.2819 -0.4793 -0.1563
2.8000 -2.1855 -0.2427 2.1855 0.4427 -0.1823 0.1823 4.4245 -2.1933 -0.4949 -0.1563
2.9000 -2.0821 -0.2609 2.0821 0.4609 0.0368 -0.0368 4.2263 -2.1047 -0.5105 -0.1563
