t none vo rvo orca
0.0000 7.6537 7.6537 7.6537 7.6537
0.1000 7.5742 7.5742 7.5742 7.5742
0.2000 7.4948 7.4948 7.4948 7.4948
0.3000 7.4154 7.4154 7.4154 7.4154
0.4000 7.3361 7.3361 7.3361 7.3361
0.5000 7.2567 7.2567 7.2567 7.2567
0.6000 7.1773 7.1773 7.1773 7.1773
0.7000 7.0980 7.0980 7.0980 7.0980
0.8000 7.0187 7.0187 7.0187 7.0187
0.9000 6.9394 6.9394 6.9394 6.9394
1.0000 6.8601 6.8601 6.8601 6.8601
1.1000 6.7809 6.7809 6.7809 6.7809
1.2000 6.7016 6.7016 6.7016 6.7016
1.3000 6.6224 6.6224 6.6224 6.6224
1.4000 6.5432 6.5432 6.5432 6.5432
1.5000 6.4640 6.4640 6.4640 6.4640
1.6000 6.3848 6.3848 6.3848 6.3848
1.7000 6.3056 6.3056 6.3056 6.3056
1.8000 6.2265 6.2265 6.2265 6.2265
1.9000 6.1474 6.1474 6.1474 6.1474
2.0000 6.0683 6.0683 6.0683 6.0683
2.1000 5.9892 5.9892 5.9892 5.9892
2.2000 5.9101 5.9101 5.9101 5.9101
2.3000 5.8310 5.8310 5.8310 5.8310
2.4000 5.7520 5.7520 5.7520 5.7520
2.5000 5.6730 5.6730 5.6730 5.6730
2.6000 5.5940 5.5940 5.5940 5.5940
2.7000 5.5150 5.5150 5.5150 5.5150
2.8000 5.4361 5.4361 5.4361 5.4361
2.9000 5.3571 5.3571 5.3571 5.3571
3.0000 5.2782 5.2782 5.2782 5.2782
3.1000 5.1993 5.1993 5.1993 5.1993
3.2000 5.1204 5.1204 5.1204 5.1204
3.3000 5.0416 5.0416 5.0416 5.0416
3.4000 4.9627 4.9627 4.9627 4.9627
3.5000 4.8839 4.8839 4.8839 4.8839
3.6000 4.8051 4.8095 4.8150 4.8060
3.7000 4.7263 4.7353 4.7362 4.7295
3.8000 4.6475 4.6611 4.6673 4.6546
3.9000 4.5688 4.5870 4.5939 4.5815
4.0000 4.4901 4.5129 4.5325 4.5098
4.1000 4.4114 4.4460 4.4535 4.4396
4.2000 4.3327 4.3720 4.3846 4.3708
4.3000 4.2541 4.3051 4.3272 4.3034
4.4000 4.1754 4.2312 4.2698 4.2373
4.5000 4.0968 4.1771 4.2124 4.1725
4.6000 4.0182 4.1031 4.1537 4.1090
4.7000 3.9397 4.0348 4.0733 4.0468
4.8000 3.8611 3.9763 4.0044 3.9858
4.9000 3.7826 3.9119 3.9471 3.9260
5.0000 3.7041 3.8386 3.8782 3.8674
5.1000 3.6257 3.7758 3.8208 3.8100
5.2000 3.5472 3.6986 3.7519 3.7537
5.3000 3.4688 3.6322 3.6945 3.6985
5.4000 3.3904 3.5740 3.6486 3.6444
5.5000 3.3121 3.5107 3.5786 3.5914
5.6000 3.2337 3.4559 3.5194 3.5394
5.7000 3.1554 3.3982 3.4600 3.4884
5.8000 3.0771 3.3301 3.3831 3.4384
