t vo_ax vo_ay vo_bx vo_by vo_vy rvo_ax rvo_ay rvo_bx rvo_by rvo_vy orca_ax orca_ay orca_bx orca_by orca_vy rvo01_vy
0.0000 -5.0000 0.0000 5.0000 0.5000 0.0000 -5.0000 0.0000 5.0000 0.5000 0.0000 -5.0000 0.0000 5.0000 0.5000 0.0000 0.0000
0.1000 -4.9103 -0.0078 4.9103 0.5078 -0.0784 -4.9100 0.0000 4.9100 0.5000 0.0000 -4.9003 -0.0050 4.9003 0.5050 -0.0500 0.0000
0.2000 -4.8203 -0.0078 4.8203 0.5078 0.0000 -4.8054 -0.0092 4.8054 0.5092 -0.0915 -4.8005 -0.0100 4.8005 0.5100 -0.0500 0.0784
0.3000 -4.7307 -0.0157 4.7307 0.5157 -0.0784 -4.7008 -0.0183 4.7008 0.5183 -0.0915 -4.7008 -0.0150 4.7008 0.5150 -0.0500 -0.0784
0.4000 -4.6407 -0.0157 4.6407 0.5157 0.0000 -4.5962 -0.0275 4.5962 0.5275 -0.0915 -4.6010 -0.0200 4.6010 0.5200 -0.0500 -0.0784
0.5000 -4.5373 -0.0339 4.5373 0.5339 -0.1823 -4.4916 -0.0366 4.4916 0.5366 -0.0915 -4.5013 -0.0250 4.5013 0.5250 -0.0500 0.1823
0.6000 -4.4373 -0.0336 4.4373 0.5336 0.0036 -4.3870 -0.0458 4.3870 0.5458 -0.0915 -4.4015 -0.0300 4.4015 0.5300 -0.0500 -0.1823
0.7000 -4.3339 -0.0518 4.3339 0.5518 -0.1823 -4.2824 -0.0549 4.2824 0.5549 -0.0915 -4.3018 -0.0350 4.3018 0.5350 -0.0500 0.1823
0.8000 -4.2339 -0.0512 4.2339 0.5512 0.0055 -4.1778 -0.0641 4.1778 0.5641 -0.0915 -4.2021 -0.0400 4.2021 0.5400 -0.0500 -0.1823
0.9000 -4.1305 -0.0695 4.1305 0.5695 -0.1823 -4.0732 -0.0732 4.0732 0.5732 -0.0915 -4.1024 -0.0450 4.1024 0.5450 -0.0500 0.1823
1.0000 -4.0305 -0.0687 4.0305 0.5687 0.0076 -3.9686 -0.0824 3.9686 0.5824 -0.0915 -4.0026 -0.0500 4.0026 0.5500 -0.0500 -0.1823
1.1000 -3.9271 -0.0869 3.9271 0.5869 -0.1823 -3.8640 -0.0915 3.8640 0.5915 -0.0915 -3.9029 -0.0550 3.9029 0.5550 -0.0500 0.1823
1.2000 -3.8271 -0.0860 3.8271 0.5860 0.0097 -3.7594 -0.1007 3.7594 0.6007 -0.0915 -3.8032 -0.0600 3.8032 0.5600 -0.0500 -0.1823
1.3000 -3.7237 -0.1042 3.7237 0.6042 -0.1823 -3.6548 -0.1098 3.6548 0.6098 -0.0915 -3.7035 -0.0650 3.7035 0.5650 -0.0500 0.1823
1.4000 -3.6237 -0.1030 3.6237 0.6030 0.0119 -3.5502 -0.1190 3.5502 0.6190 -0.0915 -3.6038 -0.0700 3.6038 0.5700 -0.0500 -0.1823
1.5000 -3.5203 -0.1212 3.5203 0.6212 -0.1823 -3.4456 -0.1281 3.4456 0.6281 -0.0915 -3.5041 -0.0750 3.5041 0.5750 -0.0500 0.1823
1.6000 -3.4203 -0.1198 3.4203 0.6198 0.0142 -3.3410 -0.1373 3.3410 0.6373 -0.0915 -3.4044 -0.0800 3.4044 0.5800 -0.0500 -0.1823
1.7000 -3.3169 -0.1381 3.3169 0.6381 -0.1823 -3.2364 -0.1464 3.2364 0.6464 -0.0915 -3.3047 -0.0850 3.3047 0.5850 -0.0500 0.1823
1.8000 -3.2169 -0.1364 3.2169 0.6364 0.0166 -3.1318 -0.1556 3.1318 0.6556 -0.0915 -3.2050 -0.0900 3.2050 0.5900 -0.0500 -0.1823
1.9000 -3.1123 -0.1455 3.1123 0.6455 -0.0915 -3.0272 -0.1647 3.0272 0.6647 -0.0915 -3.1053 -0.0950 3.1053 0.5950 -0.0500 -0.1823
2.0000 -3.0123 -0.1438 3.0123 0.6438 0.0179 -2.9226 -0.1739 2.9226 0.6739 -0.0915 -3.0056 -0.1000 3.0056 0.6000 -0.0500 -0.1823
2.1000 -2.9077 -0.1529 2.9077 0.6529 -0.0915 -2.8180 -0.1830 2.8180 0.6830 -0.0915 -2.9059 -0.1050 2.9059 0.6050 -0.0500 -0.1823
2.2000 -2.8077 -0.1510 2.8077 0.6510 0.0193 -2.7134 -0.1922 2.7134 0.6922 -0.0915 -2.8062 -0.1100 2.8062 0.6100 -0.0500 -0.1823
2.3000 -2.7043 -0.1692 2.7043 0.6692 -0.1823 -2.6088 -0.2013 2.6088 0.7013 -0.0915 -2.7066 -0.1150 2.7066 0.6150 -0.0500 -0.1823
2.4000 -2.6043 -0.1670 2.6043 0.6670 0.0220 -2.5042 -0.2105 2.5042 0.7105 -0.0915 -2.6069 -0.1200 2.6069 0.6200 -0.0500 -0.1823
2.5000 -2.4997 -0.1762 2.4997 0.6762 -0.0915 -2.3996 -0.2196 2.3996 0.7196 -0.0915 -2.5073 -0.1250 2.5073 0.6250 -0.0500 -0.1823
2.6000 -2.3998 -0.1738 2.3998 0.6738 0.0235 -2.2950 -0.2288 2.2950 0.7288 -0.0915 -2.4076 -0.1299 2.4076 0.6299 -0.0500 -0.1823
2.7000 -2.2952 -0.1830 2.2952 0.6830 -0.0915 -2.1904 -0.2379 2.1904 0.7379 -0.0915 -2.3080 -0.1349 2.3080 0.6349 -0.0499 -0.1823
2.8000 -2.1952 -0.1805 2.1952 0.6805 0.0251 -2.0858 -0.2471 2.0858 0.7471 -0.0915 -2.2083 -0.1399 2.2083 0.6399 -0.0499 -0.1823
2.9000 -2.0906 -0.1896 2.0906 0.6896 -0.0915 -1.9812 -0.2562 1.9812 0.7562 -0.0915 -2.1087 -0.1449 2.1087 0.6449 -0.0499 -0.1823
3.0000 -1.9906 -0.1869 1.9906 0.6869 0.0267 -1.8762 -0.2562 1.8762 0.7562 0.0000 -2.0091 -0.1499 2.0091 0.6499 -0.0499 -0.1823
3.1000 -1.8872 -0.2052 1.8872 0.7052 -0.1823 -1.7712 -0.2562 1.7712 0.7562 0.0000 -1.9094 -0.1549 1.9094 0.6549 -0.0499 -0.1823
3.2000 -1.7873 -0.2022 1.7873 0.7022 0.0298 -1.6662 -0.2562 1.6662 0.7562 0.0000 -1.8098 -0.1599 1.8098 0.6599 -0.0499 -0.1823
3.3000 -1.6827 -0.2113 1.6827 0.7113 -0.0915 -1.5612 -0.2562 1.5612 0.7562 0.0000 -1.7102 -0.1649 1.7102 0.6649 -0.0499 -0.1823
3.4000 -1.5827 -0.2082 1.5827 0.7082 0.0316 -1.4562 -0.2562 1.4562 0.7562 0.0000 -1.6106 -0.1699 1.6106 0.6699 -0.0499 -0.1823
3.5000 -1.4781 -0.2173 1.4781 0.7173 -0.0915 -1.3512 -0.2562 1.3512 0.7562 0.0000 -1.5110 -0.1749 1.5110 0.6749 -0.0499 -0.1823
3.6000 -1.3782 -0.2140 1.3782 0.7140 0.0335 -1.2462 -0.2562 1.2462 0.7562 0.0000 -1.4115 -0.1799 1.4115 0.6799 -0.0499 -0.1823
3.7000 -1.2736 -0.2231 1.2736 0.7231 -0.0915 -1.1412 -0.2562 1.1412 0.7562 0.0000 -1.3119 -0.1849 1.3119 0.6849 -0.0499 -0.0915
3.8000 -1.1736 -0.2196 1.1736 0.7196 0.0355 -1.0362 -0.2562 1.0362 0.7562 0.0000 -1.2123 -0.1899 1.2123 0.6899 -0.0499 -0.0915
3.9000 -1.0690 -0.2287 1.0690 0.7287 -0.0915 -0.9312 -0.2562 0.9312 0.7562 0.0000 -1.1128 -0.1948 1.1128 0.6948 -0.0499 -0.0915
4.0000 -0.9691 -0.2250 0.9691 0.7250 0.0377 -0.8262 -0.2562 0.8262 0.7562 0.0000 -1.0132 -0.1998 1.0132 0.6998 -0.0499 -0.0915
4.1000 -0.8645 -0.2341 0.8645 0.7341 -0.0915 -0.7212 -0.2562 0.7212 0.7562 0.0000 -0.9137 -0.2048 0.9137 0.7048 -0.0499 -0.0915
4.2000 -0.7646 -0.2301 0.7646 0.7301 0.0399 -0.6162 -0.2562 0.6162 0.7562 0.0000 -0.8142 -0.2098 0.8142 0.7098 -0.0499 -0.0915
4.3000 -0.6612 -0.2484 0.6612 0.7484 -0.1823 -0.5112 -0.2562 0.5112 0.7562 0.0000 -0.7147 -0.2148 0.7147 0.7148 -0.0499 -0.0915
4.4000 -0.5613 -0.2440 0.5613 0.7440 0.0438 -0.4062 -0.2562 0.4062 0.7562 0.0000 -0.6152 -0.2198 0.6152 0.7198 -0.0499 -0.0915
4.5000 -0.4567 -0.2531 0.4567 0.7531 -0.0915 -0.3012 -0.2562 0.3012 0.7562 0.0000 -0.5157 -0.2248 0.5157 0.7248 -0.0499 -0.0915
4.6000 -0.3568 -0.2485 0.3568 0.7485 0.0463 -0.1962 -0.2562 0.1962 0.7562 0.0000 -0.4163 -0.2298 0.4163 0.7298 -0.0499 -0.0915
4.7000 -0.2522 -0.2576 0.2522 0.7576 -0.0915 -0.0912 -0.2562 0.0912 0.7562 0.0000 -0.3168 -0.2347 0.3168 0.7347 -0.0498 -0.0915
4.8000 -0.1523 -0.2527 0.1523 0.7527 0.0490 0.0087 -0.2512 -0.0087 0.7512 0.0503 -0.2174 -0.2397 0.2174 0.7397 -0.0498 -0.0915
4.9000 -0.0477 -0.2619 0.0477 0.7619 -0.0915 0.1086 -0.2462 -0.1086 0.7462 0.0503 -0.1180 -0.2447 0.1180 0.7447 -0.0498 -0.0915
5.0000 0.0522 -0.2567 -0.0522 0.7567 0.0518 0.2084 -0.2412 -0.2084 0.7412 0.0503 -0.0186 -0.2497 0.0186 0.7497 -0.0498 0.0911
5.1000 0.1520 -0.2515 -0.1520 0.7515 0.0518 0.3083 -0.2361 -0.3083 0.7361 0.0503 0.0811 -0.2521 -0.0811 0.7521 -0.0241 0.0911
5.2000 0.2519 -0.2464 -0.2519 0.7464 0.0518 0.4082 -0.2311 -0.4082 0.7311 0.0503 0.1810 -0.2470 -0.1810 0.7470 0.0512 0.0911
5.3000 0.3517 -0.2412 -0.3517 0.7412 0.0518 0.5081 -0.2261 -0.5081 0.7261 0.0503 0.2809 -0.2419 -0.2809 0.7419 0.0512 0.0911
5.4000 0.4516 -0.2360 -0.4516 0.7360 0.0518 0.6079 -0.2211 -0.6079 0.7211 0.0503 0.3807 -0.2368 -0.3807 0.7368 0.0512 0.0911
5.5000 0.5515 -0.2308 -0.5515 0.7308 0.0518 0.7078 -0.2160 -0.7078 0.7160 0.0503 0.4806 -0.2316 -0.4806 0.7316 0.0512 0.0911
5.6000 0.6513 -0.2256 -0.6513 0.7256 0.0518 0.8077 -0.2110 -0.8077 0.7110 0.0503 0.5805 -0.2265 -0.5805 0.7265 0.0512 0.0911
5.7000 0.7512 -0.2204 -0.7512 0.7204 0.0518 0.9075 -0.2060 -0.9075 0.7060 0.0503 0.6803 -0.2214 -0.6803 0.7214 0.0512 0.0911
5.8000 0.8511 -0.2153 -0.8511 0.7153 0.0518 1.0074 -0.2009 -1.0074 0.7009 0.0503 0.7802 -0.2163 -0.7802 0.7163 0.0512 0.0911
5.9000 0.9509 -0.2101 -0.9509 0.7101 0.0518 1.1073 -0.1959 -1.1073 0.6959 0.0503 0.8801 -0.2112 -0.8801 0.7112 0.0512 0.0911
6.0000 1.0508 -0.2049 -1.0508 0.7049 0.0518 1.2072 -0.1909 -1.2072 0.6909 0.0503 0.9800 -0.2060 -0.9800 0.7060 0.0512 0.0911
6.1000 1.1507 -0.1997 -1.1507 0.6997 0.0518 1.3070 -0.1859 -1.3070 0.6859 0.0503 1.0798 -0.2009 -1.0798 0.7009 0.0512 0.0911
6.2000 1.2505 -0.1945 -1.2505 0.6945 0.0518 1.4069 -0.1808 -1.4069 0.6808 0.0503 1.1797 -0.1958 -1.1797 0.6958 0.0512 0.0911
6.3000 1.3504 -0.1894 -1.3504 0.6894 0.0518 1.5068 -0.1758 -1.5068 0.6758 0.0503 1.2796 -0.1907 -1.2796 0.6907 0.0512 0.0911
6.4000 1.4503 -0.1842 -1.4503 0.6842 0.0518 1.6067 -0.1708 -1.6067 0.6708 0.0503 1.3794 -0.1856 -1.3794 0.6856 0.0512 0.0911
6.5000 1.5501 -0.1790 -1.5501 0.6790 0.0518 1.7065 -0.1658 -1.7065 0.6658 0.0503 1.4793 -0.1804 -1.4793 0.6804 0.0512 0.0911
6.6000 1.6500 -0.1738 -1.6500 0.6738 0.0518 1.8064 -0.1607 -1.8064 0.6607 0.0503 1.5792 -0.1753 -1.5792 0.6753 0.0512 0.0911
6.7000 1.7499 -0.1686 -1.7499 0.6686 0.0518 1.9063 -0.1557 -1.9063 0.6557 0.0503 1.6790 -0.1702 -1.6790 0.6702 0.0512 0.0911
6.8000 1.8497 -0.1634 -1.8497 0.6634 0.0518 2.0062 -0.1507 -2.0062 0.6507 0.0503 1.7789 -0.1651 -1.7789 0.6651 0.0512 0.0911
6.9000 1.9496 -0.1583 -1.9496 0.6583 0.0518 2.1060 -0.1457 -2.1060 0.6457 0.0503 1.8788 -0.1600 -1.8788 0.6600 0.0512 0.0911
7.0000 2.0495 -0.1531 -2.0495 0.6531 0.0518 2.2059 -0.1406 -2.2059 0.6406 0.0503 1.9786 -0.1549 -1.9786 0.6549 0.0512 0.0911
7.1000 2.1493 -0.1479 -2.1493 0.6479 0.0518 2.3058 -0.1356 -2.3058 0.6356 0.0503 2.0785 -0.1497 -2.0785 0.6497 0.0512 0.0911
7.2000 2.2492 -0.1427 -2.2492 0.6427 0.0518 2.4057 -0.1306 -2.4057 0.6306 0.0503 2.1784 -0.1446 -2.1784 0.6446 0.0512 0.0911
7.3000 2.3491 -0.1375 -2.3491 0.6375 0.0518 2.5055 -0.1255 -2.5055 0.6255 0.0503 2.2782 -0.1395 -2.2782 0.6395 0.0512 0.0911
7.4000 2.4489 -0.1324 -2.4489 0.6324 0.0518 2.6054 -0.1205 -2.6054 0.6205 0.0503 2.3781 -0.1344 -2.3781 0.6344 0.0512 0.0911
7.5000 2.5488 -0.1272 -2.5488 0.6272 0.0518 2.7053 -0.1155 -2.7053 0.6155 0.0503 2.4780 -0.1293 -2.4780 0.6293 0.0512 0.0911
7.6000 2.6487 -0.1220 -2.6487 0.6220 0.0518 2.8051 -0.1105 -2.8051 0.6105 0.0503 2.5779 -0.1241 -2.5779 0.6241 0.0512 0.0911
7.7000 2.7485 -0.1168 -2.7485 0.6168 0.0518 2.9050 -0.1054 -2.9050 0.6054 0.0503 2.6777 -0.1190 -2.6777 0.6190 0.0512 0.0911
7.8000 2.8484 -0.1116 -2.8484 0.6116 0.0518 3.0049 -0.1004 -3.0049 0.6004 0.0503 2.7776 -0.1139 -2.7776 0.6139 0.0512 0.0911
7.9000 2.9483 -0.1065 -2.9483 0.6065 0.0518 3.1048 -0.0954 -3.1048 0.5954 0.0503 2.8775 -0.1088 -2.8775 0.6088 0.0512 0.0911
8.0000 3.0481 -0.1013 -3.0481 0.6013 0.0518 3.2046 -0.0904 -3.2046 0.5904 0.0503 2.9773 -0.1037 -2.9773 0.6037 0.0512 0.0911
8.1000 3.1480 -0.0961 -3.1480 0.5961 0.0518 3.3045 -0.0853 -3.3045 0.5853 0.0503 3.0772 -0.0986 -3.0772 0.5986 0.0512 0.0911
8.2000 3.2479 -0.0909 -3.2479 0.5909 0.0518 3.4044 -0.0803 -3.4044 0.5803 0.0503 3.1771 -0.0934 -3.1771 0.5934 0.0512 0.0911
8.3000 3.3477 -0.0857 -3.3477 0.5857 0.0518 3.5043 -0.0753 -3.5043 0.5753 0.0503 3.2769 -0.0883 -3.2769 0.5883 0.0512 0.0911
8.4000 3.4476 -0.0805 -3.4476 0.5805 0.0518 3.6041 -0.0703 -3.6041 0.5703 0.0503 3.3768 -0.0832 -3.3768 0.5832 0.0512 0.0911
8.5000 3.5475 -0.0754 -3.5475 0.5754 0.0518 3.7040 -0.0652 -3.7040 0.5652 0.0503 3.4767 -0.0781 -3.4767 0.5781 0.0512 0.0911
8.6000 3.6473 -0.0702 -3.6473 0.5702 0.0518 3.8039 -0.0602 -3.8039 0.5602 0.0503 3.5765 -0.0730 -3.5765 0.5730 0.0512 0.0911
8.7000 3.7472 -0.0650 -3.7472 0.5650 0.0518 3.9038 -0.0552 -3.9038 0.5552 0.0503 3.6764 -0.0678 -3.6764 0.5678 0.0512 0.0911
8.8000 3.8470 -0.0598 -3.8470 0.5598 0.0518 4.0036 -0.0501 -4.0036 0.5501 0.0503 3.7763 -0.0627 -3.7763 0.5627 0.0512 0.0911
8.9000 3.9469 -0.0546 -3.9469 0.5546 0.0518 4.1035 -0.0451 -4.1035 0.5451 0.0503 3.8761 -0.0576 -3.8761 0.5576 0.0512 0.0911
9.0000 4.0468 -0.0495 -4.0468 0.5495 0.0518 4.2034 -0.0401 -4.2034 0.5401 0.0503 3.9760 -0.0525 -3.9760 0.5525 0.0512 0.0911
9.1000 4.1466 -0.0443 -4.1466 0.5443 0.0518 4.3033 -0.0351 -4.3033 0.5351 0.0503 4.0759 -0.0474 -4.0759 0.5474 0.0512 0.0911
