t x y
0.000 0.0000 0.0000
0.250 0.1250 0.0000
0.500 0.3750 0.0000
0.750 0.7500 0.0000
1.000 1.2500 0.0000
1.250 1.7500 0.0000
1.500 2.2500 0.0000
1.750 2.7500 0.0000
2.000 3.2500 0.0000
2.250 3.7500 0.0000
2.500 4.1250 0.0000
2.750 4.3750 0.0000
3.000 4.5625 0.0000
3.250 4.6875 0.0000
3.500 4.6875 0.0000
3.750 4.5625 -0.0625
4.000 4.3125 -0.2500
4.250 3.9375 -0.5000
4.500 3.5625 -0.7500
4.750 3.1875 -1.0625
5.000 2.8125 -1.3750
5.250 2.5000 -1.7500
5.500 2.3125 -2.1875
5.750 2.2500 -2.6250
6.000 2.2500 -3.1250
6.250 2.2500 -3.6250
6.500 2.2500 -4.1250
6.750 2.2500 -4.6250
7.000 2.2500 -5.1250
7.250 2.2500 -5.6250
7.500 2.2500 -6.1250
7.750 2.2500 -6.6250
8.000 2.2500 -7.1250
8.250 2.2500 -7.6250
8.500 2.2500 -8.1250
8.750 2.2500 -8.6250
9.000 2.2500 -9.1250
9.250 2.2500 -9.6250
9.500 2.2500 -10.1250
9.750 2.2500 -10.6250
10.000 2.2500 -11.1250
10.250 2.2500 -11.6250
10.500 2.2500 -12.1250
10.750 2.2500 -12.6250
11.000 2.2500 -13.1250
11.250 2.2500 -13.6250
11.500 2.2500 -14.1250
11.750 2.2500 -14.6250
12.000 2.2500 -15.1250
12.250 2.2500 -15.6250
12.500 2.2500 -16.1250
12.750 2.2500 -16.6250
13.000 2.2500 -17.1250
13.250 2.2500 -17.6250
13.500 2.2500 -18.1250
13.750 2.2500 -18.6250
14.000 2.2500 -19.1250
14.250 2.2500 -19.6250
14.500 2.2500 -20.1250
14.750 2.2500 -20.6250
15.000 2.2500 -21.1250
15.250 2.2500 -21.6250
15.500 2.2500 -22.1250
15.750 2.2500 -22.6250
16.000 2.2500 -23.1250
16.250 2.2500 -23.6250
16.500 2.2500 -24.1250
16.750 2.2500 -24.6250
17.000 2.2500 -25.1250
17.250 2.2500 -25.6250
17.500 2.2500 -26.1250
17.750 2.2500 -26.6250
18.000 2.2500 -27.1250
18.250 2.2500 -27.6250
18.500 2.2500 -28.1250
18.750 2.2500 -28.6250
19.000 2.2500 -29.1250
19.250 2.2500 -29.6250
19.500 2.2500 -30.1250
19.750 2.2500 -30.6250
20.000 2.2500 -31.1250
