t x y
0.000 0.0000 0.0000
0.250 0.1250 0.0000
0.500 0.3750 0.0000
0.750 0.7500 0.0000
1.000 1.2500 0.0000
1.250 1.7500 0.0000
1.500 2.2500 0.0000
1.750 2.7500 0.0000
2.000 3.2500 0.0000
2.250 3.7500 0.0000
2.500 4.1250 0.0000
2.750 4.3750 0.0000
3.000 4.5625 0.0000
3.250 4.6875 0.0000
3.500 4.7500 0.0000
3.750 4.7500 -0.1250
4.000 4.7500 -0.3750
4.250 4.7500 -0.7500
4.500 4.7500 -1.0000
4.750 4.7500 -1.1875
5.000 4.7500 -1.3125
5.250 4.7500 -1.3750
5.500 4.7500 -1.3125
5.750 4.7500 -1.1250
6.000 4.7500 -0.8125
6.250 4.7500 -0.3750
6.500 4.7500 0.1250
6.750 4.7500 0.5625
7.000 4.7500 0.8750
7.250 4.7500 1.1250
7.500 4.7500 1.2500
7.750 4.7500 1.3125
8.000 4.7500 1.2500
8.250 4.7500 1.0625
8.500 4.7500 0.7500
8.750 4.7500 0.3125
9.000 4.7500 -0.1875
9.250 4.7500 -0.6250
9.500 4.7500 -0.9375
9.750 4.7500 -1.1250
10.000 4.7500 -1.2500
10.250 4.7500 -1.3125
10.500 4.7500 -1.2500
10.750 4.7500 -1.0625
11.000 4.7500 -0.7500
11.250 4.7500 -0.3125
11.500 4.7500 0.1875
11.750 4.7500 0.6250
12.000 4.7500 0.9375
12.250 4.7500 1.1250
12.500 4.7500 1.2500
12.750 4.7500 1.3125
13.000 4.7500 1.2500
13.250 4.7500 1.0625
13.500 4.7500 0.7500
13.750 4.7500 0.3125
14.000 4.7500 -0.1875
14.250 4.7500 -0.6250
14.500 4.7500 -0.9375
14.750 4.7500 -1.1250
15.000 4.7500 -1.2500
15.250 4.7500 -1.3125
15.500 4.7500 -1.2500
15.750 4.7500 -1.0625
16.000 4.7500 -0.7500
16.250 4.7500 -0.3125
16.500 4.7500 0.1875
16.750 4.7500 0.6250
17.000 4.7500 0.9375
17.250 4.7500 1.1250
17.500 4.7500 1.2500
17.750 4.7500 1.3125
18.000 4.7500 1.2500
18.250 4.7500 1.0625
18.500 4.7500 0.7500
18.750 4.7500 0.3125
19.000 4.7500 -0.1875
19.250 4.7500 -0.6250
19.500 4.7500 -0.9375
19.750 4.7500 -1.1250
20.000 4.7500 -1.2500
