t x y
0.000 0.0000 0.0000
0.250 0.1250 0.1250
0.500 0.3125 0.3750
0.750 0.5625 0.7500
1.000 0.8125 1.1250
1.250 1.0625 1.5000
1.500 1.3750 1.8750
1.750 1.6250 2.2500
2.000 2.0000 2.5625
2.250 2.4375 2.7500
2.500 2.8750 2.8125
2.750 3.3750 2.8125
3.000 3.8750 2.8125
3.250 4.3750 2.8125
3.500 4.8750 2.8125
3.750 5.3750 2.8125
4.000 5.8750 2.8125
4.250 6.2500 2.6875
4.500 6.5000 2.4375
4.750 6.6250 2.0625
5.000 6.6875 1.6250
5.250 6.7500 1.1875
5.500 6.8125 0.8125
5.750 6.8750 0.5000
6.000 6.9130 0.3101
6.250 6.9510 0.1826
