t x y
0.000 0.0000 0.0000
0.250 0.1250 -0.1250
0.500 0.3750 -0.3750
0.750 0.7500 -0.6875
1.000 1.1250 -1.0000
1.250 1.5000 -1.3125
1.500 1.8750 -1.6250
1.750 2.2500 -1.9375
2.000 2.6250 -2.2500
2.250 3.0625 -2.4375
2.500 3.5000 -2.6250
2.750 3.9375 -2.8125
3.000 4.3750 -3.0000
3.250 4.8125 -3.1875
3.500 5.2500 -3.3750
3.750 5.6875 -3.5625
4.000 6.1250 -3.7500
4.250 6.5625 -3.9375
4.500 7.0000 -4.1250
4.750 7.4375 -4.3125
5.000 7.8750 -4.5000
5.250 8.3125 -4.6875
5.500 8.7500 -4.8750
5.750 9.1875 -5.0625
6.000 9.6250 -5.2500
6.250 10.0625 -5.4375
6.500 10.5000 -5.6250
6.750 10.9375 -5.8125
7.000 11.3750 -6.0000
7.250 11.8125 -6.1875
7.500 12.2500 -6.3750
7.750 12.6875 -6.5625
8.000 13.1250 -6.7500
8.250 13.5625 -6.9375
8.500 14.0000 -7.1250
8.750 14.4375 -7.3125
9.000 14.8750 -7.5000
9.250 15.3125 -7.6875
9.500 15.7500 -7.8750
9.750 16.1875 -8.0625
10.000 16.6250 -8.2500
10.250 17.0625 -8.4375
10.500 17.5000 -8.6250
10.750 17.9375 -8.8125
11.000 18.3750 -9.0000
11.250 18.8125 -9.1875
11.500 19.1875 -9.5000
11.750 19.5000 -9.8750
12.000 19.6875 -10.3125
12.250 19.8750 -10.7500
12.500 20.0625 -11.1875
12.750 20.2500 -11.6250
13.000 20.4375 -12.0625
13.250 20.6250 -12.5000
13.500 20.8125 -12.9375
13.750 21.0000 -13.3750
14.000 21.1875 -13.8125
14.250 21.3750 -14.2500
14.500 21.5625 -14.6875
14.750 21.7500 -15.1250
15.000 21.9375 -15.5625
15.250 22.1250 -16.0000
15.500 22.3125 -16.4375
15.750 22.5000 -16.8750
16.000 22.6875 -17.3125
16.250 22.8750 -17.7500
16.500 23.0625 -18.1875
16.750 23.2500 -18.6250
17.000 23.4375 -19.0625
17.250 23.6250 -19.5000
17.500 23.8125 -19.9375
17.750 24.0000 -20.3750
18.000 24.1875 -20.8125
18.250 24.3750 -21.2500
18.500 24.5625 -21.6875
18.750 24.7500 -22.1250
19.000 24.9375 -22.5625
19.250 25.1250 -23.0000
19.500 25.3125 -23.4375
19.750 25.6250 -23.8125
20.000 26.0000 -24.1250
