x y
0.0000 4.1000
0.0600 4.1000
0.1200 4.1000
0.1800 4.1000
0.2400 4.1000
0.3000 4.1000
0.3600 4.1000
0.4200 4.1000
0.4800 4.1000
0.5400 4.1000
0.6000 4.1000
0.6600 4.1000
0.7200 4.1000
0.7800 4.1000
0.8400 4.1000
0.9000 4.1000
0.9600 4.1000
1.0200 4.1000
1.0800 4.1000
1.1400 4.1000
1.2000 4.1000
1.2600 4.1000
1.3200 4.1000
1.3800 4.1000
1.4400 4.1000
1.5000 4.1000
1.5600 4.1000
1.6200 4.1000
1.6800 4.1000
1.7400 4.1000
1.8000 4.1000
1.8600 4.1000
1.9200 4.1000
1.9800 4.1000
2.0400 4.1000
2.1000 4.1000
2.1600 4.1000
2.2200 4.1000
2.2800 4.1000
2.3400 4.1000
2.4000 4.1000
2.4600 4.1000
2.5200 4.1000
2.5800 4.1000
2.6400 4.1000
2.6686 4.1000
2.6744 4.1000
2.6754 4.1000
2.6756 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6810 4.1085
2.7130 4.1592
2.7450 4.2100
2.7770 4.2607
2.8090 4.3115
2.8409 4.3623
2.8729 4.4130
2.9049 4.4638
2.9369 4.5146
2.9689 4.5653
2.9518 4.5709
2.8964 4.5479
2.8411 4.5245
2.7863 4.5000
2.7326 4.4733
2.6816 4.4417
2.6387 4.4002
2.6189 4.3444
2.6257 4.2850
2.6428 4.2275
2.6598 4.1762
2.6693 4.1429
2.6734 4.1235
2.6749 4.1127
2.6755 4.1068
2.6756 4.1037
2.6757 4.1020
2.6757 4.1011
2.6757 4.1006
2.6757 4.1003
2.6757 4.1002
2.6757 4.1001
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6716 4.0909
2.6472 4.0360
2.6228 3.9812
2.5984 3.9264
2.5740 3.8716
2.5497 3.8168
2.5253 3.7620
2.5009 3.7071
2.4765 3.6523
2.4521 3.5975
2.4277 3.5427
2.4033 3.4879
2.3789 3.4330
2.3545 3.3782
2.3301 3.3234
2.3057 3.2686
2.2813 3.2138
2.2569 3.1590
2.2326 3.1041
2.2082 3.0493
2.1838 2.9945
2.1594 2.9397
2.1350 2.8849
2.1798 2.8861
2.2385 2.8987
2.2971 2.9114
2.3557 2.9244
2.4141 2.9380
2.4720 2.9539
2.5027 2.9719
2.5030 2.9874
2.5007 3.0050
2.4980 3.0254
2.4951 3.0492
2.4923 3.0768
2.4896 3.1088
2.4872 3.1458
2.4855 3.1886
2.4849 3.2377
2.4860 3.2940
2.4893 3.3539
2.4947 3.4136
2.5022 3.4732
2.5118 3.5324
2.5233 3.5913
2.5368 3.6497
2.5521 3.7078
2.5691 3.7653
2.5877 3.8224
2.6075 3.8790
2.6281 3.9353
2.6487 3.9917
2.6637 4.0369
2.6711 4.0649
2.6741 4.0809
2.6752 4.0897
2.6755 4.0945
2.6756 4.0970
2.6757 4.0984
2.6757 4.0991
2.6757 4.0995
2.6757 4.0998
2.6757 4.0999
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.7019 4.1146
2.7543 4.1438
2.8067 4.1730
2.8591 4.2022
2.9115 4.2314
2.9640 4.2606
3.0164 4.2898
3.0688 4.3190
3.1125 4.3433
3.0638 4.3083
3.0141 4.2747
2.9628 4.2435
2.9097 4.2156
2.8549 4.1913
2.7988 4.1700
2.7423 4.1499
2.6908 4.1272
2.6779 4.1141
2.6760 4.1075
2.6757 4.1040
2.6757 4.1022
2.6757 4.1012
2.6757 4.1006
2.6757 4.1003
2.6757 4.1002
2.6757 4.1001
2.6757 4.1001
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6300 4.0611
2.5843 4.0222
2.5387 3.9833
2.4930 3.9444
2.4473 3.9055
2.4016 3.8666
2.3560 3.8277
2.3103 3.7887
2.2646 3.7498
2.2189 3.7109
2.1733 3.6720
2.1276 3.6331
2.0819 3.5942
2.0362 3.5553
1.9905 3.5164
1.9449 3.4775
1.8992 3.4386
1.8535 3.3997
1.8078 3.3608
1.7622 3.3219
1.8041 3.3218
1.8636 3.3297
1.9231 3.3376
1.9826 3.3456
2.0420 3.3539
2.1014 3.3624
2.1607 3.3713
2.2199 3.3810
2.2790 3.3917
2.3376 3.4045
2.3952 3.4210
2.4495 3.4463
2.4905 3.4893
2.5112 3.5455
2.5254 3.6037
2.5397 3.6620
2.5555 3.7199
2.5729 3.7773
2.5917 3.8343
2.6117 3.8908
2.6324 3.9472
2.6525 4.0028
2.6658 4.0440
2.6720 4.0690
2.6744 4.0832
2.6753 4.0910
2.6756 4.0951
2.6756 4.0974
2.6757 4.0986
2.6757 4.0992
2.6757 4.0996
2.6757 4.0998
2.6757 4.0999
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.7155 4.1038
2.7752 4.1095
2.8350 4.1152
2.8947 4.1209
2.9544 4.1266
3.0141 4.1323
3.0739 4.1380
3.1336 4.1437
3.1933 4.1494
3.2531 4.1551
3.2676 4.1452
3.2139 4.1192
3.1548 4.1090
3.0949 4.1050
3.0350 4.1031
2.9750 4.1021
2.9150 4.1015
2.8550 4.1011
2.7950 4.1008
2.7350 4.1005
2.6874 4.1003
2.6777 4.1001
2.6760 4.1001
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.7155 4.0698
2.7633 4.0335
2.8111 3.9973
2.8589 3.9610
2.9067 3.9247
2.9545 3.8885
3.0023 3.8522
3.0501 3.8159
3.0572 3.8086
3.0065 3.8407
2.9554 3.8722
2.9038 3.9028
2.8516 3.9323
2.7990 3.9612
2.7470 3.9911
2.6985 4.0263
2.6765 4.0615
2.6750 4.0793
2.6753 4.0889
2.6755 4.0940
2.6756 4.0968
2.6757 4.0983
2.6757 4.0991
2.6757 4.0995
2.6757 4.0997
2.6757 4.0999
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6571 4.0927
2.6012 4.0707
2.5454 4.0488
2.4895 4.0268
2.4337 4.0049
2.3779 3.9830
2.3220 3.9610
2.2662 3.9391
2.2103 3.9171
2.1545 3.8952
2.0986 3.8732
2.0428 3.8513
1.9870 3.8293
1.9311 3.8074
1.8753 3.7854
1.8194 3.7635
1.7636 3.7415
1.7077 3.7196
1.6519 3.6977
1.5961 3.6757
1.5402 3.6538
1.4844 3.6318
1.4285 3.6099
1.3727 3.5879
1.3169 3.5660
1.2610 3.5440
1.2052 3.5221
1.1493 3.5001
1.0935 3.4782
1.0376 3.4562
0.9818 3.4343
0.9260 3.4124
0.8701 3.3904
0.8143 3.3685
0.8740 3.3745
0.9337 3.3806
0.9933 3.3867
1.0530 3.3928
1.1127 3.3989
1.1724 3.4049
1.2321 3.4110
1.2918 3.4172
1.3515 3.4233
1.4112 3.4294
1.4708 3.4356
1.5305 3.4418
1.5902 3.4480
1.6499 3.4542
1.7096 3.4605
1.7692 3.4668
1.8289 3.4732
1.8885 3.4796
1.9482 3.4862
2.0078 3.4930
2.0674 3.5000
2.1269 3.5073
2.1864 3.5152
2.2458 3.5240
2.3049 3.5341
2.3635 3.5467
2.4210 3.5640
2.4745 3.5907
2.5160 3.6335
2.5419 3.6875
2.5614 3.7443
2.5802 3.8012
2.5999 3.8579
2.6203 3.9143
2.6411 3.9706
2.6591 4.0222
2.6690 4.0561
2.6733 4.0760
2.6749 4.0870
2.6754 4.0930
2.6756 4.0962
2.6757 4.0980
2.6757 4.0989
2.6757 4.0994
2.6757 4.0997
2.6757 4.0998
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6735 4.0902
2.6604 4.0317
2.6473 3.9731
2.6341 3.9146
2.6210 3.8560
2.6079 3.7975
2.5948 3.7390
2.5817 3.6804
2.5685 3.6219
2.5554 3.5633
2.5423 3.5048
2.5292 3.4462
2.5161 3.3877
2.5030 3.3291
2.4898 3.2706
2.4767 3.2120
2.4636 3.1535
2.4505 3.0949
2.4374 3.0364
2.4242 2.9778
2.4111 2.9193
2.3980 2.8607
2.3849 2.8022
2.3718 2.7436
2.3586 2.6851
2.3455 2.6265
2.3324 2.5680
2.3193 2.5094
2.3418 2.4876
