x y
0.0000 0.5000
0.1000 0.5000
0.2000 0.5000
0.3000 0.5000
0.4000 0.5000
0.5000 0.5000
0.6000 0.5000
0.7000 0.5000
0.8000 0.5000
0.9000 0.5000
1.0000 0.5000
1.1000 0.5000
1.2000 0.5000
1.3000 0.5000
1.4000 0.5000
1.5000 0.5000
1.6000 0.5000
1.7000 0.5000
1.8000 0.5000
1.9000 0.5000
2.0000 0.5000
0.0000 0.8600
0.1000 0.8600
0.2000 0.8600
0.3000 0.8600
0.4000 0.8600
0.5000 0.8600
0.6000 0.8600
0.7000 0.8600
0.8000 0.8600
0.9000 0.8600
1.0000 0.8600
1.1000 0.8600
1.2000 0.8600
1.3000 0.8600
1.4000 0.8600
1.5000 0.8600
1.6000 0.8600
1.7000 0.8600
1.8000 0.8600
1.9000 0.8600
2.0000 0.8600
0.0000 1.2200
0.1000 1.2200
0.2000 1.2200
0.3000 1.2200
0.4000 1.2200
0.5000 1.2200
0.6000 1.2200
0.7000 1.2200
0.8000 1.2200
0.9000 1.2200
1.0000 1.2200
1.1000 1.2200
1.2000 1.2200
1.3000 1.2200
1.4000 1.2200
1.5000 1.2200
1.6000 1.2200
1.7000 1.2200
1.8000 1.2200
1.9000 1.2200
2.0000 1.2200
0.0000 1.5800
0.1000 1.5800
0.2000 1.5800
0.3000 1.5800
0.4000 1.5800
0.5000 1.5800
0.6000 1.5800
0.7000 1.5800
0.8000 1.5800
0.9000 1.5800
1.0000 1.5800
1.1000 1.5800
1.2000 1.5800
1.3000 1.5800
1.4000 1.5800
1.5000 1.5800
1.6000 1.5800
1.7000 1.5800
1.8000 1.5800
1.9000 1.5800
2.0000 1.5800
0.0000 1.9400
0.1000 1.9400
0.2000 1.9400
0.3000 1.9400
0.4000 1.9400
0.5000 1.9400
0.6000 1.9400
0.7000 1.9400
0.8000 1.9400
0.9000 1.9400
1.0000 1.9400
1.1000 1.9400
1.2000 1.9400
1.3000 1.9400
1.4000 1.9400
1.5000 1.9400
1.6000 1.9400
1.7000 1.9400
1.8000 1.9400
1.9000 1.9400
2.0000 1.9400
0.0000 2.3000
0.1000 2.3000
0.2000 2.3000
0.3000 2.3000
0.4000 2.3000
0.5000 2.3000
0.6000 2.3000
0.7000 2.3000
0.8000 2.3000
0.9000 2.3000
1.0000 2.3000
1.1000 2.3000
1.2000 2.3000
1.3000 2.3000
1.4000 2.3000
1.5000 2.3000
1.6000 2.3000
1.7000 2.3000
1.8000 2.3000
1.9000 2.3000
2.0000 2.3000
1.6000 2.6600
1.7000 2.6600
1.8000 2.6600
1.9000 2.6600
2.0000 2.6600
1.6000 5.5400
1.7000 5.5400
1.8000 5.5400
1.9000 5.5400
2.0000 5.5400
0.0000 5.9000
0.1000 5.9000
0.2000 5.9000
0.3000 5.9000
0.4000 5.9000
0.5000 5.9000
0.6000 5.9000
0.7000 5.9000
0.8000 5.9000
0.9000 5.9000
1.0000 5.9000
1.1000 5.9000
1.2000 5.9000
1.3000 5.9000
1.4000 5.9000
1.5000 5.9000
1.6000 5.9000
1.7000 5.9000
1.8000 5.9000
1.9000 5.9000
2.0000 5.9000
0.0000 6.2600
0.1000 6.2600
0.2000 6.2600
0.3000 6.2600
0.4000 6.2600
0.5000 6.2600
0.6000 6.2600
0.7000 6.2600
0.8000 6.2600
0.9000 6.2600
1.0000 6.2600
1.1000 6.2600
1.2000 6.2600
1.3000 6.2600
1.4000 6.2600
1.5000 6.2600
1.6000 6.2600
1.7000 6.2600
1.8000 6.2600
1.9000 6.2600
2.0000 6.2600
0.0000 6.6200
0.1000 6.6200
0.2000 6.6200
0.3000 6.6200
0.4000 6.6200
0.5000 6.6200
0.6000 6.6200
0.7000 6.6200
0.8000 6.6200
0.9000 6.6200
1.0000 6.6200
1.1000 6.6200
1.2000 6.6200
1.3000 6.6200
1.4000 6.6200
1.5000 6.6200
1.6000 6.6200
1.7000 6.6200
1.8000 6.6200
1.9000 6.6200
2.0000 6.6200
0.0000 6.9800
0.1000 6.9800
0.2000 6.9800
0.3000 6.9800
0.4000 6.9800
0.5000 6.9800
0.6000 6.9800
0.7000 6.9800
0.8000 6.9800
0.9000 6.9800
1.0000 6.9800
1.1000 6.9800
1.2000 6.9800
1.3000 6.9800
1.4000 6.9800
1.5000 6.9800
1.6000 6.9800
1.7000 6.9800
1.8000 6.9800
1.9000 6.9800
2.0000 6.9800
0.0000 7.3400
0.1000 7.3400
0.2000 7.3400
0.3000 7.3400
0.4000 7.3400
0.5000 7.3400
0.6000 7.3400
0.7000 7.3400
0.8000 7.3400
0.9000 7.3400
1.0000 7.3400
1.1000 7.3400
1.2000 7.3400
1.3000 7.3400
1.4000 7.3400
1.5000 7.3400
1.6000 7.3400
1.7000 7.3400
1.8000 7.3400
1.9000 7.3400
2.0000 7.3400
0.0000 7.7000
0.1000 7.7000
0.2000 7.7000
0.3000 7.7000
0.4000 7.7000
0.5000 7.7000
0.6000 7.7000
0.7000 7.7000
0.8000 7.7000
0.9000 7.7000
1.0000 7.7000
1.1000 7.7000
1.2000 7.7000
1.3000 7.7000
1.4000 7.7000
1.5000 7.7000
1.6000 7.7000
1.7000 7.7000
1.8000 7.7000
1.9000 7.7000
2.0000 7.7000
