x y
0.0000 2.6600
0.1000 2.6600
0.2000 2.6600
0.3000 2.6600
0.4000 2.6600
0.5000 2.6600
0.6000 2.6600
0.7000 2.6600
0.8000 2.6600
0.9000 2.6600
1.0000 2.6600
1.1000 2.6600
1.2000 2.6600
1.3000 2.6600
1.4000 2.6600
1.5000 2.6600
0.0000 3.0200
0.1000 3.0200
0.2000 3.0200
0.3000 3.0200
0.4000 3.0200
0.5000 3.0200
0.6000 3.0200
0.7000 3.0200
0.8000 3.0200
0.9000 3.0200
1.0000 3.0200
1.1000 3.0200
1.2000 3.0200
1.3000 3.0200
1.4000 3.0200
1.5000 3.0200
1.6000 3.0200
1.7000 3.0200
1.8000 3.0200
1.9000 3.0200
2.0000 3.0200
0.0000 3.3800
0.1000 3.3800
0.2000 3.3800
0.3000 3.3800
0.4000 3.3800
0.5000 3.3800
0.6000 3.3800
0.7000 3.3800
0.8000 3.3800
0.9000 3.3800
1.0000 3.3800
1.1000 3.3800
1.2000 3.3800
1.3000 3.3800
1.4000 3.3800
1.5000 3.3800
1.6000 3.3800
1.7000 3.3800
1.8000 3.3800
1.9000 3.3800
2.0000 3.3800
0.0000 3.7400
0.1000 3.7400
0.2000 3.7400
0.3000 3.7400
0.4000 3.7400
0.5000 3.7400
0.6000 3.7400
0.7000 3.7400
0.8000 3.7400
0.9000 3.7400
1.0000 3.7400
1.1000 3.7400
1.2000 3.7400
1.3000 3.7400
1.4000 3.7400
1.5000 3.7400
1.6000 3.7400
1.7000 3.7400
1.8000 3.7400
1.9000 3.7400
2.0000 3.7400
0.0000 4.1000
0.1000 4.1000
0.2000 4.1000
0.3000 4.1000
0.4000 4.1000
0.5000 4.1000
0.6000 4.1000
0.7000 4.1000
0.8000 4.1000
0.9000 4.1000
1.0000 4.1000
1.1000 4.1000
1.2000 4.1000
1.3000 4.1000
1.4000 4.1000
1.5000 4.1000
1.6000 4.1000
1.7000 4.1000
1.8000 4.1000
1.9000 4.1000
2.0000 4.1000
0.0000 4.4600
0.1000 4.4600
0.2000 4.4600
0.3000 4.4600
0.4000 4.4600
0.5000 4.4600
0.6000 4.4600
0.7000 4.4600
0.8000 4.4600
0.9000 4.4600
1.0000 4.4600
1.1000 4.4600
1.2000 4.4600
1.3000 4.4600
1.4000 4.4600
1.5000 4.4600
1.6000 4.4600
1.7000 4.4600
1.8000 4.4600
1.9000 4.4600
2.0000 4.4600
0.0000 4.8200
0.1000 4.8200
0.2000 4.8200
0.3000 4.8200
0.4000 4.8200
0.5000 4.8200
0.6000 4.8200
0.7000 4.8200
0.8000 4.8200
0.9000 4.8200
1.0000 4.8200
1.1000 4.8200
1.2000 4.8200
1.3000 4.8200
1.4000 4.8200
1.5000 4.8200
1.6000 4.8200
1.7000 4.8200
1.8000 4.8200
1.9000 4.8200
2.0000 4.8200
0.0000 5.1800
0.1000 5.1800
0.2000 5.1800
0.3000 5.1800
0.4000 5.1800
0.5000 5.1800
0.6000 5.1800
0.7000 5.1800
0.8000 5.1800
0.9000 5.1800
1.0000 5.1800
1.1000 5.1800
1.2000 5.1800
1.3000 5.1800
1.4000 5.1800
1.5000 5.1800
1.6000 5.1800
1.7000 5.1800
1.8000 5.1800
1.9000 5.1800
2.0000 5.1800
0.0000 5.5400
0.1000 5.5400
0.2000 5.5400
0.3000 5.5400
0.4000 5.5400
0.5000 5.5400
0.6000 5.5400
0.7000 5.5400
0.8000 5.5400
0.9000 5.5400
1.0000 5.5400
1.1000 5.5400
1.2000 5.5400
1.3000 5.5400
1.4000 5.5400
1.5000 5.5400
