x y
0.0000 0.5000
0.0730 0.5328
0.1459 0.5657
0.2189 0.5985
0.2918 0.6313
0.3648 0.6641
0.4377 0.6970
0.5107 0.7298
0.5836 0.7626
0.6566 0.7955
0.7295 0.8283
0.8025 0.8611
0.8754 0.8940
0.9484 0.9268
1.0214 0.9596
1.0943 0.9924
1.1673 1.0253
1.2402 1.0581
1.3132 1.0909
1.3861 1.1238
1.4591 1.1566
1.5320 1.1894
1.6050 1.2222
1.6779 1.2551
1.7509 1.2879
1.8239 1.3207
1.8968 1.3535
1.9698 1.3863
2.0428 1.4190
2.1158 1.4516
2.1889 1.4842
2.2620 1.5167
2.3352 1.5491
2.4084 1.5813
2.4817 1.6133
2.5552 1.6448
2.6289 1.6759
2.7030 1.7063
2.7774 1.7355
2.8526 1.7630
2.9286 1.7877
3.0061 1.8078
3.0850 1.8203
3.1649 1.8208
3.2437 1.8073
3.3199 1.7830
3.3943 1.7538
3.4685 1.7237
3.5431 1.6950
3.6187 1.6687
3.6951 1.6452
3.7725 1.6248
3.8506 1.6077
3.9294 1.5939
4.0087 1.5834
4.0884 1.5762
4.1683 1.5724
4.2483 1.5717
4.3283 1.5743
4.4080 1.5800
4.4876 1.5887
4.5667 1.6003
4.6454 1.6149
4.7235 1.6322
4.8009 1.6521
4.8777 1.6747
4.9537 1.6997
5.0289 1.7270
5.1032 1.7565
5.1767 1.7882
5.2493 1.8218
5.3209 1.8574
5.3917 1.8946
5.4616 1.9335
5.5307 1.9739
5.5988 2.0158
5.6662 2.0589
5.7328 2.1033
5.7986 2.1488
5.8637 2.1953
5.9281 2.2427
5.9919 2.2909
6.0552 2.3400
6.1178 2.3897
6.1800 2.4400
6.2417 2.4910
6.3030 2.5424
6.3639 2.5943
6.4244 2.6465
6.4847 2.6992
6.5446 2.7521
6.6043 2.8054
6.6638 2.8589
6.7231 2.9126
6.7822 2.9666
6.8411 3.0207
6.8999 3.0749
6.9585 3.1293
7.0171 3.1838
7.0756 3.2384
7.1341 3.2929
7.1927 3.3475
7.2512 3.4020
7.3087 3.4557
7.3621 3.5055
7.4114 3.5514
7.4569 3.5938
7.4989 3.6329
7.5376 3.6690
7.5733 3.7023
7.6063 3.7330
7.6367 3.7614
7.6647 3.7875
7.6906 3.8117
7.7145 3.8339
7.7366 3.8545
7.7569 3.8735
7.7757 3.8910
7.7931 3.9071
7.8090 3.9220
7.8238 3.9358
7.8374 3.9484
7.8500 3.9602
7.8616 3.9710
7.8723 3.9809
7.8821 3.9901
7.8912 3.9986
7.8996 4.0064
7.9074 4.0137
7.9145 4.0203
7.9211 4.0265
7.9272 4.0322
7.9329 4.0374
7.9380 4.0423
7.9428 4.0467
7.9472 4.0508
7.9513 4.0546
7.9551 4.0581
7.9586 4.0614
7.9618 4.0644
7.9636 4.0661
nan nan
0.0000 1.2200
0.0753 1.2471
0.1505 1.2742
0.2258 1.3013
0.3011 1.3284
0.3764 1.3555
0.4516 1.3826
0.5269 1.4097
0.6022 1.4368
0.6774 1.4639
0.7527 1.4910
0.8280 1.5181
0.9033 1.5452
0.9785 1.5723
1.0538 1.5994
1.1291 1.6265
1.2043 1.6536
1.2796 1.6807
1.3549 1.7078
1.4301 1.7349
1.5054 1.7619
1.5807 1.7890
1.6560 1.8161
1.7313 1.8431
1.8066 1.8701
1.8819 1.8970
1.9573 1.9239
2.0326 1.9507
2.1081 1.9774
2.1836 2.0039
2.2591 2.0301
2.3348 2.0560
2.4107 2.0813
2.4869 2.1056
2.5636 2.1284
2.6411 2.1484
2.7198 2.1626
2.7996 2.1639
2.8751 2.1393
2.9396 2.0922
2.9996 2.0392
3.0600 1.9868
3.1223 1.9367
3.1868 1.8894
3.2535 1.8451
3.3221 1.8040
3.3925 1.7661
3.4647 1.7315
3.5383 1.7003
3.6133 1.6724
3.6895 1.6480
3.7667 1.6270
3.8447 1.6093
3.9234 1.5951
4.0027 1.5843
4.0823 1.5768
4.1622 1.5727
4.2422 1.5718
4.3221 1.5740
4.4020 1.5795
4.4815 1.5879
4.5607 1.5994
4.6394 1.6137
4.7175 1.6308
4.7950 1.6505
4.8719 1.6729
4.9479 1.6977
5.0232 1.7248
5.0976 1.7542
5.1711 1.7857
5.2438 1.8192
5.3155 1.8546
5.3864 1.8917
5.4563 1.9305
5.5254 1.9708
5.5937 2.0126
5.6611 2.0556
5.7277 2.0999
5.7936 2.1453
5.8588 2.1917
5.9232 2.2390
5.9871 2.2872
6.0504 2.3362
6.1131 2.3859
6.1753 2.4362
6.2370 2.4871
6.2983 2.5384
6.3593 2.5903
6.4198 2.6425
6.4801 2.6952
6.5401 2.7481
6.5998 2.8013
6.6593 2.8548
6.7186 2.9085
6.7777 2.9624
6.8366 3.0165
6.8954 3.0708
6.9541 3.1252
7.0126 3.1797
7.0711 3.2342
7.1297 3.2888
7.1882 3.3433
7.2467 3.3979
7.3045 3.4517
7.3582 3.5018
7.4078 3.5480
7.4536 3.5907
7.4958 3.6300
7.5347 3.6663
7.5707 3.6998
7.6038 3.7307
7.6344 3.7593
7.6627 3.7856
7.6887 3.8099
7.7128 3.8323
7.7350 3.8530
7.7555 3.8721
7.7743 3.8897
7.7918 3.9059
7.8079 3.9209
7.8227 3.9348
7.8364 3.9475
7.8490 3.9593
7.8607 3.9702
7.8715 3.9802
7.8814 3.9895
7.8906 3.9980
7.8990 4.0059
7.9068 4.0131
7.9140 4.0199
7.9207 4.0260
7.9268 4.0318
7.9324 4.0370
7.9377 4.0419
7.9425 4.0464
7.9469 4.0505
7.9510 4.0543
7.9548 4.0579
7.9583 4.0611
7.9615 4.0641
7.9638 4.0662
nan nan
0.0000 1.9400
0.0772 1.9609
0.1545 1.9817
0.2317 2.0026
0.3089 2.0234
0.3862 2.0443
0.4634 2.0651
0.5406 2.0860
0.6179 2.1068
0.6951 2.1277
0.7723 2.1485
0.8496 2.1694
0.9268 2.1902
1.0040 2.2111
1.0813 2.2319
1.1585 2.2528
1.2357 2.2737
1.3130 2.2945
1.3902 2.3153
1.4675 2.3362
1.5447 2.3570
1.6220 2.3778
1.6992 2.3986
1.7765 2.4194
1.8537 2.4401
1.9310 2.4607
2.0083 2.4813
2.0857 2.5018
2.1631 2.5221
2.2405 2.5420
2.3181 2.5615
2.3960 2.5799
2.4743 2.5960
2.5537 2.6051
2.6188 2.5759
2.6524 2.5106
2.6896 2.4398
2.7302 2.3708
2.7741 2.3039
2.8212 2.2393
2.8714 2.1770
2.9245 2.1172
2.9805 2.0601
3.0392 2.0057
3.1004 1.9542
3.1640 1.9057
3.2299 1.8603
3.2978 1.8181
3.3676 1.7790
3.4392 1.7433
3.5123 1.7109
3.5868 1.6818
3.6626 1.6562
3.7395 1.6340
3.8172 1.6151
3.8957 1.5997
3.9748 1.5877
4.0543 1.5791
4.1341 1.5738
4.2141 1.5717
4.2941 1.5729
4.3740 1.5772
4.4536 1.5846
4.5329 1.5950
4.6118 1.6083
4.6902 1.6245
4.7679 1.6433
4.8450 1.6648
4.9213 1.6887
4.9968 1.7151
5.0715 1.7437
5.1454 1.7744
5.2183 1.8072
5.2904 1.8420
5.3616 1.8785
5.4319 1.9167
5.5013 1.9565
5.5698 1.9977
5.6375 2.0404
5.7044 2.0842
5.7706 2.1292
5.8360 2.1753
5.9007 2.2223
5.9647 2.2702
6.0282 2.3189
6.0911 2.3684
6.1535 2.4185
6.2154 2.4691
6.2768 2.5203
6.3379 2.5720
6.3986 2.6241
6.4590 2.6766
6.5190 2.7295
6.5789 2.7826
6.6384 2.8360
6.6978 2.8896
6.7569 2.9435
6.8159 2.9975
6.8748 3.0517
6.9335 3.1061
6.9921 3.1605
7.0506 3.2151
7.1091 3.2696
7.1676 3.3242
7.2262 3.3787
7.2846 3.4332
7.3399 3.4847
7.3909 3.5322
7.4379 3.5761
7.4813 3.6166
7.5214 3.6539
7.5584 3.6884
7.5925 3.7202
7.6240 3.7495
7.6530 3.7766
7.6798 3.8016
7.7046 3.8246
7.7274 3.8459
7.7485 3.8655
7.7679 3.8837
7.7858 3.9004
7.8024 3.9158
7.8176 3.9300
7.8317 3.9432
7.8447 3.9553
7.8567 3.9664
7.8678 3.9768
7.8780 3.9863
7.8874 3.9951
7.8961 4.0032
7.9041 4.0107
7.9116 4.0176
7.9184 4.0239
7.9247 4.0298
7.9305 4.0352
7.9359 4.0402
7.9408 4.0449
7.9454 4.0491
7.9496 4.0530
7.9535 4.0567
7.9571 4.0600
7.9604 4.0631
7.9635 4.0660
nan nan
0.0000 2.6600
0.0787 2.6742
0.1575 2.6883
0.2362 2.7025
0.3149 2.7167
0.3937 2.7309
0.4724 2.7450
0.5511 2.7592
0.6299 2.7734
0.7086 2.7876
0.7873 2.8017
0.8661 2.8159
0.9448 2.8301
1.0236 2.8442
1.1023 2.8584
1.1810 2.8726
1.2598 2.8868
1.3385 2.9010
1.4172 2.9152
1.4959 2.9294
1.5747 2.9436
1.6534 2.9579
1.7321 2.9722
1.8108 2.9866
1.8895 3.0010
1.9682 3.0155
2.0468 3.0301
2.1254 3.0450
2.2039 3.0603
2.2823 3.0764
2.3602 3.0944
2.4365 3.1184
2.4832 3.1670
2.4848 3.2298
2.4865 3.3048
2.4918 3.3847
2.5010 3.4641
2.5137 3.5431
2.5300 3.6214
2.5497 3.6990
2.5724 3.7757
2.5977 3.8515
2.6249 3.9268
2.6520 4.0013
2.6683 4.0531
2.6738 4.0790
2.6753 4.0908
2.6756 4.0960
2.6757 4.0982
2.6757 4.0992
2.6757 4.0997
2.6757 4.0999
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 3.3800
0.0797 3.3872
0.1594 3.3943
0.2390 3.4015
0.3187 3.4087
0.3984 3.4159
0.4781 3.4230
0.5577 3.4302
0.6374 3.4374
0.7171 3.4445
0.7968 3.4517
0.8765 3.4589
0.9561 3.4661
1.0358 3.4732
1.1155 3.4804
1.1952 3.4876
1.2748 3.4948
1.3545 3.5021
1.4342 3.5093
1.5138 3.5166
1.5935 3.5240
1.6732 3.5313
1.7528 3.5388
1.8325 3.5463
1.9121 3.5540
1.9917 3.5620
2.0713 3.5703
2.1508 3.5793
2.2301 3.5895
2.3092 3.6017
2.3874 3.6181
2.4628 3.6444
2.5256 3.6930
2.5638 3.7630
2.5921 3.8378
2.6196 3.9129
2.6473 3.9880
2.6663 4.0458
2.6733 4.0756
2.6751 4.0893
2.6756 4.0953
2.6757 4.0980
2.6757 4.0991
2.6757 4.0996
2.6757 4.0998
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 4.1000
0.0800 4.1000
0.1600 4.1000
0.2400 4.1000
0.3200 4.1000
0.4000 4.1000
0.4800 4.1000
0.5600 4.1000
0.6400 4.1000
0.7200 4.1000
0.8000 4.1000
0.8800 4.1000
0.9600 4.1000
1.0400 4.1000
1.1200 4.1000
1.2000 4.1000
1.2800 4.1000
1.3600 4.1000
1.4400 4.1000
1.5200 4.1000
1.6000 4.1000
1.6800 4.1000
