x y
0.0000 4.5000
0.0998 4.4938
0.1996 4.4875
0.2994 4.4813
0.3992 4.4750
0.4990 4.4688
0.5988 4.4626
0.6986 4.4563
0.7984 4.4501
0.8982 4.4439
0.9981 4.4376
1.0979 4.4314
1.1977 4.4252
1.2975 4.4189
1.3973 4.4128
1.4971 4.4066
1.5969 4.4005
1.6967 4.3944
1.7965 4.3885
1.8964 4.3827
1.9962 4.3771
2.0961 4.3721
2.1960 4.3678
2.2960 4.3652
2.3959 4.3667
2.4940 4.3838
2.5526 4.4604
2.5852 4.5549
2.6224 4.6478
2.6651 4.7382
2.7133 4.8258
2.7666 4.9103
2.8250 4.9915
2.8881 5.0691
2.9557 5.1428
3.0275 5.2123
3.1033 5.2776
3.1827 5.3383
3.2654 5.3944
3.3512 5.4458
3.4397 5.4923
3.5307 5.5339
3.6237 5.5705
3.7186 5.6021
3.8149 5.6288
3.9125 5.6505
4.0111 5.6673
4.1104 5.6794
4.2101 5.6868
4.3100 5.6896
4.4100 5.6880
4.5098 5.6822
4.6093 5.6724
4.7084 5.6586
4.8069 5.6412
4.9047 5.6204
5.0017 5.5963
5.0980 5.5692
5.1934 5.5393
5.2880 5.5069
5.3817 5.4721
5.4746 5.4351
5.5668 5.3962
5.6581 5.3555
5.7487 5.3132
5.8387 5.2695
5.9280 5.2246
6.0168 5.1786
6.1050 5.1315
6.1928 5.0836
6.2802 5.0350
6.3672 4.9857
6.4538 4.9358
6.5402 4.8854
6.6263 4.8346
6.7123 4.7834
6.7980 4.7319
6.8835 4.6801
6.9689 4.6281
7.0543 4.5761
7.1397 4.5241
7.2219 4.4740
7.2963 4.4287
7.3636 4.3877
7.4245 4.3506
7.4795 4.3171
7.5293 4.2868
7.5743 4.2594
7.6150 4.2346
7.6518 4.2121
7.6851 4.1918
7.7152 4.1735
7.7424 4.1569
7.7671 4.1419
7.7893 4.1283
7.8095 4.1161
7.8277 4.1050
7.8442 4.0949
7.8591 4.0859
7.8725 4.0776
7.8847 4.0702
7.8958 4.0635
7.9057 4.0574
7.9147 4.0519
7.9229 4.0470
7.9303 4.0425
7.9369 4.0384
7.9430 4.0347
7.9484 4.0314
7.9533 4.0284
7.9574 4.0260
