x y u v
0.0000 0.5000 0.9162 0.4008
0.7500 0.5000 0.9006 0.4347
1.5000 0.5000 0.8805 0.4741
2.2500 0.5000 0.8542 0.5199
3.0000 0.5000 0.8192 0.5735
3.7500 0.5000 0.7719 0.6357
4.5000 0.5000 0.7071 0.7071
5.2500 0.5000 0.6178 0.7863
6.0000 0.5000 0.4961 0.8682
6.7500 0.5000 0.3363 0.9417
7.5000 0.5000 0.1414 0.9899
8.2500 0.5000 -0.0712 0.9975
9.0000 0.5000 -0.2747 0.9615
0.0000 1.2500 0.9457 0.3251
0.7500 1.2500 0.9350 0.3547
1.5000 1.2500 0.9210 0.3896
2.2500 1.2500 0.9021 0.4315
3.0000 1.2500 0.8765 0.4814
3.7500 1.2500 0.8414 0.5404
4.5000 1.2500 0.7885 0.6150
5.2500 1.2500 0.7071 0.7071
6.0000 1.2500 0.5882 0.8087
6.7500 1.2500 0.4138 0.9104
7.5000 1.2500 0.1789 0.9839
8.2500 1.2500 -0.0905 0.9959
9.0000 1.2500 -0.3417 0.9398
0.0000 2.0000 0.9701 0.2425
0.7500 2.0000 0.9640 0.2659
1.5000 2.0000 0.9558 0.2941
2.2500 2.0000 0.9455 0.3256
3.0000 2.0000 0.9377 0.3474
3.7500 2.0000 0.9391 0.3436
4.5000 2.0000 0.9118 0.4107
5.2500 2.0000 0.8303 0.5573
6.0000 2.0000 0.7106 0.7036
6.7500 2.0000 0.5300 0.8480
7.5000 2.0000 0.2425 0.9701
8.2500 2.0000 -0.1240 0.9923
9.0000 2.0000 -0.4472 0.8944
0.0000 2.7500 0.9880 0.1544
0.7500 2.7500 0.9855 0.1699
1.5000 2.7500 0.9821 0.1881
2.2500 2.7500 0.9811 0.1933
3.0000 2.7500 0.9202 -0.3914
3.7500 2.7500 -0.0983 -0.9952
4.5000 2.7500 0.5343 -0.8453
5.2500 2.7500 0.9970 0.0772
6.0000 2.7500 0.8723 0.4891
6.7500 2.7500 0.7071 0.7071
7.5000 2.7500 0.3714 0.9285
8.2500 2.7500 -0.1961 0.9806
9.0000 2.7500 -0.6247 0.7809
0.0000 3.5000 0.9981 0.0624
0.7500 3.5000 0.9976 0.0688
1.5000 3.5000 0.9971 0.0756
2.2500 3.5000 0.9990 0.0436
5.2500 3.5000 0.9511 -0.3088
6.0000 3.5000 0.9858 0.1677
6.7500 3.5000 0.9310 0.3650
7.5000 3.5000 0.7071 0.7071
8.2500 3.5000 -0.4472 0.8944
9.0000 3.5000 -0.8944 0.4472
0.0000 4.2500 0.9995 -0.0312
0.7500 4.2500 0.9994 -0.0345
1.5000 4.2500 0.9993 -0.0378
2.2500 4.2500 0.9999 -0.0131
5.2500 4.2500 0.9839 0.1787
6.0000 4.2500 0.9970 -0.0775
6.7500 4.2500 0.9815 -0.1914
7.5000 4.2500 0.8944 -0.4472
8.2500 4.2500 -0.7071 -0.7071
9.0000 4.2500 -0.9701 -0.2425
0.0000 5.0000 0.9923 -0.1240
0.7500 5.0000 0.9906 -0.1366
1.5000 5.0000 0.9885 -0.1510
2.2500 5.0000 0.9899 -0.1421
3.0000 5.0000 -0.3867 0.9222
5.2500 5.0000 0.9819 0.1892
6.0000 5.0000 0.9230 -0.3849
6.7500 5.0000 0.7826 -0.6225
7.5000 5.0000 0.4472 -0.8944
8.2500 5.0000 -0.2425 -0.9701
9.0000 5.0000 -0.7071 -0.7071
0.0000 5.7500 0.9769 -0.2137
0.7500 5.7500 0.9721 -0.2346
1.5000 5.7500 0.9656 -0.2600
2.2500 5.7500 0.9585 -0.2850
3.0000 5.7500 0.9626 -0.2710
3.7500 5.7500 0.9951 -0.0987
4.5000 5.7500 0.9824 -0.1868
5.2500 5.7500 0.8861 -0.4635
6.0000 5.7500 0.7617 -0.6479
6.7500 5.7500 0.5812 -0.8137
7.5000 5.7500 0.2747 -0.9615
8.2500 5.7500 -0.1414 -0.9899
9.0000 5.7500 -0.4961 -0.8682
0.0000 6.5000 0.9545 -0.2983
0.7500 6.5000 0.9454 -0.3260
1.5000 6.5000 0.9333 -0.3590
2.2500 6.5000 0.9171 -0.3987
3.0000 6.5000 0.8961 -0.4438
3.7500 6.5000 0.8678 -0.4970
4.5000 6.5000 0.8212 -0.5707
5.2500 6.5000 0.7430 -0.6693
6.0000 6.5000 0.6247 -0.7809
6.7500 6.5000 0.4472 -0.8944
7.5000 6.5000 0.1961 -0.9806
8.2500 6.5000 -0.0995 -0.9950
9.0000 6.5000 -0.3714 -0.9285
0.0000 7.2500 0.9265 -0.3764
0.7500 7.2500 0.9125 -0.4091
1.5000 7.2500 0.8944 -0.4472
2.2500 7.2500 0.8706 -0.4921
3.0000 7.2500 0.8384 -0.5450
3.7500 7.2500 0.7944 -0.6075
4.5000 7.2500 0.7328 -0.6805
5.2500 7.2500 0.6459 -0.7634
6.0000 7.2500 0.5241 -0.8517
6.7500 7.2500 0.3590 -0.9333
7.5000 7.2500 0.1521 -0.9884
8.2500 7.2500 -0.0767 -0.9971
9.0000 7.2500 -0.2941 -0.9558
