t x y d
0.0000 8.0000 6.0000 3.2802
0.0500 7.9604 5.9695 3.2302
0.1000 7.9207 5.9390 3.1802
0.1500 7.8811 5.9085 3.1302
0.2000 7.8415 5.8781 3.0802
0.2500 7.8018 5.8476 3.0302
0.3000 7.7622 5.8171 2.9802
0.3500 7.7226 5.7866 2.9302
0.4000 7.6830 5.7561 2.8802
0.4500 7.6433 5.7256 2.8302
0.5000 7.6037 5.6951 2.7802
0.5500 7.5641 5.6647 2.7302
0.6000 7.5244 5.6342 2.6802
0.6500 7.4848 5.6037 2.6302
0.7000 7.4452 5.5732 2.5802
0.7500 7.4055 5.5427 2.5302
0.8000 7.3659 5.5122 2.4802
0.8500 7.3263 5.4817 2.4302
0.9000 7.2866 5.4513 2.3802
0.9500 7.2470 5.4208 2.3302
1.0000 7.2074 5.3903 2.2802
1.0500 7.1677 5.3598 2.2302
1.1000 7.1281 5.3293 2.1802
1.1500 7.0885 5.2988 2.1302
1.2000 7.0489 5.2683 2.0802
1.2500 7.0092 5.2379 2.0302
1.3000 6.9696 5.2074 1.9802
1.3500 6.9300 5.1769 1.9302
1.4000 6.8903 5.1464 1.8802
1.4500 6.8507 5.1159 1.8302
1.5000 6.8111 5.0854 1.7802
1.5500 6.7714 5.0549 1.7302
1.6000 6.7319 5.0244 1.6802
1.6500 6.6923 4.9938 1.6302
1.7000 6.6529 4.9630 1.5802
1.7500 6.6135 4.9323 1.5302
1.8000 6.5742 4.9014 1.4802
1.8500 6.5349 4.8704 1.4303
1.9000 6.4958 4.8393 1.3803
1.9500 6.4567 4.8081 1.3303
2.0000 6.4178 4.7767 1.2803
2.0500 6.3790 4.7452 1.2303
2.1000 6.3403 4.7135 1.1803
2.1500 6.3018 4.6816 1.1304
2.2000 6.2634 4.6496 1.0805
2.2500 6.2259 4.6179 1.0315
2.3000 6.1904 4.5876 0.9848
2.3500 6.1567 4.5585 0.9405
2.4000 6.1247 4.5306 0.8982
2.4500 6.0943 4.5037 0.8578
2.5000 6.0653 4.4779 0.8192
2.5500 6.0377 4.4531 0.7822
2.6000 6.0112 4.4292 0.7468
2.6500 5.9859 4.4061 0.7129
2.7000 5.9616 4.3838 0.6803
2.7500 5.9382 4.3624 0.6489
2.8000 5.9157 4.3416 0.6186
2.8500 5.8939 4.3216 0.5894
2.9000 5.8729 4.3023 0.5612
2.9500 5.8524 4.2837 0.5340
3.0000 5.8325 4.2657 0.5076
3.0500 5.8131 4.2483 0.4820
3.1000 5.7941 4.2316 0.4571
3.1500 5.7755 4.2155 0.4330
3.2000 5.7573 4.2000 0.4095
3.2500 5.7394 4.1851 0.3866
3.3000 5.7217 4.1708 0.3643
3.3500 5.7044 4.1571 0.3425
3.4000 5.6872 4.1440 0.3213
3.4500 5.6703 4.1315 0.3006
3.5000 5.6535 4.1196 0.2803
3.5500 5.6370 4.1083 0.2606
3.6000 5.6206 4.0976 0.2413
3.6500 5.6045 4.0876 0.2224
3.7000 5.5886 4.0781 0.2041
3.7500 5.5730 4.0692 0.1863
3.8000 5.5577 4.0610 0.1690
3.8500 5.5427 4.0533 0.1523
3.9000 5.5282 4.0463 0.1363
3.9500 5.5143 4.0399 0.1210
4.0000 5.5009 4.0341 0.1065
4.0500 5.4883 4.0289 0.0929
4.1000 5.4764 4.0243 0.0802
4.1500 5.4655 4.0202 0.0685
4.2000 5.4555 4.0167 0.0579
4.2500 5.4465 4.0137 0.0485
4.2500 5.4465 4.0137 0.0485
