t x y d
0.0000 8.0000 6.0000 3.2802
0.0500 7.9604 5.9695 3.2302
0.1000 7.9207 5.9390 3.1802
0.1500 7.8811 5.9085 3.1302
0.2000 7.8415 5.8781 3.0802
0.2500 7.8018 5.8476 3.0302
0.3000 7.7622 5.8171 2.9802
0.3500 7.7226 5.7866 2.9302
0.4000 7.6830 5.7561 2.8802
0.4500 7.6433 5.7256 2.8302
0.5000 7.6037 5.6951 2.7802
0.5500 7.5641 5.6647 2.7302
0.6000 7.5244 5.6342 2.6802
0.6500 7.4848 5.6037 2.6302
0.7000 7.4452 5.5732 2.5802
0.7500 7.4055 5.5427 2.5302
0.8000 7.3659 5.5122 2.4802
0.8500 7.3263 5.4817 2.4302
0.9000 7.2866 5.4513 2.3802
0.9500 7.2470 5.4208 2.3302
1.0000 7.2074 5.3903 2.2802
1.0500 7.1677 5.3598 2.2302
1.1000 7.1281 5.3293 2.1802
1.1500 7.0885 5.2988 2.1302
1.2000 7.0489 5.2683 2.0802
1.2500 7.0092 5.2379 2.0302
1.3000 6.9696 5.2074 1.9802
1.3500 6.9300 5.1769 1.9302
1.4000 6.8903 5.1464 1.8802
1.4500 6.8507 5.1159 1.8302
1.5000 6.8111 5.0854 1.7802
1.5500 6.7714 5.0549 1.7302
1.6000 6.7318 5.0244 1.6802
1.6500 6.6922 4.9939 1.6302
1.7000 6.6527 4.9633 1.5802
1.7500 6.6131 4.9327 1.5302
1.8000 6.5736 4.9021 1.4802
1.8500 6.5342 4.8713 1.4302
1.9000 6.4948 4.8405 1.3802
1.9500 6.4555 4.8096 1.3303
2.0000 6.4163 4.7786 1.2803
2.0500 6.3772 4.7475 1.2303
2.1000 6.3382 4.7161 1.1803
2.1500 6.2994 4.6845 1.1303
2.2000 6.2612 4.6529 1.0807
2.2500 6.2256 4.6228 1.0341
2.3000 6.1928 4.5944 0.9909
2.3500 6.1628 4.5676 0.9508
2.4000 6.1355 4.5424 0.9139
2.4500 6.1109 4.5187 0.8800
2.5000 6.0887 4.4963 0.8489
2.5500 6.0690 4.4753 0.8206
2.6000 6.0515 4.4555 0.7949
2.6500 6.0362 4.4368 0.7717
2.7000 6.0228 4.4191 0.7507
2.7500 6.0113 4.4025 0.7319
2.8000 6.0014 4.3867 0.7150
2.8500 5.9929 4.3718 0.6998
2.9000 5.9858 4.3576 0.6863
2.9500 5.9799 4.3441 0.6743
3.0000 5.9750 4.3313 0.6636
3.0500 5.9710 4.3190 0.6541
3.1000 5.9677 4.3073 0.6456
3.1500 5.9652 4.2962 0.6380
3.2000 5.9631 4.2855 0.6313
3.2500 5.9615 4.2752 0.6253
3.3000 5.9604 4.2653 0.6200
3.3500 5.9595 4.2559 0.6152
3.4000 5.9589 4.2468 0.6110
3.4500 5.9585 4.2381 0.6072
3.5000 5.9584 4.2297 0.6037
3.5500 5.9583 4.2216 0.6007
3.6000 5.9584 4.2138 0.5979
3.6500 5.9585 4.2062 0.5954
3.7000 5.9588 4.1990 0.5931
3.7500 5.9590 4.1920 0.5911
3.8000 5.9594 4.1853 0.5893
3.8500 5.9597 4.1788 0.5876
3.9000 5.9601 4.1725 0.5860
3.9500 5.9605 4.1665 0.5847
4.0000 5.9608 4.1607 0.5834
4.0500 5.9612 4.1550 0.5822
4.1000 5.9616 4.1496 0.5812
4.1500 5.9619 4.1444 0.5802
4.2000 5.9623 4.1393 0.5793
4.2500 5.9626 4.1344 0.5785
4.3000 5.9630 4.1297 0.5777
4.3500 5.9633 4.1252 0.5770
4.4000 5.9636 4.1208 0.5764
4.4500 5.9639 4.1166 0.5758
4.5000 5.9641 4.1125 0.5753
4.5500 5.9644 4.1086 0.5747
4.6000 5.9646 4.1048 0.5743
4.6500 5.9649 4.1011 0.5739
4.7000 5.9651 4.0976 0.5735
4.7500 5.9653 4.0941 0.5731
