x Uatt Urep U
0.0000 32.0000 0.0000 32.0000
0.0250 31.8003 0.0000 31.8003
0.0500 31.6013 0.0000 31.6013
0.0750 31.4028 0.0000 31.4028
0.1000 31.2050 0.0000 31.2050
0.1250 31.0078 0.0000 31.0078
0.1500 30.8112 0.0000 30.8112
0.1750 30.6153 0.0000 30.6153
0.2000 30.4200 0.0000 30.4200
0.2250 30.2253 0.0000 30.2253
0.2500 30.0312 0.0000 30.0312
0.2750 29.8378 0.0000 29.8378
0.3000 29.6450 0.0000 29.6450
0.3250 29.4528 0.0000 29.4528
0.3500 29.2613 0.0000 29.2613
0.3750 29.0703 0.0000 29.0703
0.4000 28.8800 0.0000 28.8800
0.4250 28.6903 0.0000 28.6903
0.4500 28.5012 0.0000 28.5012
0.4750 28.3128 0.0000 28.3128
0.5000 28.1250 0.0000 28.1250
0.5250 27.9378 0.0000 27.9378
0.5500 27.7513 0.0000 27.7513
0.5750 27.5653 0.0000 27.5653
0.6000 27.3800 0.0000 27.3800
0.6250 27.1953 0.0000 27.1953
0.6500 27.0112 0.0000 27.0112
0.6750 26.8278 0.0000 26.8278
0.7000 26.6450 0.0000 26.6450
0.7250 26.4628 0.0000 26.4628
0.7500 26.2812 0.0000 26.2812
0.7750 26.1003 0.0000 26.1003
0.8000 25.9200 0.0000 25.9200
0.8250 25.7403 0.0000 25.7403
0.8500 25.5613 0.0000 25.5613
0.8750 25.3828 0.0000 25.3828
0.9000 25.2050 0.0000 25.2050
0.9250 25.0278 0.0000 25.0278
0.9500 24.8513 0.0000 24.8513
0.9750 24.6753 0.0000 24.6753
1.0000 24.5000 0.0000 24.5000
1.0250 24.3253 0.0000 24.3253
1.0500 24.1513 0.0001 24.1513
1.0750 23.9778 0.0002 23.9780
1.1000 23.8050 0.0003 23.8053
1.1250 23.6328 0.0006 23.6334
1.1500 23.4612 0.0008 23.4621
1.1750 23.2903 0.0011 23.2915
1.2000 23.1200 0.0015 23.1215
1.2250 22.9503 0.0020 22.9523
1.2500 22.7812 0.0026 22.7838
1.2750 22.6128 0.0032 22.6160
1.3000 22.4450 0.0039 22.4489
1.3250 22.2778 0.0047 22.2825
1.3500 22.1113 0.0056 22.1169
1.3750 21.9453 0.0067 21.9520
1.4000 21.7800 0.0078 21.7878
1.4250 21.6153 0.0091 21.6244
1.4500 21.4512 0.0105 21.4618
1.4750 21.2878 0.0121 21.2999
1.5000 21.1250 0.0139 21.1389
1.5250 20.9628 0.0158 20.9786
1.5500 20.8012 0.0180 20.8192
1.5750 20.6403 0.0204 20.6607
1.6000 20.4800 0.0230 20.5030
1.6250 20.3203 0.0258 20.3461
1.6500 20.1612 0.0290 20.1902
1.6750 20.0028 0.0324 20.0353
1.7000 19.8450 0.0362 19.8812
1.7250 19.6878 0.0404 19.7282
1.7500 19.5312 0.0450 19.5763
1.7750 19.3753 0.0500 19.4253
1.8000 19.2200 0.0556 19.2756
1.8250 19.0653 0.0616 19.1269
1.8500 18.9113 0.0683 18.9795
1.8750 18.7578 0.0756 18.8334
1.9000 18.6050 0.0837 18.6887
1.9250 18.4528 0.0926 18.5454
1.9500 18.3012 0.1023 18.4036
1.9750 18.1503 0.1131 18.2634
2.0000 18.0000 0.1250 18.1250
2.0250 17.8503 0.1381 17.9885
2.0500 17.7012 0.1527 17.8540
2.0750 17.5528 0.1688 17.7216
2.1000 17.4050 0.1867 17.5917
2.1250 17.2578 0.2066 17.4644
2.1500 17.1112 0.2288 17.3401
2.1750 16.9653 0.2536 17.2189
2.2000 16.8200 0.2813 17.1013
2.2250 16.6753 0.3123 16.9876
2.2500 16.5312 0.3472 16.8785
2.2750 16.3878 0.3866 16.7744
2.3000 16.2450 0.4311 16.6761
2.3250 16.1028 0.4817 16.5845
2.3500 15.9613 0.5392 16.5005
2.3750 15.8203 0.6050 16.4253
2.4000 15.6800 0.6806 16.3606
