x y
0.0000 4.0000
0.0500 4.0000
0.1000 4.0000
0.1500 4.0000
0.2000 4.0000
0.2500 4.0000
0.3000 4.0000
0.3500 4.0000
0.4000 4.0000
0.4500 4.0000
0.5000 4.0000
0.5500 4.0000
0.6000 4.0000
0.6500 4.0000
0.7000 4.0000
0.7500 4.0000
0.8000 4.0000
0.8500 4.0000
0.9000 4.0000
0.9500 4.0000
1.0000 4.0000
1.0500 4.0000
1.1000 4.0000
1.1500 4.0000
1.2000 4.0000
1.2500 4.0000
1.3000 4.0000
1.3500 4.0000
1.4000 4.0000
1.4500 4.0000
1.5000 4.0000
1.5500 4.0000
1.6000 4.0000
1.6500 4.0000
1.7000 4.0000
1.7500 4.0000
1.8000 4.0000
1.8500 4.0000
1.9000 4.0000
1.9500 4.0000
2.0000 4.0000
2.0500 4.0000
2.1000 4.0000
2.1500 4.0000
2.2000 4.0000
2.2500 4.0000
2.3000 4.0000
2.3500 4.0000
2.4000 4.0000
2.4500 4.0000
2.4822 4.0000
2.4867 4.0000
2.4871 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
2.4872 4.0000
