x y
0.0000 4.0000
0.0768 4.0640
0.1536 4.1280
0.2305 4.1921
0.3073 4.2561
0.3841 4.3201
0.4609 4.3841
0.5378 4.4481
0.6146 4.5121
0.6914 4.5762
0.7682 4.6402
0.8450 4.7042
0.9219 4.7682
0.9987 4.8322
1.0755 4.8963
1.1523 4.9603
1.2291 5.0243
1.3058 5.0885
1.3824 5.1528
1.4589 5.2172
1.5353 5.2818
1.6115 5.3465
1.6875 5.4115
1.7633 5.4767
1.8390 5.5421
1.9144 5.6077
1.9897 5.6735
2.0648 5.7396
2.1398 5.8058
2.2146 5.8721
2.2863 5.9358
2.3513 5.9935
2.4103 6.0457
2.4638 6.0930
2.5123 6.1357
2.5564 6.1743
2.5964 6.2092
2.6327 6.2406
2.6657 6.2689
2.6957 6.2945
2.7229 6.3175
2.7476 6.3382
2.8392 6.2980
2.9308 6.2580
3.0226 6.2182
3.1145 6.1789
3.2066 6.1399
3.2990 6.1017
3.3917 6.0642
3.4849 6.0279
3.5786 5.9929
3.6729 5.9596
3.7679 5.9285
3.8637 5.8997
3.9602 5.8735
4.0573 5.8498
4.1549 5.8282
4.2529 5.8081
4.3510 5.7888
4.4491 5.7695
4.5471 5.7496
4.6449 5.7284
4.7423 5.7057
4.8392 5.6810
4.9355 5.6543
5.0313 5.6254
5.1263 5.5943
5.2206 5.5611
5.3142 5.5259
5.4070 5.4887
5.4991 5.4497
5.5905 5.4091
5.6811 5.3669
5.7711 5.3233
5.8605 5.2784
5.9493 5.2324
6.0375 5.1853
6.1253 5.1374
6.2126 5.0887
6.2995 5.0392
6.3861 4.9892
6.4724 4.9386
6.5584 4.8875
6.6441 4.8361
6.7296 4.7842
6.8150 4.7321
6.9002 4.6797
6.9852 4.6272
7.0703 4.5746
7.1554 4.5220
7.2361 4.4721
7.3092 4.4270
7.3752 4.3861
7.4350 4.3492
7.4890 4.3158
7.5378 4.2856
7.5820 4.2583
7.6220 4.2336
7.6581 4.2113
7.6908 4.1911
7.7204 4.1728
7.7471 4.1563
7.7713 4.1413
7.7932 4.1278
7.8130 4.1156
7.8308 4.1046
7.8470 4.0946
7.8616 4.0855
7.8749 4.0773
7.8868 4.0699
7.8977 4.0633
7.9074 4.0572
7.9163 4.0517
7.9243 4.0468
7.9315 4.0423
7.9381 4.0383
7.9440 4.0346
7.9494 4.0313
7.9542 4.0283
7.9577 4.0261
