x Fx U
0.0000 8.0000 32.0200
0.0250 7.9750 31.8203
0.0500 7.9500 31.6212
0.0750 7.9250 31.4228
0.1000 7.9000 31.2250
0.1250 7.8750 31.0278
0.1500 7.8500 30.8312
0.1750 7.8250 30.6353
0.2000 7.8000 30.4400
0.2250 7.7750 30.2453
0.2500 7.7500 30.0512
0.2750 7.7250 29.8578
0.3000 7.7000 29.6650
0.3250 7.6750 29.4728
0.3500 7.6500 29.2813
0.3750 7.6250 29.0903
0.4000 7.6000 28.9000
0.4250 7.5750 28.7103
0.4500 7.5500 28.5212
0.4750 7.5250 28.3328
0.5000 7.5000 28.1450
0.5250 7.4750 27.9578
0.5500 7.4500 27.7713
0.5750 7.4250 27.5853
0.6000 7.4000 27.4000
0.6250 7.3750 27.2153
0.6500 7.3500 27.0312
0.6750 7.3250 26.8478
0.7000 7.3000 26.6650
0.7250 7.2750 26.4828
0.7500 7.2500 26.3012
0.7750 7.2250 26.1203
0.8000 7.2000 25.9400
0.8250 7.1750 25.7603
0.8500 7.1500 25.5813
0.8750 7.1250 25.4028
0.9000 7.1000 25.2250
0.9250 7.0750 25.0478
0.9500 7.0500 24.8712
0.9750 7.0250 24.6953
1.0000 7.0000 24.5200
1.0250 6.9750 24.3453
1.0500 6.9500 24.1713
1.0750 6.9250 23.9978
1.1000 6.9000 23.8250
1.1250 6.8750 23.6528
1.1500 6.8500 23.4812
1.1750 6.8250 23.3103
1.2000 6.8000 23.1400
1.2250 6.7750 22.9703
1.2500 6.7500 22.8012
1.2750 6.7250 22.6328
1.3000 6.6996 22.4650
1.3250 6.6720 22.2979
1.3500 6.6442 22.1314
1.3750 6.6162 21.9656
1.4000 6.5880 21.8006
1.4250 6.5596 21.6363
1.4500 6.5310 21.4726
1.4750 6.5022 21.3097
1.5000 6.4731 21.1475
1.5250 6.4438 20.9861
1.5500 6.4141 20.8253
1.5750 6.3842 20.6653
1.6000 6.3540 20.5061
1.6250 6.3235 20.3476
1.6500 6.2926 20.1899
1.6750 6.2613 20.0330
1.7000 6.2296 19.8769
1.7250 6.1975 19.7215
1.7500 6.1649 19.5670
1.7750 6.1319 19.4133
1.8000 6.0983 19.2604
1.8250 6.0641 19.1084
1.8500 6.0294 18.9572
1.8750 5.9941 18.8069
1.9000 5.9580 18.6575
1.9250 5.9213 18.5090
1.9500 5.8838 18.3615
1.9750 5.8454 18.2149
2.0000 5.8062 18.0692
2.0250 5.7660 17.9246
2.0500 5.7248 17.7809
2.0750 5.6826 17.6383
2.1000 5.6392 17.4968
2.1250 5.5945 17.3564
2.1500 5.5485 17.2171
2.1750 5.5012 17.0790
2.2000 5.4522 16.9420
2.2250 5.4017 16.8064
2.2500 5.3494 16.6720
2.2750 5.2952 16.5389
2.3000 5.2391 16.4072
2.3250 5.1807 16.2770
2.3500 5.1201 16.1482
2.3750 5.0569 16.0210
2.4000 4.9911 15.8954
2.4250 4.9225 15.7715
2.4500 4.8508 15.6493
2.4750 4.7758 15.5289
2.5000 4.6972 15.4105
2.5250 4.6149 15.2941
2.5500 4.5285 15.1798
2.5750 4.4377 15.0677
2.6000 4.3423 14.9580
2.6250 4.2418 14.8507
2.6500 4.1360 14.7459
2.6750 4.0244 14.6439
2.7000 3.9067 14.5447
2.7250 3.7824 14.4486
2.7500 3.6511 14.3557
2.7750 3.5123 14.2661
2.8000 3.3655 14.1801
2.8250 3.2102 14.0979
2.8500 3.0459 14.0197
2.8750 2.8719 13.9457
2.9000 2.6879 13.8762
2.9250 2.4931 13.8114
2.9500 2.2870 13.7516
2.9750 2.0692 13.6972
3.0000 1.8389 13.6483
3.0250 1.5958 13.6053
3.0500 1.3393 13.5686
3.0750 1.0692 13.5385
3.1000 0.7850 13.5153
3.1250 0.4865 13.4993
3.1500 0.1739 13.4910
3.1750 -0.1530 13.4908
3.2000 -0.4936 13.4988
3.2250 -0.8474 13.5155
3.2500 -1.2135 13.5413
3.2750 -1.5906 13.5763
3.3000 -1.9769 13.6209
3.3250 -2.3704 13.6752
3.3500 -2.7684 13.7394
3.3750 -3.1674 13.8136
3.4000 -3.5637 13.8978
3.4250 -3.9525 13.9918
3.4500 -4.3284 14.0953
3.4750 -4.6855 14.2080
3.5000 -5.0167 14.3294
3.5250 -5.3145 14.4586
3.5500 -5.5709 14.5948
3.5750 -5.7770 14.7367
3.6000 -5.9238 14.8831
3.6250 -6.0021 15.0323
3.6500 -6.0029 15.1826
3.6750 -5.9176 15.3318
3.7000 -5.7382 15.4777
3.7250 -5.4581 15.6178
3.7500 -5.0722 15.7497
3.7750 -4.5775 15.8705
3.8000 -3.9730 15.9776
3.8250 -3.2607 16.0683
3.8500 -2.4451 16.1398
3.8750 -1.5340 16.1897
3.9000 -0.5377 16.2158
3.9250 0.5303 16.2160
3.9500 1.6546 16.1888
3.9750 2.8175 16.1330
4.0000 4.0000 16.0478
4.0250 5.1825 15.9330
4.0500 6.3454 15.7888
4.0750 7.4697 15.6160
4.1000 8.0000 15.4158
4.1250 8.0000 15.1897
4.1500 8.0000 14.9398
4.1750 8.0000 14.6683
4.2000 8.0000 14.3776
4.2250 8.0000 14.0705
4.2500 8.0000 13.7497
4.2750 8.0000 13.4178
4.3000 8.0000 13.0777
4.3250 8.0000 12.7318
4.3500 8.0000 12.3826
4.3750 8.0000 12.0323
4.4000 8.0000 11.6831
4.4250 8.0000 11.3367
4.4500 8.0000 10.9948
4.4750 8.0000 10.6586
4.5000 8.0000 10.3294
4.5250 8.0000 10.0080
4.5500 8.0000 9.6953
4.5750 8.0000 9.3918
4.6000 8.0000 9.0978
4.6250 8.0000 8.8136
4.6500 8.0000 8.5394
4.6750 8.0000 8.2752
4.7000 8.0000 8.0209
4.7250 8.0000 7.7763
4.7500 8.0000 7.5413
4.7750 8.0000 7.3155
4.8000 8.0000 7.0988
4.8250 8.0000 6.8908
4.8500 7.8261 6.6910
4.8750 7.5135 6.4993
4.9000 7.2150 6.3153
4.9250 6.9308 6.1385
