x y
0.0000 4.3000
0.0500 4.2994
0.1000 4.2988
0.1500 4.2981
0.2000 4.2975
0.2500 4.2969
0.3000 4.2963
0.3500 4.2956
0.4000 4.2950
0.4500 4.2944
0.5000 4.2938
0.5500 4.2931
0.6000 4.2925
0.6499 4.2919
0.6999 4.2913
0.7499 4.2906
0.7999 4.2900
0.8499 4.2894
0.8999 4.2888
0.9499 4.2881
0.9999 4.2875
1.0499 4.2869
1.0999 4.2863
1.1499 4.2856
1.1999 4.2850
1.2499 4.2844
1.2999 4.2837
1.3499 4.2831
1.3999 4.2824
1.4499 4.2817
1.4999 4.2810
1.5499 4.2803
1.5999 4.2796
1.6499 4.2789
1.6999 4.2781
1.7499 4.2773
1.7998 4.2765
1.8498 4.2757
1.8998 4.2748
1.9498 4.2738
1.9998 4.2728
2.0498 4.2717
2.0998 4.2705
2.1498 4.2692
2.1997 4.2676
2.2497 4.2659
2.2997 4.2639
2.3496 4.2615
2.3995 4.2586
2.4494 4.2551
2.4992 4.2509
2.5489 4.2455
2.5985 4.2388
2.6477 4.2302
2.6965 4.2193
2.7446 4.2056
2.7916 4.1887
2.8373 4.1683
2.8814 4.1448
2.9242 4.1189
2.9662 4.0918
3.0081 4.0646
3.0510 4.0389
3.0960 4.0176
3.1284 4.0085
3.1456 4.0062
3.1544 4.0056
3.1588 4.0054
3.1610 4.0053
3.1621 4.0053
3.1627 4.0052
3.1630 4.0052
3.1631 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
3.1632 4.0052
