x y e
0.0000 4.3000 0.3000
0.1000 4.2988 0.2988
0.2000 4.2975 0.2975
0.3000 4.2963 0.2963
0.4000 4.2950 0.2950
0.5000 4.2938 0.2938
0.6000 4.2925 0.2925
0.6999 4.2913 0.2913
0.7999 4.2900 0.2900
0.8999 4.2888 0.2888
0.9999 4.2875 0.2875
1.0999 4.2863 0.2863
1.1999 4.2850 0.2850
1.2999 4.2837 0.2837
1.3999 4.2825 0.2825
1.4999 4.2811 0.2811
1.5999 4.2797 0.2797
1.6999 4.2782 0.2782
1.7998 4.2766 0.2766
1.8998 4.2749 0.2749
1.9998 4.2730 0.2730
2.0998 4.2708 0.2708
2.1998 4.2682 0.2682
2.2997 4.2650 0.2650
2.3996 4.2608 0.2608
2.4995 4.2552 0.2552
2.5991 4.2474 0.2474
2.6985 4.2362 0.2362
2.7972 4.2203 0.2203
2.8947 4.1979 0.1979
2.9901 4.1682 0.1682
3.0835 4.1324 0.1324
3.1758 4.0940 0.0940
3.2690 4.0576 0.0576
3.3647 4.0290 0.0290
3.4633 4.0123 0.0123
3.5630 4.0059 0.0059
3.6630 4.0039 0.0039
3.7630 4.0032 0.0032
3.8630 4.0027 0.0027
3.9630 4.0025 0.0025
4.0630 4.0025 0.0025
4.1630 4.0026 0.0026
4.2630 4.0028 0.0028
4.3630 4.0032 0.0032
4.4630 4.0038 0.0038
4.5630 4.0045 0.0045
4.6630 4.0056 0.0056
4.7630 4.0069 0.0069
4.8630 4.0087 0.0087
4.9629 4.0108 0.0108
5.0629 4.0133 0.0133
5.1629 4.0163 0.0163
5.2628 4.0198 0.0198
5.3627 4.0237 0.0237
5.4626 4.0280 0.0280
5.5625 4.0328 0.0328
5.6624 4.0379 0.0379
5.7622 4.0434 0.0434
5.8621 4.0491 0.0491
5.9619 4.0552 0.0552
6.0617 4.0614 0.0614
6.1615 4.0678 0.0678
6.2613 4.0745 0.0745
6.3610 4.0812 0.0812
6.4608 4.0881 0.0881
6.5606 4.0951 0.0951
6.6603 4.1022 0.1022
6.7600 4.1095 0.1095
6.8598 4.1168 0.1168
6.9595 4.1241 0.1241
7.0579 4.1313 0.1313
7.1480 4.1378 0.1378
7.2295 4.1438 0.1438
7.3031 4.1491 0.1491
7.3698 4.1540 0.1540
7.4300 4.1584 0.1584
7.4845 4.1624 0.1624
7.5338 4.1660 0.1660
7.5784 4.1692 0.1692
7.6187 4.1722 0.1722
7.6552 4.1748 0.1748
7.6881 4.1772 0.1772
7.7180 4.1794 0.1794
7.7449 4.1814 0.1814
7.7693 4.1832 0.1832
7.7914 4.1848 0.1848
7.8113 4.1862 0.1862
7.8294 4.1875 0.1875
7.8457 4.1887 0.1887
7.8604 4.1898 0.1898
7.8738 4.1908 0.1908
7.8859 4.1917 0.1917
7.8968 4.1925 0.1925
7.9066 4.1932 0.1932
7.9156 4.1938 0.1938
7.9236 4.1944 0.1944
7.9309 4.1950 0.1950
7.9375 4.1954 0.1954
7.9435 4.1959 0.1959
7.9489 4.1963 0.1963
7.9504 4.1964 0.1964
