x y e
0.0000 4.3000 0.3000
0.4000 4.2950 0.2950
0.7800 4.2903 0.2903
1.1410 4.2857 0.2857
1.4840 4.2815 0.2815
1.8090 4.2770 0.2770
2.1148 4.2719 0.2719
2.3992 4.2648 0.2648
2.6571 4.2519 0.2519
2.8805 4.2239 0.2239
3.0623 4.1674 0.1674
3.2126 4.0878 0.0878
3.3506 4.0245 0.0245
3.4758 4.0037 0.0037
3.5880 4.0070 0.0070
3.6969 4.0001 0.0001
3.8145 4.0099 0.0099
3.9552 3.9840 -0.0160
4.1395 4.0586 0.0586
4.3918 3.8350 -0.1650
4.7818 4.4096 0.4096
5.5555 3.5727 -0.4273
5.7128 3.6233 -0.3767
5.8465 3.6611 -0.3389
5.9664 3.6930 -0.3070
6.0762 3.7213 -0.2787
6.1779 3.7471 -0.2529
6.2728 3.7709 -0.2291
6.3617 3.7932 -0.2068
6.4452 3.8141 -0.1859
6.5239 3.8338 -0.1662
6.5983 3.8524 -0.1476
6.6686 3.8699 -0.1301
6.7351 3.8864 -0.1136
6.7984 3.9021 -0.0979
6.8585 3.9170 -0.0830
6.9155 3.9311 -0.0689
6.9698 3.9446 -0.0554
7.0213 3.9574 -0.0426
7.0702 3.9695 -0.0305
7.1167 3.9810 -0.0190
7.1609 3.9920 -0.0080
7.2028 4.0024 0.0024
7.2427 4.0122 0.0122
7.2805 4.0216 0.0216
7.3165 4.0306 0.0306
7.3507 4.0390 0.0390
7.3832 4.0471 0.0471
7.4140 4.0547 0.0547
7.4433 4.0620 0.0620
7.4711 4.0689 0.0689
7.4976 4.0754 0.0754
7.5227 4.0817 0.0817
7.5466 4.0876 0.0876
7.5692 4.0932 0.0932
7.5908 4.0985 0.0985
7.6112 4.1036 0.1036
7.6307 4.1084 0.1084
7.6491 4.1130 0.1130
7.6667 4.1174 0.1174
7.6833 4.1215 0.1215
7.6992 4.1254 0.1254
7.7142 4.1291 0.1291
7.7285 4.1327 0.1327
7.7421 4.1361 0.1361
7.7550 4.1393 0.1393
7.7672 4.1423 0.1423
7.7789 4.1452 0.1452
7.7899 4.1479 0.1479
7.8004 4.1505 0.1505
7.8104 4.1530 0.1530
7.8199 4.1553 0.1553
7.8289 4.1576 0.1576
7.8374 4.1597 0.1597
7.8456 4.1617 0.1617
7.8533 4.1636 0.1636
7.8606 4.1654 0.1654
7.8676 4.1672 0.1672
7.8742 4.1688 0.1688
7.8805 4.1704 0.1704
7.8865 4.1719 0.1719
7.8922 4.1733 0.1733
7.8976 4.1746 0.1746
7.9027 4.1759 0.1759
7.9075 4.1771 0.1771
7.9122 4.1782 0.1782
7.9166 4.1793 0.1793
7.9207 4.1803 0.1803
7.9247 4.1813 0.1813
7.9285 4.1823 0.1823
7.9320 4.1831 0.1831
7.9354 4.1840 0.1840
7.9387 4.1848 0.1848
7.9417 4.1856 0.1856
7.9446 4.1863 0.1863
7.9474 4.1870 0.1870
7.9500 4.1876 0.1876
7.9525 4.1882 0.1882
