x y U
0.0000 0.0000 40.0000
0.2571 0.0000 37.9759
0.5143 0.0000 36.0180
0.7714 0.0000 34.1261
1.0286 0.0000 32.3004
1.2857 0.0000 30.5408
1.5429 0.0000 28.8473
1.8000 0.0000 27.2200
2.0571 0.0000 25.6588
2.3143 0.0000 24.1637
2.5714 0.0000 22.7347
2.8286 0.0000 21.3718
3.0857 0.0000 20.0751
3.3429 0.0000 18.8445
3.6000 0.0000 17.6800
3.8571 0.0000 16.5816
4.1143 0.0000 15.5494
4.3714 0.0000 14.5833
4.6286 0.0000 13.6833
4.8857 0.0000 12.8494
5.1429 0.0000 12.0816
5.4000 0.0000 11.3800
5.6571 0.0000 10.7445
5.9143 0.0000 10.1751
6.1714 0.0000 9.6718
6.4286 0.0000 9.2347
6.6857 0.0000 8.8637
6.9429 0.0000 8.5588
7.2000 0.0000 8.3200
7.4571 0.0000 8.1473
7.7143 0.0000 8.0408
7.9714 0.0000 8.0004
8.2286 0.0000 8.0261
8.4857 0.0000 8.1180
8.7429 0.0000 8.2759
9.0000 0.0000 8.5000

0.0000 0.2286 39.1118
0.2571 0.2286 37.0878
0.5143 0.2286 35.1298
0.7714 0.2286 33.2380
1.0286 0.2286 31.4122
1.2857 0.2286 29.6527
1.5429 0.2286 27.9592
1.8000 0.2286 26.3318
2.0571 0.2286 24.7706
2.3143 0.2286 23.2755
2.5714 0.2286 21.8465
2.8286 0.2286 20.4837
3.0857 0.2286 19.1869
3.3429 0.2286 17.9563
3.6000 0.2286 16.7918
3.8571 0.2286 15.6935
4.1143 0.2286 14.6612
4.3714 0.2286 13.6951
4.6286 0.2286 12.7951
4.8857 0.2286 11.9612
5.1429 0.2286 11.1935
5.4000 0.2286 10.4918
5.6571 0.2286 9.8563
5.9143 0.2286 9.2869
6.1714 0.2286 8.7837
6.4286 0.2286 8.3465
6.6857 0.2286 7.9755
6.9429 0.2286 7.6706
7.2000 0.2286 7.4318
7.4571 0.2286 7.2592
7.7143 0.2286 7.1527
7.9714 0.2286 7.1122
8.2286 0.2286 7.1380
8.4857 0.2286 7.2298
8.7429 0.2286 7.3878
9.0000 0.2286 7.6118

0.0000 0.4571 38.2759
0.2571 0.4571 36.2518
0.5143 0.4571 34.2939
0.7714 0.4571 32.4020
1.0286 0.4571 30.5763
1.2857 0.4571 28.8167
1.5429 0.4571 27.1233
