x y
3.0000 0.0000
2.8000 0.0000
2.6000 0.0000
2.4000 0.0000
2.2000 0.0000
2.0000 0.0000
1.8000 -0.0000
1.6000 -0.0000
1.4000 -0.0000
1.2000 -0.0000
1.0462 -0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0445 0.0000
1.0446 0.0000
1.0450 0.0000
1.0473 0.0000
1.0590 0.0000
1.1162 0.0000
1.2466 -0.0000
1.2896 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0000
1.2904 -0.0001
1.2904 -0.0001
1.2904 -0.0002
1.2904 -0.0004
1.2904 -0.0007
1.2904 -0.0011
1.2904 -0.0019
1.2904 -0.0034
1.2904 -0.0058
1.2904 -0.0100
1.2903 -0.0173
1.2901 -0.0299
1.2895 -0.0516
1.2876 -0.0890
1.2821 -0.1532
1.2659 -0.2629
1.2212 -0.4384
1.1478 -0.6243
1.0508 -0.7991
0.9324 -0.9601
0.7948 -1.1051
0.6406 -1.2323
0.4725 -1.3405
0.2931 -1.4286
0.1049 -1.4958
-0.0897 -1.5415
-0.2882 -1.5649
-0.4881 -1.5649
-0.6865 -1.5405
-0.8800 -1.4904
-1.0651 -1.4151
-1.2409 -1.3199
-1.4090 -1.2115
-1.5717 -1.0953
-1.7314 -0.9749
-1.8899 -0.8530
-2.0483 -0.7308
-2.2069 -0.6090
-2.3520 -0.4976
-2.4705 -0.4066
-2.5674 -0.3322
-2.6465 -0.2714
-2.7112 -0.2218
-2.7640 -0.1812
-2.8072 -0.1481
-2.8425 -0.1210
-2.8713 -0.0988
-2.8948 -0.0808
-2.9141 -0.0660
-2.9298 -0.0539
-2.9426 -0.0441
-2.9531 -0.0360
-2.9617 -0.0294
-2.9687 -0.0240
-2.9744 -0.0196
-2.9791 -0.0160
-2.9829 -0.0131
-2.9861 -0.0107
-2.9886 -0.0088
-2.9907 -0.0072
-2.9924 -0.0058
-2.9938 -0.0048
-2.9949 -0.0039
-2.9958 -0.0032
-2.9966 -0.0026
-2.9972 -0.0021
-2.9977 -0.0017
-2.9982 -0.0014
-2.9985 -0.0012
-2.9988 -0.0009
-2.9990 -0.0008
-2.9992 -0.0006
-2.9993 -0.0005
-2.9994 -0.0004
-2.9996 -0.0003
-2.9996 -0.0003
-2.9997 -0.0002
-2.9998 -0.0002
-2.9998 -0.0002
-2.9998 -0.0001
-2.9999 -0.0001
-2.9999 -0.0001
-2.9999 -0.0001
-2.9999 -0.0001
-2.9999 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
-3.0000 -0.0000
nan nan
1.5000 2.5981
1.4000 2.4249
1.3000 2.2517
1.2000 2.0785
1.1000 1.9053
1.0000 1.7321
0.9000 1.5588
0.8000 1.3856
0.7000 1.2124
0.6000 1.0392
0.5231 0.9060
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9046
0.5222 0.9045
0.5222 0.9045
0.5222 0.9045
0.5220 0.9041
0.5208 0.9021
0.5148 0.8916
0.4817 0.8344
0.3855 0.6678
0.3322 0.5753
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3320 0.5751
0.3321 0.5751
0.3321 0.5751
0.3321 0.5751
0.3321 0.5750
0.3322 0.5750
0.3323 0.5749
0.3326 0.5748
0.3330 0.5746
0.3336 0.5742
0.3348 0.5735
0.3368 0.5723
0.3402 0.5703
0.3461 0.5668
0.3561 0.5606
0.3733 0.5494
0.4021 0.5292
0.4493 0.4913
0.5211 0.4193
0.5928 0.3217
0.6479 0.2131
0.6855 0.0964
0.7049 -0.0257
0.7061 -0.1504
0.6901 -0.2751
0.6588 -0.3981
0.6154 -0.5185
0.5638 -0.6382
0.5083 -0.7619
0.4513 -0.8986
0.3898 -1.0593
0.3171 -1.2436
0.2233 -1.4200
0.1046 -1.5808
-0.0339 -1.7249
-0.1868 -1.8537
