iters rrt_map star_map informed_map rrt_wide star_wide informed_wide
1 nan nan nan nan nan nan
25 nan nan nan nan nan nan
50 nan nan nan nan nan nan
75 nan nan nan nan nan nan
100 nan nan nan nan nan nan
125 nan nan nan nan nan nan
150 nan nan nan nan nan nan
175 nan nan nan nan nan nan
200 nan nan nan nan nan nan
225 nan nan nan nan nan nan
250 nan nan nan nan nan nan
275 nan nan nan nan nan nan
300 nan nan nan nan nan nan
325 nan nan nan nan nan nan
350 nan nan nan nan nan nan
375 nan nan nan nan nan nan
400 nan nan nan nan nan nan
425 nan nan nan nan nan nan
450 nan nan nan nan nan nan
475 23.509 19.710 19.710 nan nan nan
500 23.509 19.621 19.621 nan nan nan
525 23.509 19.416 19.416 nan nan nan
550 23.509 19.259 19.259 nan nan nan
575 23.509 19.176 19.176 nan nan nan
600 23.509 19.060 19.060 22.592 21.905 20.431
625 23.509 18.970 18.970 22.592 21.895 20.349
650 23.509 18.821 18.821 22.592 21.892 20.251
675 23.509 18.746 18.746 22.592 21.892 20.144
700 23.509 18.673 18.673 22.592 21.873 19.916
725 23.509 18.484 18.484 22.592 21.870 19.738
750 23.509 18.442 18.442 22.592 21.870 19.667
775 23.509 18.400 18.400 22.592 21.826 19.543
800 23.509 18.370 18.370 22.592 21.767 19.417
825 23.509 18.312 18.312 22.592 21.746 19.209
850 23.509 18.287 18.287 22.592 21.746 19.053
875 23.509 18.209 18.209 22.592 21.664 18.923
900 23.509 18.135 18.135 22.592 21.614 18.725
925 23.509 18.116 18.116 22.592 21.614 18.652
950 23.509 18.075 18.067 22.592 21.610 18.375
975 23.509 18.047 18.047 22.592 21.590 18.200
1000 23.509 18.039 18.039 22.592 21.566 18.097
1025 23.509 18.007 18.007 22.592 21.550 18.037
1050 23.509 17.991 17.991 22.592 21.513 17.788
1075 23.509 17.963 17.963 22.592 21.370 17.740
1100 23.509 17.934 17.934 22.592 21.367 17.700
1125 23.509 17.921 17.921 22.592 21.356 17.668
1150 23.509 17.906 17.906 22.592 21.316 17.587
1175 23.509 17.896 17.896 22.592 21.237 17.467
1200 23.509 17.872 17.872 22.592 21.237 17.388
1225 23.509 17.843 17.843 22.592 21.218 17.174
1250 23.509 17.823 17.823 22.592 21.143 17.016
1275 23.509 17.806 17.806 22.592 21.104 17.010
1300 23.509 17.786 17.786 22.592 21.074 16.912
1325 23.509 17.757 17.757 22.592 21.059 16.759
1350 23.509 17.743 17.743 22.592 21.037 16.521
1375 23.509 17.733 17.733 22.592 20.927 16.476
1400 23.509 17.710 17.710 22.592 20.922 16.399
1425 23.509 17.692 17.692 22.592 20.723 16.327
1450 23.509 17.683 17.683 22.592 20.686 16.320
1475 23.509 17.673 17.673 22.592 20.685 16.284
1500 23.509 17.665 17.665 22.592 20.351 16.122
1525 23.509 17.651 17.651 22.592 19.737 16.097
1550 23.509 17.638 17.638 22.592 19.737 16.055
1575 23.509 17.627 17.627 22.592 19.717 15.934
1600 23.509 17.624 17.624 22.592 19.666 15.823
1625 23.509 17.601 17.601 22.592 19.621 15.803
1650 23.509 17.579 17.579 22.592 19.566 15.662
1675 23.509 17.550 17.549 22.592 19.508 15.599
1700 23.509 17.535 17.535 22.592 19.487 15.427
1725 23.509 17.529 17.525 22.592 19.454 15.131
1750 23.509 17.516 17.513 22.592 19.423 15.106
1775 23.509 17.504 17.503 22.592 19.423 14.866
1800 23.509 17.497 17.497 22.592 19.422 14.844
1825 23.509 17.487 17.486 22.592 19.402 14.703
1850 23.509 17.476 17.476 22.592 19.324 14.688
1875 23.509 17.472 17.472 22.592 19.278 14.673
1900 23.509 17.470 17.470 22.592 19.133 14.650
1925 23.509 17.467 17.467 22.592 18.854 14.621
1950 23.509 17.462 17.462 22.592 18.795 14.577
1975 23.509 17.453 17.453 22.592 18.510 14.565
2000 23.509 17.451 17.451 22.592 18.473 14.550
2025 23.509 17.439 17.438 22.592 18.438 14.524
2050 23.509 17.434 17.434 22.592 18.327 14.519
2075 23.509 17.431 17.431 22.592 18.270 14.385
2100 23.509 17.430 17.430 22.592 18.242 14.380
2125 23.509 17.430 17.430 22.592 18.195 14.358
2150 23.509 17.429 17.429 22.592 18.189 14.340
2175 23.509 17.426 17.425 22.592 18.187 14.254
2200 23.509 17.417 17.417 22.592 18.074 14.241
2225 23.509 17.416 17.416 22.592 18.038 14.241
2250 23.509 17.415 17.413 22.592 17.933 14.219
2275 23.509 17.413 17.413 22.592 17.892 14.216
2300 23.509 17.409 17.409 22.592 17.887 14.212
2325 23.509 17.406 17.406 22.592 17.738 14.210
2350 23.509 17.405 17.405 22.592 17.673 14.204
2375 23.509 17.403 17.403 22.592 17.673 14.197
2400 23.509 17.402 17.402 22.592 17.669 14.190
2425 23.509 17.401 17.399 22.592 17.669 14.188
2450 23.509 17.394 17.394 22.592 17.618 14.187
2475 23.509 17.390 17.390 22.592 17.541 14.177
2500 23.509 17.384 17.383 22.592 17.480 14.174
2525 23.509 17.383 17.383 22.592 17.472 14.159
2550 23.509 17.382 17.382 22.592 17.399 14.155
2575 23.509 17.381 17.379 22.592 17.381 14.155
2600 23.509 17.376 17.376 22.592 17.310 14.153
2625 23.509 17.375 17.374 22.592 17.279 14.150
2650 23.509 17.372 17.372 22.592 17.256 14.149
2675 23.509 17.372 17.371 22.592 17.255 14.145
2700 23.509 17.369 17.368 22.592 17.223 14.140
2725 23.509 17.367 17.367 22.592 17.174 14.139
2750 23.509 17.365 17.365 22.592 17.158 14.124
2775 23.509 17.360 17.358 22.592 17.145 14.122
2800 23.509 17.358 17.355 22.592 17.023 14.120
2825 23.509 17.350 17.350 22.592 16.996 14.117
2850 23.509 17.347 17.347 22.592 16.962 14.115
2875 23.509 17.344 17.344 22.592 16.931 14.110
2900 23.509 17.343 17.335 22.592 16.871 14.105
2925 23.509 17.332 17.330 22.592 16.766 14.099
2950 23.509 17.330 17.330 22.592 16.762 14.098
