x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
3.3519 0.0000 4.1538 0.4186 4.2127 1.2597 5.3675 2.3531 6.7447 2.4175 2.1383 0.2761 2.6763 0.8274 3.7585 1.6779 5.0055 1.9544 6.1463 2.7335
3.3410 0.2486 4.1458 0.6017 4.2059 1.4148 5.3615 2.4888 6.7391 2.5455 2.1347 0.3583 2.6729 0.9061 3.7552 1.7539 5.0023 2.0278 6.1431 2.8056
3.3086 0.4952 4.1219 0.7834 4.1857 1.5687 5.3438 2.6235 6.7224 2.6726 2.1239 0.4399 2.6626 0.9841 3.7453 1.8293 4.9927 2.1005 6.1337 2.8771
3.2547 0.7381 4.0822 0.9623 4.1521 1.7202 5.3144 2.7562 6.6946 2.7977 2.1061 0.5203 2.6456 1.0610 3.7288 1.9035 4.9769 2.1722 6.1181 2.9475
3.1799 0.9754 4.0271 1.1370 4.1054 1.8682 5.2736 2.8857 6.6561 2.9199 2.0814 0.5988 2.6219 1.1362 3.7060 1.9760 4.9548 2.2422 6.0964 3.0163
3.0847 1.2053 3.9570 1.3063 4.0460 2.0116 5.2216 3.0112 6.6071 3.0383 2.0499 0.6749 2.5917 1.2089 3.6769 2.0463 4.9267 2.3100 6.0688 3.0829
2.9698 1.4259 3.8724 1.4689 3.9743 2.1492 5.1588 3.1317 6.5479 3.1520 2.0118 0.7479 2.5554 1.2788 3.6418 2.1137 4.8928 2.3751 6.0355 3.1468
2.8361 1.6358 3.7739 1.6234 3.8910 2.2801 5.0858 3.2463 6.4790 3.2600 1.9676 0.8173 2.5130 1.3452 3.6009 2.1779 4.8534 2.4371 5.9968 3.2077
2.6847 1.8332 3.6624 1.7688 3.7965 2.4033 5.0032 3.3541 6.4010 3.3617 1.9175 0.8826 2.4651 1.4077 3.5546 2.2382 4.8087 2.4953 5.9529 3.2649
2.5166 2.0166 3.5386 1.9039 3.6916 2.5177 4.9114 3.4542 6.3145 3.4562 1.8619 0.9433 2.4119 1.4658 3.5032 2.2943 4.7591 2.5494 5.9042 3.3180
2.3332 2.1847 3.4035 2.0277 3.5772 2.6225 4.8112 3.5460 6.2200 3.5428 1.8012 0.9990 2.3538 1.5190 3.4472 2.3457 4.7050 2.5990 5.8510 3.3668
2.1358 2.3361 3.2581 2.1393 3.4541 2.7170 4.7034 3.6287 6.1183 3.6208 1.7359 1.0491 2.2913 1.5670 3.3868 2.3920 4.6467 2.6437 5.7938 3.4107
1.9259 2.4698 3.1035 2.2377 3.3232 2.8004 4.5889 3.7017 6.0102 3.6896 1.6664 1.0933 2.2249 1.6093 3.3227 2.4328 4.5848 2.6831 5.7330 3.4494
1.7053 2.5847 2.9410 2.3223 3.1855 2.8721 4.4684 3.7644 5.8966 3.7488 1.5934 1.1313 2.1550 1.6457 3.2552 2.4679 4.5197 2.7170 5.6690 3.4827
1.4754 2.6799 2.7717 2.3925 3.0421 2.9315 4.3429 3.8164 5.7782 3.7978 1.5174 1.1628 2.0822 1.6758 3.1850 2.4970 4.4519 2.7451 5.6024 3.5103
1.2381 2.7547 2.5969 2.4476 2.8941 2.9781 4.2133 3.8573 5.6560 3.8364 1.4388 1.1876 2.0071 1.6995 3.1124 2.5199 4.3819 2.7672 5.5336 3.5320
0.9952 2.8086 2.4180 2.4872 2.7426 3.0117 4.0807 3.8867 5.5309 3.8641 1.3585 1.2054 1.9302 1.7165 3.0382 2.5364 4.3102 2.7831 5.4632 3.5476
0.7486 2.8410 2.2364 2.5111 2.5887 3.0320 3.9460 3.9044 5.4038 3.8808 1.2768 1.2161 1.8521 1.7268 2.9628 2.5463 4.2374 2.7927 5.3917 3.5570
0.5000 2.8519 2.0533 2.5191 2.4337 3.0387 3.8103 3.9103 5.2758 3.8864 1.1946 1.2197 1.7734 1.7303 2.8868 2.5496 4.1641 2.7959 5.3197 3.5602
0.2514 2.8410 1.8702 2.5111 2.2786 3.0320 3.6746 3.9044 5.1478 3.8808 1.1124 1.2161 1.6947 1.7268 2.8108 2.5463 4.0908 2.7927 5.2476 3.5570
0.0048 2.8086 1.6885 2.4872 2.1248 3.0117 3.5399 3.8867 5.0207 3.8641 1.0307 1.2054 1.6166 1.7165 2.7354 2.5364 4.0180 2.7831 5.1761 3.5476
-0.2381 2.7547 1.5096 2.4476 1.9732 2.9781 3.4072 3.8573 4.8956 3.8364 0.9504 1.1876 1.5397 1.6995 2.6612 2.5199 3.9463 2.7672 5.1057 3.5320
-0.4754 2.6799 1.3349 2.3925 1.8252 2.9315 3.2777 3.8164 4.7734 3.7978 0.8718 1.1628 1.4646 1.6758 2.5887 2.4970 3.8763 2.7451 5.0369 3.5103
-0.7053 2.5847 1.1656 2.3223 1.6818 2.8721 3.1522 3.7644 4.6550 3.7488 0.7958 1.1313 1.3918 1.6457 2.5184 2.4679 3.8085 2.7170 4.9703 3.4827
-0.9259 2.4698 1.0030 2.2377 1.5442 2.8004 3.0317 3.7017 4.5414 3.6896 0.7228 1.0933 1.3220 1.6093 2.4510 2.4328 3.7434 2.6831 4.9064 3.4494
-1.1358 2.3361 0.8485 2.1393 1.4133 2.7170 2.9171 3.6287 4.4333 3.6208 0.6533 1.0491 1.2555 1.5670 2.3868 2.3920 3.6815 2.6437 4.8455 3.4107
-1.3332 2.1847 0.7031 2.0277 1.2902 2.6225 2.8093 3.5460 4.3316 3.5428 0.5880 0.9990 1.1931 1.5190 2.3265 2.3457 3.6232 2.5990 4.7883 3.3668
-1.5166 2.0166 0.5680 1.9039 1.1757 2.5177 2.7092 3.4542 4.2371 3.4562 0.5273 0.9433 1.1350 1.4658 2.2704 2.2943 3.5691 2.5494 4.7352 3.3180
-1.6847 1.8332 0.4442 1.7688 1.0709 2.4033 2.6174 3.3541 4.1506 3.3617 0.4717 0.8826 1.0818 1.4077 2.2190 2.2382 3.5195 2.4953 4.6864 3.2649
-1.8361 1.6358 0.3326 1.6234 0.9764 2.2801 2.5347 3.2463 4.0726 3.2600 0.4216 0.8173 1.0338 1.3452 2.1728 2.1779 3.4748 2.4371 4.6425 3.2077
-1.9698 1.4259 0.2342 1.4689 0.8930 2.1492 2.4617 3.1317 4.0037 3.1520 0.3774 0.7479 0.9915 1.2788 2.1319 2.1137 3.4354 2.3751 4.6038 3.1468
