q rmse_p rmse_v rmse_raw nis
0.0100 0.6907 1.1093 1.1263 2.7385
0.0178 0.6037 1.0826 1.1263 2.4943
0.0316 0.5412 1.0594 1.1263 2.3248
0.0562 0.4999 1.0403 1.1263 2.2056
0.1000 0.4769 1.0268 1.1263 2.1204
0.1778 0.4687 1.0207 1.1263 2.0577
0.3162 0.4723 1.0249 1.1263 2.0096
0.5623 0.4847 1.0432 1.1263 1.9702
1.0000 0.5034 1.0807 1.1263 1.9354
1.7783 0.5271 1.1445 1.1263 1.9021
3.1623 0.5547 1.2438 1.1263 1.8683
5.6234 0.5856 1.3896 1.1263 1.8326
10.0000 0.6193 1.5942 1.1263 1.7936
17.7828 0.6555 1.8708 1.1263 1.7501
31.6228 0.6935 2.2341 1.1263 1.7011
56.2341 0.7330 2.7011 1.1263 1.6450
100.0000 0.7734 3.2913 1.1263 1.5805
