x1 y1 x2 y2 x3 y3 x4 y4 x5 y5
6.1589 7.3460 12.8969 18.7582 21.5928 27.7362 31.5802 34.8857 39.4398 38.6093
6.2276 7.3443 12.9655 18.7564 21.6614 27.7345 31.6487 34.8839 39.5084 38.6075
6.2957 7.3390 13.0336 18.7512 21.7295 27.7293 31.7168 34.8787 39.5764 38.6023
6.3628 7.3304 13.1006 18.7425 21.7965 27.7206 31.7838 34.8700 39.6435 38.5936
6.4283 7.3183 13.1660 18.7304 21.8620 27.7085 31.8493 34.8579 39.7089 38.5815
6.4918 7.3029 13.2295 18.7150 21.9254 27.6931 31.9127 34.8426 39.7723 38.5662
6.5527 7.2844 13.2904 18.6965 21.9863 27.6746 31.9736 34.8241 39.8332 38.5476
6.6107 7.2628 13.3483 18.6750 22.0442 27.6530 32.0315 34.8025 39.8911 38.5261
6.6652 7.2384 13.4027 18.6505 22.0986 27.6286 32.0860 34.7781 39.9456 38.5016
6.7158 7.2112 13.4533 18.6234 22.1493 27.6015 32.1366 34.7509 39.9962 38.4745
6.7622 7.1817 13.4997 18.5938 22.1956 27.5719 32.1829 34.7213 40.0426 38.4449
6.8041 7.1498 13.5415 18.5620 22.2374 27.5401 32.2247 34.6895 40.0844 38.4131
6.8410 7.1159 13.5784 18.5281 22.2743 27.5062 32.2616 34.6557 40.1213 38.3792
6.8727 7.0803 13.6101 18.4925 22.3060 27.4706 32.2933 34.6201 40.1530 38.3436
6.8990 7.0432 13.6363 18.4554 22.3323 27.4335 32.3196 34.5830 40.1792 38.3065
6.9197 7.0050 13.6570 18.4172 22.3529 27.3952 32.3402 34.5447 40.1999 38.2683
6.9345 6.9658 13.6719 18.3780 22.3678 27.3561 32.3551 34.5055 40.2147 38.2291
6.9435 6.9260 13.6808 18.3382 22.3767 27.3163 32.3640 34.4657 40.2237 38.1893
6.9465 6.8859 13.6838 18.2981 22.3797 27.2762 32.3670 34.4256 40.2267 38.1492
