t tx ty zx zy ex ey
10.0000 16.6395 22.2875 16.8674 22.1871 16.6101 22.3670
10.1000 16.8504 22.4731 15.6592 22.6820 16.6165 22.5961
10.2000 17.0668 22.6578 16.7271 23.3186 16.7748 22.9137
10.3000 17.3067 22.8539 17.4071 22.6904 17.0132 23.0412
10.4000 17.5673 23.0446 16.0582 22.7924 17.0110 23.1545
10.5000 17.8410 23.2355 19.2021 22.8192 17.4834 23.2404
10.6000 18.1304 23.4182 17.2378 23.8360 17.6010 23.5128
10.7000 18.4161 23.6157 18.7152 24.1994 17.9243 23.8126
10.8000 18.6975 23.8342 15.5787 24.2414 17.7224 24.0675
10.9000 18.9797 24.0534 20.7404 23.8520 18.3229 24.1904
11.0000 19.2601 24.2639 18.1402 23.7599 18.4593 24.2593
11.1000 19.5410 24.5064 18.8365 25.5067 18.6783 24.6708
11.2000 19.8315 24.7829 20.3351 24.0175 19.0973 24.7010
11.3000 20.1137 25.0828 18.0331 25.0771 19.1113 24.9319
11.4000 20.4205 25.3889 19.7691 25.8534 19.3778 25.2819
11.5000 20.7430 25.6927 21.6927 26.2749 19.9060 25.6614
11.6000 21.0783 25.9746 22.1080 26.5499 20.4399 26.0342
11.7000 21.4118 26.2579 22.2824 26.5874 20.9398 26.3489
11.8000 21.7423 26.5496 21.0145 26.7862 21.1835 26.6451
11.9000 22.0784 26.8298 20.7676 27.2455 21.3491 26.9794
12.0000 22.4118 27.1100 21.4870 27.3710 21.5928 27.2762
12.1000 22.7352 27.4085 23.3661 26.7425 22.0884 27.3795
12.2000 23.0647 27.7000 23.5021 27.5749 22.5448 27.6211
12.3000 23.3949 27.9797 22.7290 27.1839 22.8234 27.7276
12.4000 23.7381 28.2383 24.1049 28.2358 23.2707 28.0207
12.5000 24.0822 28.4834 24.7077 29.2076 23.7528 28.4627
12.6000 24.4067 28.7301 22.0969 28.6410 23.7686 28.7100
12.7000 24.7244 28.9612 25.1574 29.3164 24.2340 29.0462
12.8000 25.0282 29.1911 26.2911 29.2130 24.8148 29.2961
12.9000 25.3149 29.4343 23.0528 29.4044 24.8236 29.5315
13.0000 25.6027 29.6779 26.8489 29.5722 25.3957 29.7495
13.1000 25.8779 29.9184 24.4292 30.0909 25.5235 30.0266
13.2000 26.1263 30.1541 27.3884 30.2639 26.0754 30.2833
13.3000 26.3634 30.4059 27.7742 30.7645 26.6187 30.5912
13.4000 26.6209 30.6492 28.2107 31.2540 27.1605 30.9418
13.5000 26.8759 30.8913 28.2035 30.8401 27.6309 31.1385
13.6000 27.1101 31.1328 27.0324 31.5178 27.8547 31.4295
13.7000 27.3290 31.3569 25.8154 31.6840 27.8447 31.6963
13.8000 27.5505 31.5637 27.6723 31.6590 28.0974 31.9010
13.9000 27.7725 31.7557 27.5761 31.4911 28.2905 32.0207
14.0000 27.9838 31.9511 26.8704 31.3341 28.3352 32.0686
