t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
0.3000 0.6090 0.3134 1.9504 0.9639 -0.1594 0.3217 0.3920 0.1982 -0.0634 -1.2166 -16.6063 2.4888 0.9129 0.4564 0.7685 0.2457
0.4000 0.7994 0.4104 1.8519 0.9618 0.6459 0.7587 0.5678 0.5541 0.7173 0.8314 8.0530 4.3703 0.8367 0.4184 0.3806 0.2725
0.5000 0.9808 0.5112 1.8512 1.0694 1.5199 1.4394 1.1678 1.1187 2.4789 2.4392 8.7399 6.8072 0.7746 0.3874 1.0734 0.6356
0.6000 1.1680 0.6233 1.8833 1.1715 -0.8245 1.2924 0.2419 1.3258 -0.7256 2.3383 -23.4438 -1.4707 0.7238 0.3621 2.1019 1.1624
0.7000 1.3585 0.7374 1.8848 1.1536 4.3421 -0.0225 2.1078 0.8234 3.7572 0.6249 51.6665 -13.1490 0.6816 0.3411 3.0789 0.7542
0.8000 1.5651 0.8462 2.2002 1.0855 1.0229 0.2906 1.8743 0.6367 2.5341 0.1192 -33.1920 3.1312 0.6458 0.3234 0.7763 0.3734
0.9000 1.7743 0.9432 1.9857 0.9037 1.7487 0.6941 1.9843 0.6659 2.2793 0.1504 7.2577 4.0350 0.6152 0.3085 0.2504 0.3478
1.0000 1.9702 1.0378 1.9346 0.9723 1.3043 1.3214 1.8976 0.9049 1.7776 0.5178 -4.4444 6.2736 0.5886 0.2956 0.7238 0.1515
1.1000 2.1639 1.1361 1.8971 1.0028 2.0692 1.2776 2.0734 1.0607 1.7748 0.6750 7.6491 -0.4378 0.5654 0.2846 0.1703 0.1179
1.2000 2.3481 1.2412 1.7822 0.9754 3.2375 0.8758 2.5438 1.0518 2.1650 0.5671 11.6833 -4.0182 0.5449 0.2751 0.9615 0.2723
1.3000 2.5270 1.3390 1.9282 1.0533 1.6893 1.6867 2.4632 1.2733 1.7979 0.7873 -15.4821 8.1087 0.5267 0.2669 0.9071 0.0916
1.4000 2.7194 1.4561 1.9178 1.2636 2.3022 1.5496 2.5542 1.4054 1.6952 0.8556 6.1296 -1.3712 0.5104 0.2599 0.4275 0.1727
1.5000 2.8989 1.5942 1.6183 1.5203 2.5126 0.1854 2.6718 1.1541 1.6387 0.4389 2.1037 -13.6414 0.4959 0.2540 1.4607 0.4952
1.6000 3.0625 1.7479 1.7083 1.6080 2.6268 1.2504 2.7869 1.2110 1.5882 0.4546 1.1414 10.6492 0.4830 0.2489 0.6614 0.6035
1.7000 3.2197 1.9043 1.5549 1.5628 3.1198 1.1534 2.9844 1.2318 1.6265 0.4253 4.9304 -0.9692 0.4713 0.2447 0.7574 0.7124
1.8000 3.3685 2.0641 1.3836 1.7350 3.3206 1.7038 3.1839 1.3743 1.6616 0.5428 2.0079 5.5037 0.4609 0.2413 0.3635 0.7141
1.9000 3.5097 2.2362 1.3919 1.6009 3.9237 2.1659 3.4671 1.5964 1.7693 0.7388 6.0315 4.6212 0.4516 0.2385 0.4200 0.6413
2.0000 3.6535 2.3984 1.4329 1.5704 3.0390 2.3755 3.5251 1.8277 1.6628 0.9223 -8.8472 2.0955 0.4434 0.2363 0.6149 0.5850
2.1000 3.8060 2.5738 1.4522 1.6904 5.0033 2.6876 3.9408 2.0888 1.8812 1.1192 19.6425 3.1207 0.4360 0.2345 1.2027 0.5034
2.2000 3.9342 2.7513 1.3316 1.9019 1.8094 3.4442 3.7011 2.4712 1.5132 1.4351 -31.9385 7.5662 0.4295 0.2332 2.2349 0.3644
2.3000 4.0638 2.9374 1.3118 1.8086 2.0819 2.7893 3.5345 2.6524 1.2435 1.4791 2.7244 -6.5491 0.4237 0.2322 1.9875 0.6012
2.4000 4.2096 3.1289 1.4983 1.8940 3.3118 4.2833 3.5980 3.1181 1.1925 1.8523 12.2994 14.9407 0.4187 0.2315 1.4624 0.6116
2.5000 4.3661 3.3149 1.4068 1.8628 3.4623 2.6467 3.6735 3.1632 1.1560 1.6873 1.5045 -16.3666 0.4143 0.2310 1.1241 0.7090
2.6000 4.5168 3.5019 1.6703 1.9549 3.5624 3.4433 3.7509 3.3557 1.1243 1.7153 1.0010 7.9663 0.4106 0.2306 0.9562 0.7797
2.7000 4.6815 3.7095 1.5710 2.1007 4.3341 4.2511 3.9414 3.6809 1.1889 1.8970 7.7178 8.0781 0.4074 0.2304 0.6435 0.7406
2.8000 4.8299 3.9286 1.3259 2.3310 4.5633 4.5158 4.1427 4.0075 1.2568 2.0590 2.2915 2.6470 0.4046 0.2303 0.6449 0.6917
2.9000 4.9543 4.1650 1.2929 2.3444 3.1428 3.7593 4.0861 4.1171 1.1065 1.9449 -14.2053 -7.5656 0.4023 0.2302 1.8564 0.8695
3.0000 5.0721 4.3958 1.1994 2.3765 3.9907 3.8863 4.1637 4.2215 1.0792 1.8381 8.4797 1.2706 0.4004 0.2301 1.1953 0.9249
3.1000 5.2058 4.6414 1.4876 2.4941 5.6855 4.7577 4.4966 4.4800 1.2652 1.9267 16.9483 8.7135 0.3989 0.2301 0.4936 0.7274
3.2000 5.3570 4.8994 1.5986 2.4925 5.1319 3.9392 4.7036 4.5173 1.3318 1.7422 -5.5361 -8.1843 0.3976 0.2301 0.9862 0.7570
3.3000 5.5298 5.1430 1.7985 2.4579 3.6617 5.1612 4.6519 4.7910 1.1785 1.8604 -14.7021 12.2195 0.3966 0.2301 1.8681 0.9458
3.4000 5.7145 5.3849 1.8587 2.3928 6.1245 4.8676 4.9820 4.9538 1.3549 1.8328 24.6277 -2.9362 0.3958 0.2301 0.6600 0.8499
3.5000 5.8975 5.6319 1.9196 2.5514 7.0992 5.6474 5.4270 5.2452 1.6127 1.9612 9.7467 7.7984 0.3952 0.2301 1.2017 0.6090
3.6000 6.0871 5.8815 2.0175 2.5414 4.8239 4.6624 5.4692 5.2763 1.5134 1.7653 -22.7524 -9.8502 0.3947 0.2301 1.7555 0.8649
3.7000 6.2804 6.1390 1.8531 2.4835 5.4204 5.8215 5.5894 5.5309 1.4874 1.8580 5.9645 11.5909 0.3943 0.2301 0.9167 0.9204
3.8000 6.4862 6.3924 2.0849 2.5981 5.6622 6.9089 5.7263 5.9692 1.4775 2.1576 2.4185 10.8737 0.3941 0.2301 0.9724 0.8698
3.9000 6.6901 6.6672 1.9568 2.7389 5.4511 6.8291 5.8084 6.3214 1.4225 2.3195 -2.1115 -0.7979 0.3939 0.2301 1.2495 0.9470
4.0000 6.8797 6.9423 1.9317 2.7372 7.2937 8.1235 6.1589 6.8859 1.5971 2.7141 18.4258 12.9448 0.3938 0.2301 1.2517 0.7229
4.1000 7.0814 7.2190 2.0334 2.8440 9.3252 7.2290 6.7847 7.1725 1.9882 2.7321 20.3152 -8.9452 0.3937 0.2301 2.2438 0.3004
