t tx ty zx zy e1x e1y err1 e2x e2y err2 e3x e3y err3
0.2000 0.6000 0.0000 0.1998 -0.4641 0.2168 -0.3571 0.5238 0.2168 -0.3571 0.5238 0.2167 -0.3577 0.5243
0.3000 0.9000 0.0000 1.0866 -0.8403 0.8632 -0.7202 0.7212 0.8633 -0.7203 0.7212 0.8697 -0.7251 0.7257
0.4000 1.2000 0.0000 0.3403 0.0688 0.6888 -0.3280 0.6074 0.6886 -0.3278 0.6074 0.6734 -0.3065 0.6093
0.5000 1.5000 0.0000 2.1921 2.5319 1.5592 1.1679 1.1694 1.5599 1.1702 1.1717 1.6164 1.3600 1.3650
0.6000 1.8000 0.0000 2.2870 1.5331 2.0922 1.5542 1.5814 2.0935 1.5570 1.5844 2.1886 1.7464 1.7891
0.7000 2.1000 0.0000 0.9521 -1.0608 1.8522 0.6981 0.7408 1.8503 0.6944 0.7379 1.7290 0.4477 0.5814
0.8000 2.4000 0.0000 2.6300 -0.4875 2.3168 0.3429 0.3529 2.3162 0.3334 0.3438 2.2814 -0.1372 0.1814
0.9000 2.7000 0.0000 4.1396 1.3233 3.1482 0.7210 0.8489 3.1552 0.7148 0.8475 3.4329 0.5184 0.8977
1.0000 3.0000 0.0000 2.0086 0.6525 3.0518 0.7744 0.7761 3.0490 0.7669 0.7685 2.9333 0.6173 0.6209
1.1000 3.3000 0.0000 5.0028 1.1730 3.8536 0.9640 1.1117 3.8657 0.9593 1.1137 4.1543 0.9551 1.2814
1.2000 3.6000 0.0000 2.7371 -0.5115 3.8251 0.6408 0.6791 3.8195 0.6166 0.6545 3.6426 0.2296 0.2335
1.3000 3.9000 0.0000 3.3560 -0.1682 3.9526 0.4780 0.4809 3.9331 0.4384 0.4397 3.5588 -0.0670 0.3478
1.4000 4.2000 0.0000 4.0879 -1.3413 4.2213 0.0653 0.0687 4.1966 -0.0126 0.0131 3.8793 -0.8659 0.9234
1.5000 4.5000 0.0000 3.8228 -0.0107 4.3672 0.0399 0.1387 4.3244 -0.0423 0.1806 3.9230 -0.5977 0.8308
1.6000 4.8000 0.0000 5.9814 1.2224 4.9442 0.2861 0.3203 4.9384 0.2379 0.2752 5.1054 0.3245 0.4456
1.7000 5.1000 0.0000 4.6512 -0.4299 5.1363 0.1485 0.1529 5.1117 0.0789 0.0797 5.0957 0.0253 0.0256
1.8000 5.4000 0.0000 7.4104 -1.4025 5.8269 -0.1552 0.4542 5.8799 -0.2827 0.5569 6.5104 -0.7400 1.3344
1.9000 5.7000 0.0000 5.8536 2.7378 6.1068 0.3627 0.5450 6.1490 0.3670 0.5799 6.4864 1.0448 1.3077
2.0000 6.0000 0.0000 5.6007 1.2491 6.2906 0.5340 0.6080 6.2916 0.5886 0.6568 6.2023 1.3937 1.4083
2.1000 6.3000 0.0000 4.9571 0.6567 6.3302 0.5780 0.5788 6.2386 0.6430 0.6460 5.5932 1.1956 1.3888
2.2000 6.6000 0.0000 7.8275 0.8026 6.8285 0.6390 0.6786 6.8091 0.7184 0.7482 6.7576 1.0716 1.0831
2.3000 6.9000 0.0000 8.0274 -1.5194 7.2834 0.3249 0.5025 7.3239 0.2593 0.4969 7.6202 -0.3152 0.7862
