mc_x mc_y ekf_x ekf_y ut_x ut_y
-56.872 94.591 -60.000 100.000 -57.336 95.600
-56.633 93.264 -59.772 99.128 -57.118 93.836
-55.964 91.954 -59.088 98.264 -56.465 92.085
-54.870 90.672 -57.956 97.412 -55.383 90.361
-53.361 89.427 -56.382 96.580 -53.878 88.677
-51.446 88.229 -54.378 95.774 -51.964 87.046
-49.141 87.087 -51.962 95.000 -49.655 85.480
-46.463 86.009 -49.149 94.264 -46.967 83.990
-43.433 85.005 -45.963 93.572 -43.922 82.589
-40.073 84.081 -42.426 92.929 -40.543 81.288
-36.410 83.244 -38.567 92.340 -36.855 80.095
-32.471 82.502 -34.415 91.808 -32.887 79.020
-28.286 81.859 -30.000 91.340 -28.668 78.071
-23.887 81.320 -25.357 90.937 -24.231 77.255
-19.308 80.890 -20.521 90.603 -19.610 76.580
-14.582 80.572 -15.529 90.341 -14.840 76.049
-9.747 80.368 -10.419 90.152 -9.956 75.667
-4.839 80.280 -5.229 90.038 -4.997 75.436
0.104 80.308 0.000 90.000 0.000 75.359
5.046 80.452 5.229 90.038 4.997 75.436
9.948 80.712 10.419 90.152 9.956 75.667
14.772 81.085 15.529 90.341 14.840 76.049
19.484 81.568 20.521 90.603 19.610 76.580
24.045 82.158 25.357 90.937 24.231 77.255
28.423 82.850 30.000 91.340 28.668 78.071
32.583 83.639 34.415 91.808 32.887 79.020
36.494 84.519 38.567 92.340 36.855 80.095
40.125 85.483 42.426 92.929 40.543 81.288
43.450 86.524 45.963 93.572 43.922 82.589
46.444 87.634 49.149 94.264 46.967 83.990
49.082 88.804 51.962 95.000 49.655 85.480
51.346 90.026 54.378 95.774 51.964 87.046
53.217 91.290 56.382 96.580 53.878 88.677
54.683 92.587 57.956 97.412 55.383 90.361
55.731 93.907 59.088 98.264 56.465 92.085
56.354 95.240 59.772 99.128 57.118 93.836
56.546 96.575 60.000 100.000 57.336 95.600
56.307 97.902 59.772 100.872 57.118 97.364
55.638 99.212 59.088 101.736 56.465 99.115
54.545 100.494 57.956 102.588 55.383 100.839
53.035 101.739 56.382 103.420 53.878 102.523
51.120 102.937 54.378 104.226 51.964 104.155
48.815 104.079 51.962 105.000 49.655 105.721
46.137 105.157 49.149 105.736 46.967 107.210
43.107 106.161 45.963 106.428 43.922 108.611
39.748 107.085 42.426 107.071 40.543 109.913
36.084 107.922 38.567 107.660 36.855 111.106
32.145 108.664 34.415 108.192 32.887 112.181
27.960 109.307 30.000 108.660 28.668 113.130
23.561 109.846 25.357 109.063 24.231 113.945
18.982 110.276 20.521 109.397 19.610 114.621
14.257 110.594 15.529 109.659 14.840 115.152
9.422 110.798 10.419 109.848 9.956 115.534
4.514 110.886 5.229 109.962 4.997 115.765
-0.430 110.858 0.000 110.000 0.000 115.842
-5.371 110.714 -5.229 109.962 -4.997 115.765
-10.273 110.454 -10.419 109.848 -9.956 115.534
-15.098 110.081 -15.529 109.659 -14.840 115.152
-19.809 109.598 -20.521 109.397 -19.610 114.621
-24.371 109.008 -25.357 109.063 -24.231 113.945
-28.749 108.316 -30.000 108.660 -28.668 113.130
-32.909 107.527 -34.415 108.192 -32.887 112.181
-36.819 106.647 -38.567 107.660 -36.855 111.106
-40.451 105.683 -42.426 107.071 -40.543 109.913
-43.776 104.642 -45.963 106.428 -43.922 108.611
-46.769 103.532 -49.149 105.736 -46.967 107.210
-49.408 102.362 -51.962 105.000 -49.655 105.721
-51.672 101.140 -54.378 104.226 -51.964 104.155
-53.543 99.876 -56.382 103.420 -53.878 102.523
-55.009 98.579 -57.956 102.588 -55.383 100.839
-56.057 97.259 -59.088 101.736 -56.465 99.115
-56.679 95.927 -59.772 100.872 -57.118 97.364
-56.872 94.591 -60.000 100.000 -57.336 95.600
