x y
-28.839 93.818
18.822 100.329
43.559 93.734
17.273 101.508
-13.549 102.264
-15.179 94.958
19.592 99.805
-26.211 106.837
27.481 89.987
-9.496 101.139
-34.376 90.026
25.717 97.139
5.261 97.986
22.789 89.374
7.999 90.598
38.778 95.490
35.300 95.282
15.297 97.995
15.405 92.667
-8.255 93.509
-35.308 93.806
-29.843 87.748
-12.083 98.871
-44.339 88.580
-33.693 101.483
65.362 77.389
1.010 102.777
-12.913 98.487
-8.487 105.627
22.582 95.021
-32.963 96.369
-14.067 101.772
35.416 91.103
-18.947 103.002
19.399 88.767
-33.065 99.665
-60.566 75.506
-30.250 102.644
40.277 90.832
-52.921 89.590
33.228 99.150
20.944 103.598
-8.537 88.599
-2.932 86.399
-32.202 100.003
-22.673 111.319
-17.458 93.467
17.979 101.821
10.209 90.677
11.458 95.846
-22.215 96.538
-42.721 93.698
-26.116 93.807
-0.702 91.276
24.146 88.853
29.624 100.962
-52.802 93.293
9.211 102.271
23.626 92.106
29.210 95.270
23.050 96.839
53.865 87.878
-28.951 98.236
-40.560 85.887
-22.117 105.365
-7.496 92.235
12.531 91.092
-4.401 93.598
-9.725 95.777
21.961 102.272
12.621 101.924
9.026 98.478
16.371 94.845
-32.131 99.487
-24.673 96.715
-20.325 102.956
2.248 89.432
-9.758 105.858
10.593 98.924
11.218 100.764
2.975 104.173
-14.324 98.924
4.917 105.982
8.536 101.874
0.122 93.975
-10.918 102.118
7.745 99.242
3.709 93.783
7.487 107.641
-40.284 91.308
-7.539 100.291
-22.799 91.441
1.946 106.860
-30.211 100.803
-33.818 79.441
-11.921 92.220
7.270 101.997
11.235 97.550
13.267 96.732
2.820 96.330
6.184 100.306
24.930 98.404
-24.076 97.981
40.075 100.083
-8.138 103.427
16.949 88.597
-14.569 93.885
-39.385 99.862
-40.516 92.739
-6.719 101.705
19.909 90.253
22.482 95.541
13.540 94.098
-14.143 104.003
10.907 100.734
0.932 97.731
-4.790 96.169
9.085 98.853
1.044 100.771
28.459 97.227
23.749 91.950
-33.983 88.752
-9.140 95.132
-41.271 94.645
17.450 97.221
-49.780 87.500
-25.190 95.182
36.233 98.073
-21.667 103.180
-25.036 88.651
-1.674 106.013
-20.692 99.153
26.173 98.130
21.115 91.679
-17.050 94.798
23.862 90.535
-33.838 89.386
-13.658 107.378
-19.541 102.020
19.166 93.315
-3.061 102.180
25.857 85.694
42.287 90.182
-18.180 101.151
35.965 99.844
-22.535 96.014
0.176 95.393
2.248 96.324
1.147 93.551
-34.398 101.717
5.444 96.464
-26.054 90.736
-30.146 96.325
21.178 97.430
39.193 95.719
-30.580 93.848
72.203 64.004
-47.631 81.564
36.859 90.606
-36.583 89.931
34.037 91.079
-0.205 108.527
47.467 92.009
-3.970 106.651
-35.934 101.395
-3.946 99.718
-76.069 64.900
-41.515 95.671
55.340 87.830
-41.032 84.183
18.856 99.286
-6.589 102.724
19.281 109.543
-9.133 96.593
-3.284 105.549
2.456 103.661
5.076 99.515
-26.685 94.431
-31.238 92.772
55.619 73.444
39.876 106.311
-5.600 104.356
-68.505 79.312
-24.736 98.069
-18.602 96.562
-39.431 84.734
28.480 96.356
2.531 99.370
46.042 96.263
-20.408 93.572
-0.158 97.543
26.948 99.116
46.949 90.379
-4.144 92.890
25.068 92.445
-1.629 95.264
-0.656 98.645
-54.992 87.082
-35.860 91.620
29.063 94.164
9.537 101.450
29.777 104.187
-24.161 98.946
-56.255 86.099
-3.375 94.996
-43.890 91.035
41.787 83.092
-11.970 97.773
16.766 96.073
-13.333 97.815
13.304 103.931
-15.468 93.467
-51.333 81.617
-17.673 98.008
-13.373 94.512
15.533 96.431
1.314 101.254
0.401 103.871
-3.502 103.861
-30.470 92.626
10.702 98.689
-17.570 95.493
45.389 82.386
17.976 96.283
-10.489 96.966
-8.147 108.775
35.820 91.101
34.252 89.784
12.337 91.373
0.092 103.780
12.707 99.227
9.725 99.280
-13.563 92.519
7.560 97.726
-34.717 85.786
32.217 101.271
29.373 89.010
-35.912 96.460
40.333 88.034
-9.952 93.707
17.287 98.433
39.430 86.344
-9.432 99.790
25.318 100.597
25.823 100.037
-54.099 82.567
11.585 106.518
30.552 106.265
52.487 82.439
-12.778 96.837
-46.617 95.502
-39.146 93.860
-22.706 88.908
-2.059 97.911
12.785 97.643
17.707 100.830
-4.624 100.490
-42.135 92.057
49.022 97.214
23.618 102.443
-33.694 93.889
-17.093 89.091
9.513 98.128
22.938 97.234
12.803 93.092
-23.814 92.737
-17.990 94.121
-12.776 92.266
-46.559 98.460
-55.635 82.791
10.253 84.045
40.520 81.360
35.997 84.733
7.406 94.592
-17.201 104.187
23.190 95.225
-67.067 71.085
-40.130 82.512
0.302 101.677
-14.692 114.592
-10.073 95.998
-25.050 102.314
11.173 101.222
-7.355 94.415
17.692 102.246
37.608 85.954
10.668 91.701
-26.770 89.110
25.479 87.280
-10.219 103.957
13.595 99.638
-8.327 98.135
-1.955 104.114
39.707 93.004
-56.165 86.752
-9.847 96.508
-14.749 95.292
50.488 88.920
6.594 98.218
-13.000 96.114
36.944 89.917
-9.381 109.403
-14.913 106.928
-29.832 96.388
11.046 102.670
14.352 99.525
32.787 99.085
-10.960 98.940
-7.801 99.565
53.562 76.317
16.479 106.318
-6.247 98.417
-25.817 99.771
16.607 102.953
12.148 98.516
7.026 90.191
35.327 92.314
7.377 90.429
10.627 96.512
7.630 106.488
42.378 88.935
-26.169 94.890
23.071 100.295
-59.306 85.563
6.287 93.010
-41.216 80.620
-7.562 91.269
-36.955 94.202
10.675 99.025
29.454 87.253
-27.348 95.300
-23.907 87.773
45.825 85.926
-13.011 101.018
-23.106 102.136
-13.091 95.957
-5.174 99.688
27.708 94.187
-12.588 98.447
0.655 93.985
36.423 88.339
-12.967 97.057
26.014 100.890
28.681 92.414
-1.425 101.818
-40.686 93.735
11.675 97.805
3.920 104.950
-24.614 94.016
42.743 95.278
-4.762 94.651
-23.140 102.759
0.179 95.814
-37.823 86.904
27.654 108.149
32.030 93.617
10.767 102.355
16.616 100.034
53.953 85.545
53.312 87.341
-36.154 96.813
-23.319 99.350
-4.007 108.022
28.318 91.468
63.081 82.112
23.125 95.528
8.272 98.795
-29.935 89.593
51.063 91.748
-1.681 101.048
6.814 89.353
20.481 99.495
-22.915 97.117
8.756 97.910
25.861 95.305
-17.959 95.871
37.880 92.195
-1.306 98.748
-4.954 100.785
24.080 94.700
6.830 101.093
27.309 99.982
-36.451 92.290
31.160 87.941
-58.785 83.004
11.045 96.951
41.897 90.905
-7.117 102.764
46.133 86.378
-15.398 105.136
-23.265 100.649
-0.504 98.346
-59.464 78.489
-19.595 93.903
-19.764 92.090
23.295 88.467
-3.516 102.200
18.269 99.485
-9.603 98.045
2.752 104.698
19.560 97.931
4.468 91.527
-10.438 98.614
23.468 92.108
32.851 87.125
32.378 91.635
28.864 86.843
15.928 89.560
3.936 93.720
-18.877 89.776
-51.504 71.662
-6.485 104.831
7.961 103.599
-36.695 85.235
-53.193 90.996
1.337 101.177
-9.374 102.148
-19.642 100.155
1.267 105.415
54.641 89.923
-59.059 79.467
32.171 96.149
54.939 84.048
-64.430 70.866
-4.720 104.120
-13.847 95.569
3.130 104.830
12.823 102.968
23.245 103.571
41.191 84.899
-17.273 96.834
-3.512 105.165
6.805 97.539
-3.112 97.435
-47.705 87.661
37.951 103.887
-25.053 101.740
-6.396 94.720
39.314 85.132
12.706 96.455
34.163 93.236
-6.978 101.358
12.100 100.332
7.502 103.661
11.122 99.756
-34.429 76.655
-8.712 94.356
20.699 100.575
-13.446 96.055
-73.558 60.492
50.145 86.973
-26.593 99.572
3.937 105.476
-9.195 91.113
24.969 100.148
25.203 97.363
-35.883 101.444
0.861 101.234
-31.615 91.706
-6.364 99.212
7.737 104.153
28.695 95.035
33.930 95.359
22.777 102.318
-22.226 103.462
-2.001 98.136
-9.121 96.581
-24.222 95.675
73.341 82.345
-32.960 100.764
14.990 92.780
-9.084 100.205
-24.533 99.886
20.268 96.501
12.444 95.667
-15.375 101.754
18.037 97.806
1.548 102.017
47.757 96.230
-37.698 94.470
10.039 93.832
66.149 66.890
-30.450 87.583
25.261 99.157
-3.971 96.633
13.196 95.027
11.350 93.310
-41.329 88.568
31.420 98.388
14.117 99.298
-16.084 101.461
-3.326 101.346
29.074 97.054
-1.102 99.067
-12.151 102.372
28.563 94.095
-62.281 89.627
-20.293 95.238
-2.209 113.192
-17.947 96.937
15.619 97.525
45.047 87.543
-4.011 95.588
-30.567 101.637
-30.472 88.564
2.251 100.620
7.745 98.877
-16.772 108.862
45.651 80.958
0.994 100.388
5.869 98.990
17.027 96.331
12.598 103.636
-29.994 95.196
-14.741 102.331
12.909 87.351
-5.607 101.379
17.349 99.881
-12.451 106.035
46.645 85.261
18.931 91.865
-13.948 89.741
-7.080 101.868
19.275 96.124
-4.012 99.959
7.291 86.475
-4.708 98.244
48.568 81.157
-8.792 104.378
37.047 85.797
24.223 95.709
-26.990 93.575
-19.218 97.943
71.122 77.164
-67.613 84.235
19.778 99.893
-91.549 37.152
-49.429 84.440
33.074 94.036
12.152 92.146
-18.110 96.711
-56.826 84.083
-37.962 89.286
2.380 101.677
-20.776 93.732
-35.984 95.512
0.036 92.337
6.096 106.988
8.469 103.197
-13.432 101.105
-16.430 96.466
-10.059 97.408
13.152 98.798
-24.443 93.924
6.596 101.249
21.984 103.840
15.032 91.886
-2.934 109.108
20.781 97.561
7.052 102.309
-23.875 94.935
11.303 107.134
9.867 102.356
4.065 97.127
-4.762 100.046
37.030 90.220
-46.382 77.999
-13.659 100.492
-31.197 93.408
-41.395 87.455
-0.052 93.951
31.941 99.755
11.644 95.773
47.762 84.594
-50.946 86.258
5.082 98.556
2.905 97.161
23.410 91.371
-48.022 89.620
-29.127 109.157
-16.371 106.440
18.328 91.123
-27.834 99.429
-50.519 88.570
13.626 99.729
-3.473 104.095
