t err_meas err_ekf err_ukf err_pf
0.5 2.002 2.002 2.002 1.812
1.0 2.464 1.984 1.839 1.276
1.5 6.246 5.148 4.173 4.258
2.0 6.575 2.206 3.740 2.943
2.5 1.880 2.082 2.882 3.250
3.0 7.048 5.447 6.250 5.878
3.5 5.025 6.281 6.043 6.656
4.0 2.174 4.235 3.717 4.424
4.5 4.844 1.217 2.230 1.335
5.0 5.958 3.174 4.514 3.919
5.5 2.480 2.982 4.154 3.360
6.0 2.738 3.701 4.258 3.941
6.5 4.208 0.464 0.841 0.593
7.0 1.597 0.064 0.655 0.439
7.5 3.115 1.612 1.636 1.662
8.0 1.863 0.410 0.740 0.523
8.5 1.289 0.709 0.655 0.747
9.0 1.997 0.344 0.579 0.629
9.5 4.740 2.814 2.694 2.499
10.0 5.294 3.974 3.978 3.664
10.5 4.453 2.976 2.906 2.540
11.0 1.050 1.536 1.400 1.738
11.5 6.022 4.005 3.969 3.776
12.0 6.013 6.003 5.941 5.803
12.5 2.447 4.112 4.015 4.581
13.0 1.123 2.206 2.137 3.516
13.5 3.915 1.911 1.977 0.792
14.0 1.713 1.230 1.199 1.283
14.5 3.692 2.675 2.742 2.012
15.0 2.253 2.592 2.642 2.739
15.5 5.287 2.909 2.899 2.236
16.0 1.081 2.824 2.715 2.464
16.5 5.346 5.413 5.339 5.140
17.0 4.624 3.775 3.664 3.401
17.5 1.367 2.472 2.313 2.266
18.0 3.285 2.682 2.593 2.497
18.5 6.206 4.148 4.146 3.868
19.0 2.818 1.633 1.550 1.474
19.5 4.402 2.660 2.804 2.469
20.0 1.506 1.297 1.263 1.227
20.5 2.606 0.721 0.790 0.296
21.0 4.047 3.202 3.202 2.516
21.5 3.219 1.947 1.923 1.559
22.0 3.974 3.463 3.461 3.125
22.5 3.069 3.649 3.625 3.454
23.0 1.852 1.560 1.556 1.782
23.5 1.990 1.476 1.393 1.391
24.0 1.139 0.487 0.306 0.359
24.5 4.666 2.997 3.043 2.222
25.0 2.343 0.196 0.151 0.290
25.5 2.027 1.176 1.146 0.954
26.0 3.625 1.963 1.955 1.955
26.5 2.464 0.642 0.365 0.663
27.0 6.794 3.207 3.477 3.842
27.5 1.762 2.871 3.048 3.123
28.0 0.530 1.782 1.852 1.885
28.5 2.846 0.286 0.225 0.473
29.0 4.707 2.979 3.035 2.855
29.5 4.204 4.633 4.655 4.709
30.0 3.492 4.850 4.843 4.761
