t x_true y_true meas_x meas_y ekf_x ekf_y ukf_x ukf_y pf_x pf_y
0.5 120.000 -94.000 121.860 -94.739 121.860 -94.739 121.860 -94.739 121.631 -94.790
1.0 120.000 -88.000 119.793 -85.544 120.125 -86.020 120.233 -86.176 119.821 -86.737
1.5 120.000 -82.000 125.946 -80.088 124.758 -80.035 124.015 -80.865 124.186 -81.216
2.0 120.000 -76.000 114.795 -80.017 118.640 -77.737 117.520 -78.800 118.425 -78.485
2.5 120.000 -70.000 118.484 -68.887 118.120 -70.896 117.323 -71.068 117.327 -71.848
3.0 120.000 -64.000 113.378 -61.585 114.572 -63.544 113.849 -62.894 114.141 -64.466
3.5 120.000 -58.000 115.156 -59.336 113.764 -58.757 113.958 -58.118 113.515 -59.500
4.0 120.000 -52.000 117.928 -52.656 115.818 -52.667 116.283 -52.061 115.788 -53.353
4.5 119.551 -46.022 122.314 -42.044 120.224 -45.008 120.652 -44.083 120.019 -44.773
5.0 118.213 -40.179 119.624 -34.390 120.431 -37.909 120.685 -36.402 120.378 -36.912
5.5 116.018 -34.601 114.514 -32.628 117.184 -31.856 117.190 -30.616 117.307 -31.498
6.0 113.013 -29.414 115.735 -29.717 116.164 -27.473 116.233 -26.627 116.221 -27.125
6.5 109.268 -24.734 106.257 -27.674 109.665 -24.494 109.654 -23.988 109.529 -25.267
7.0 104.864 -20.667 103.671 -19.605 104.822 -20.619 104.693 -20.035 104.924 -21.102
7.5 99.903 -17.303 96.793 -17.493 98.613 -18.269 98.333 -17.762 98.712 -18.463
8.0 94.494 -14.718 94.282 -12.867 94.091 -14.647 93.835 -14.384 94.011 -14.518
8.5 88.760 -12.971 89.553 -11.954 89.171 -12.394 88.973 -12.352 88.837 -12.229
9.0 82.829 -12.100 80.834 -12.183 82.487 -12.138 82.254 -12.165 82.217 -11.957
9.5 76.835 -12.125 79.702 -8.350 78.096 -9.610 77.979 -9.687 77.699 -9.781
10.0 70.912 -13.046 67.756 -8.796 70.684 -9.079 70.425 -9.098 70.360 -9.423
10.5 65.193 -14.842 69.533 -13.847 66.610 -12.225 66.585 -12.291 66.372 -12.592
11.0 59.806 -17.472 60.370 -18.357 61.310 -17.158 61.186 -17.230 61.534 -17.287
11.5 54.627 -20.501 60.091 -17.971 58.525 -19.582 58.483 -19.563 58.343 -19.829
12.0 49.448 -23.530 55.457 -23.332 55.451 -23.574 55.389 -23.570 55.249 -23.697
12.5 44.268 -26.559 44.004 -28.992 47.950 -28.389 47.800 -28.469 48.385 -28.570
13.0 39.089 -29.588 39.746 -28.677 41.182 -30.284 41.133 -30.211 42.293 -31.035
13.5 33.910 -32.617 31.534 -29.505 33.311 -30.802 33.255 -30.752 34.576 -32.188
14.0 28.731 -35.646 30.422 -35.922 29.127 -34.482 29.103 -34.507 30.009 -35.530
14.5 23.551 -38.675 20.875 -36.133 22.181 -36.378 22.068 -36.369 22.514 -36.951
15.0 18.372 -41.704 16.176 -41.201 16.358 -40.073 16.298 -40.067 16.273 -39.944
15.5 13.193 -44.733 13.806 -49.985 12.855 -47.623 12.887 -47.617 12.583 -46.885
16.0 8.014 -47.762 7.737 -48.808 7.906 -50.584 7.991 -50.477 7.636 -50.198
16.5 2.834 -50.791 5.654 -55.333 4.958 -55.771 5.077 -55.636 4.711 -55.576
17.0 -2.345 -53.821 -6.702 -55.368 -4.303 -57.048 -4.268 -56.939 -3.480 -57.026
17.5 -7.792 -56.313 -6.463 -56.638 -8.421 -58.703 -8.280 -58.574 -7.917 -58.576
18.0 -13.625 -57.674 -15.621 -60.283 -14.679 -60.140 -14.611 -60.073 -14.353 -60.063
18.5 -19.612 -57.849 -24.249 -61.974 -22.017 -61.229 -22.042 -61.209 -21.697 -61.108
19.0 -25.515 -56.831 -22.894 -55.797 -26.197 -58.315 -25.968 -58.313 -26.058 -58.201
19.5 -31.098 -54.660 -27.268 -56.832 -29.726 -56.939 -29.449 -56.928 -29.620 -56.638
20.0 -36.139 -51.424 -37.602 -51.068 -35.605 -52.606 -35.576 -52.554 -35.675 -52.560
20.5 -40.436 -47.251 -41.437 -44.845 -40.190 -46.573 -40.262 -46.480 -40.385 -46.959
21.0 -43.818 -42.307 -40.178 -40.538 -41.158 -40.524 -41.173 -40.503 -41.654 -41.025
21.5 -46.150 -36.790 -45.754 -39.984 -44.240 -37.165 -44.290 -37.277 -44.897 -37.717
22.0 -47.340 -30.919 -43.617 -32.308 -44.022 -31.908 -44.030 -31.931 -44.523 -32.270
22.5 -47.939 -24.949 -45.755 -27.105 -44.808 -26.823 -44.799 -26.761 -45.252 -27.119
23.0 -48.538 -18.979 -47.789 -17.285 -47.090 -19.560 -47.019 -19.316 -46.934 -19.756
23.5 -49.137 -13.009 -49.354 -14.987 -48.638 -14.398 -48.548 -14.272 -48.602 -14.292
24.0 -49.736 -7.039 -50.349 -6.079 -49.883 -7.504 -49.844 -7.325 -49.789 -7.395
24.5 -50.335 -1.069 -46.305 1.282 -47.620 0.197 -47.627 0.316 -48.323 -0.126
25.0 -50.934 4.901 -52.579 3.231 -50.818 5.058 -50.786 4.873 -51.164 4.725
25.5 -51.533 10.871 -50.611 12.676 -50.727 11.727 -50.699 11.657 -51.027 11.680
26.0 -52.132 16.841 -53.782 20.069 -52.575 18.754 -52.571 18.746 -52.747 18.696
26.5 -52.731 22.811 -51.232 20.856 -52.730 23.453 -52.655 23.168 -52.807 23.469
27.0 -53.330 28.781 -47.730 24.934 -50.318 27.679 -50.182 27.304 -49.743 27.407
27.5 -53.929 34.751 -52.591 33.605 -51.478 33.257 -51.394 33.060 -51.235 33.171
28.0 -54.528 40.721 -54.631 40.201 -53.437 39.312 -53.409 39.246 -53.425 39.192
28.5 -55.127 46.691 -55.425 49.521 -54.881 46.546 -54.909 46.639 -54.706 46.476
29.0 -55.726 52.661 -60.215 54.080 -58.690 52.959 -58.739 53.034 -58.581 52.725
29.5 -56.325 58.631 -60.489 58.046 -60.954 58.436 -60.975 58.405 -61.018 58.236
30.0 -56.924 64.601 -60.416 64.622 -61.774 64.564 -61.766 64.486 -61.676 64.295
