k t x y
0 0.0 0.00 5.00
1 0.5 0.00 9.00
2 1.0 0.00 13.00
3 1.5 0.00 17.00
4 2.0 0.00 21.00
5 2.5 0.00 25.00
6 3.0 0.00 29.00
7 3.5 0.00 33.00
8 4.0 0.00 37.00
9 4.5 -0.98 40.84
10 5.0 -3.68 43.73
11 5.5 -7.04 45.89
12 6.0 -10.41 48.05
13 6.5 -13.78 50.22
14 7.0 -17.14 52.38
15 7.5 -19.84 55.27
16 8.0 -20.82 59.11
17 8.5 -20.82 63.11
18 9.0 -20.82 67.11
19 9.5 -20.82 71.11
20 10.0 -20.82 75.11
21 10.5 -20.82 79.11
22 11.0 -20.82 83.11
23 11.5 -20.82 87.11
24 12.0 -20.82 91.11
25 12.5 -20.82 95.11
26 13.0 -20.82 99.11
27 13.5 -20.82 103.11
28 14.0 -20.82 107.11
29 14.5 -20.82 111.11
30 15.0 -20.82 115.11
