x1 y1 x2 y2 x3 y3
0.50 36.27 24.80 66.76 -18.60 75.92
-0.76 34.61 38.69 40.59 -19.51 72.96
-0.65 34.59 17.04 27.22 -15.03 75.90
0.91 33.07 -26.35 53.23 -12.53 76.77
-0.90 35.22 -18.97 46.54 -22.28 70.53
-0.57 35.47 -18.75 62.37 -14.24 77.14
-0.52 33.67 -20.26 56.55 -23.91 72.22
-1.92 32.90 -26.85 31.89 -24.05 71.76
0.10 34.48 27.03 49.74 -10.63 73.86
-1.81 35.54 -32.46 38.13 -20.11 72.07
-2.22 33.00 -24.84 58.65 -15.29 73.86
-0.39 33.70 -24.05 32.33 -20.68 69.83
1.19 35.31 -30.11 39.24 -20.11 72.07
-1.70 34.15 22.95 44.01 -18.02 74.03
-0.84 34.76 -24.84 40.07 -17.24 74.42
-1.88 31.69 -26.46 51.41 -20.11 72.07
-1.51 34.85 -22.50 60.60 -10.63 73.86
-0.90 36.74 -24.66 50.95 -10.11 75.45
0.03 33.56 -28.21 32.05 -18.02 74.03
0.56 33.82 22.97 49.46 -9.96 76.21
1.34 34.29 -24.85 51.93 -15.29 73.86
-0.28 33.46 -24.44 37.51 -18.02 74.03
-0.65 32.92 -0.98 59.82 -17.24 74.42
0.56 33.78 23.08 37.17 -9.96 76.21
-1.48 35.74 -31.23 44.74 -19.13 71.04
-0.47 34.65 25.84 46.60 -15.03 75.90
-2.04 34.45 -28.87 53.00 -19.13 71.04
-0.71 33.67 -35.56 49.90 -15.29 73.86
-0.40 33.78 -12.65 56.16 -20.68 69.83
-0.10 33.29 -19.98 44.27 -12.53 76.77
-1.80 33.97 24.91 52.88 -18.02 74.03
1.79 35.01 17.94 32.56 -19.51 72.96
-0.05 35.17 -29.31 55.61 -19.13 71.04
-0.34 36.16 -31.34 47.97 -22.46 67.53
-1.71 34.17 -25.43 34.58 -18.02 74.03
-1.36 35.78 23.30 53.83 -20.47 75.63
1.31 35.41 -29.58 52.04 -13.35 70.88
-0.82 33.29 -35.65 48.45 -15.29 73.86
0.33 33.45 -20.06 51.56 -15.29 73.86
0.46 33.83 -9.29 54.36 -18.60 75.92
1.76 36.99 25.73 32.91 -19.51 72.96
0.00 35.95 -21.89 32.66 -22.28 70.53
0.37 32.94 -30.16 42.02 -20.11 72.07
-0.34 36.16 -29.87 43.76 -18.60 75.92
-0.23 35.21 22.45 32.29 -15.03 75.90
-2.98 31.99 -10.68 60.63 -20.68 69.83
-1.97 33.70 -20.53 61.96 -24.05 71.76
-0.72 35.29 17.93 55.16 -19.51 72.96
0.14 35.42 -21.41 68.53 -10.63 73.86
-0.90 36.74 -24.61 36.13 -9.96 76.21
0.33 33.51 23.74 32.77 -15.29 73.86
-1.79 33.89 -7.92 56.26 -18.02 74.03
-0.84 34.76 -25.48 41.31 -17.24 74.42
-2.07 33.47 18.33 40.79 -17.24 74.42
0.94 35.29 24.27 60.11 -19.51 72.96
