k4x k4y k8x k8y k12x k12y
-2.2554 -10.8934 -1.7655 -13.1504 -0.9100 -15.4073
-2.2637 -10.7673 -1.7858 -12.8412 -0.9454 -14.8675
-2.2884 -10.6433 -1.8462 -12.5374 -1.0509 -14.3369
-2.3290 -10.5235 -1.9458 -12.2440 -1.2248 -13.8246
-2.3849 -10.4102 -2.0828 -11.9662 -1.4641 -13.3395
-2.4552 -10.3050 -2.2549 -11.7086 -1.7646 -12.8897
-2.5385 -10.2100 -2.4592 -11.4757 -2.1213 -12.4829
-2.6336 -10.1266 -2.6921 -11.2714 -2.5280 -12.1262
-2.7387 -10.0564 -2.9496 -11.0993 -2.9778 -11.8257
-2.8521 -10.0005 -3.2275 -10.9623 -3.4630 -11.5864
-2.9718 -9.9598 -3.5208 -10.8627 -3.9753 -11.4125
-3.0958 -9.9352 -3.8247 -10.8023 -4.5058 -11.3070
-3.2219 -9.9269 -4.1338 -10.7820 -5.0457 -11.2716
-3.3481 -9.9352 -4.4429 -10.8023 -5.5855 -11.3070
-3.4721 -9.9598 -4.7468 -10.8627 -6.1160 -11.4125
-3.5918 -10.0005 -5.0401 -10.9623 -6.6283 -11.5864
-3.7052 -10.0564 -5.3180 -11.0993 -7.1135 -11.8257
-3.8103 -10.1266 -5.5755 -11.2714 -7.5633 -12.1262
-3.9054 -10.2100 -5.8085 -11.4757 -7.9700 -12.4829
-3.9887 -10.3050 -6.0127 -11.7086 -8.3267 -12.8897
-4.0590 -10.4102 -6.1848 -11.9662 -8.6273 -13.3395
-4.1149 -10.5235 -6.3218 -12.2440 -8.8665 -13.8246
-4.1555 -10.6433 -6.4214 -12.5374 -9.0404 -14.3369
-4.1802 -10.7673 -6.4819 -12.8412 -9.1460 -14.8675
-4.1885 -10.8934 -6.5021 -13.1504 -9.1813 -15.4073
-4.1802 -11.0196 -6.4819 -13.4595 -9.1460 -15.9471
-4.1555 -11.1436 -6.4214 -13.7633 -9.0404 -16.4777
-4.1149 -11.2633 -6.3218 -14.0567 -8.8665 -16.9899
-4.0590 -11.3767 -6.1848 -14.3345 -8.6273 -17.4751
-3.9887 -11.4818 -6.0127 -14.5921 -8.3267 -17.9249
-3.9054 -11.5768 -5.8085 -14.8250 -7.9700 -18.3317
-3.8103 -11.6602 -5.5755 -15.0293 -7.5633 -18.6883
-3.7052 -11.7304 -5.3180 -15.2014 -7.1135 -18.9889
-3.5918 -11.7863 -5.0401 -15.3384 -6.6283 -19.2282
-3.4721 -11.8270 -4.7468 -15.4380 -6.1160 -19.4021
-3.3481 -11.8516 -4.4429 -15.4984 -5.5855 -19.5076
-3.2219 -11.8599 -4.1338 -15.5187 -5.0457 -19.5430
-3.0958 -11.8516 -3.8247 -15.4984 -4.5058 -19.5076
-2.9718 -11.8270 -3.5208 -15.4380 -3.9753 -19.4021
-2.8521 -11.7863 -3.2275 -15.3384 -3.4630 -19.2282
-2.7387 -11.7304 -2.9496 -15.2014 -2.9778 -18.9889
-2.6336 -11.6602 -2.6921 -15.0293 -2.5280 -18.6883
-2.5385 -11.5768 -2.4592 -14.8250 -2.1213 -18.3317
-2.4552 -11.4818 -2.2549 -14.5921 -1.7646 -17.9249
-2.3849 -11.3767 -2.0828 -14.3345 -1.4641 -17.4751
-2.3290 -11.2633 -1.9458 -14.0567 -1.2248 -16.9899
-2.2884 -11.1436 -1.8462 -13.7633 -1.0509 -16.4777
-2.2637 -11.0196 -1.7858 -13.4595 -0.9454 -15.9471
-2.2554 -10.8934 -1.7655 -13.1504 -0.9100 -15.4073
