e4x e4y e8x e8y e12x e12y k4x k4y k8x k8y k12x k12y
-10.7781 -1.3918 -12.4820 -2.5938 -14.3916 -3.5149 -8.9559 -1.3590 -8.2647 -2.9541 -7.2080 -4.5492
-10.8365 -1.3625 -12.5628 -2.5529 -14.4895 -3.4651 -8.9642 -1.2329 -8.2850 -2.6450 -7.2433 -4.0094
-10.8921 -1.3295 -12.6392 -2.5064 -14.5821 -3.4081 -8.9889 -1.1089 -8.3454 -2.3411 -7.3489 -3.4788
-10.9438 -1.2935 -12.7101 -2.4551 -14.6677 -3.3450 -9.0295 -0.9892 -8.4450 -2.0478 -7.5228 -2.9665
-10.9908 -1.2550 -12.7742 -2.3999 -14.7449 -3.2768 -9.0854 -0.8758 -8.5820 -1.7699 -7.7620 -2.4813
-11.0322 -1.2147 -12.8304 -2.3417 -14.8125 -3.2047 -9.1557 -0.7707 -8.7541 -1.5124 -8.0626 -2.0315
-11.0674 -1.1734 -12.8777 -2.2815 -14.8691 -3.1299 -9.2390 -0.6756 -8.9584 -1.2794 -8.4193 -1.6248
-11.0957 -1.1316 -12.9154 -2.2204 -14.9139 -3.0537 -9.3341 -0.5922 -9.1913 -1.0752 -8.8260 -1.2681
-11.1167 -1.0902 -12.9428 -2.1594 -14.9461 -2.9774 -9.4392 -0.5220 -9.4489 -0.9031 -9.2758 -0.9676
-11.1301 -1.0498 -12.9594 -2.0995 -14.9652 -2.9024 -9.5526 -0.4661 -9.7267 -0.7661 -9.7610 -0.7283
-11.1355 -1.0112 -12.9649 -2.0418 -14.9708 -2.8298 -9.6723 -0.4255 -10.0201 -0.6665 -10.2733 -0.5544
-11.1329 -0.9749 -12.9593 -1.9872 -14.9628 -2.7610 -9.7963 -0.4008 -10.3239 -0.6060 -10.8038 -0.4489
-11.1223 -0.9416 -12.9426 -1.9368 -14.9413 -2.6971 -9.9224 -0.3925 -10.6330 -0.5858 -11.3436 -0.4135
-11.1039 -0.9120 -12.9152 -1.8912 -14.9068 -2.6392 -10.0486 -0.4008 -10.9422 -0.6060 -11.8835 -0.4489
-11.0781 -0.8864 -12.8774 -1.8514 -14.8597 -2.5883 -10.1726 -0.4255 -11.2460 -0.6665 -12.4140 -0.5544
-11.0453 -0.8653 -12.8300 -1.8181 -14.8011 -2.5452 -10.2923 -0.4661 -11.5394 -0.7661 -12.9263 -0.7283
-11.0059 -0.8491 -12.7738 -1.7917 -14.7317 -2.5108 -10.4057 -0.5220 -11.8172 -0.9031 -13.4115 -0.9676
-10.9608 -0.8381 -12.7096 -1.7727 -14.6528 -2.4856 -10.5108 -0.5922 -12.0748 -1.0752 -13.8613 -1.2681
-10.9107 -0.8324 -12.6387 -1.7615 -14.5658 -2.4700 -10.6059 -0.6756 -12.3077 -1.2794 -14.2680 -1.6248
-10.8564 -0.8322 -12.5622 -1.7582 -14.4722 -2.4643 -10.6892 -0.7707 -12.5120 -1.5124 -14.6247 -2.0315
-10.7988 -0.8374 -12.4815 -1.7630 -14.3735 -2.4686 -10.7595 -0.8758 -12.6841 -1.7699 -14.9253 -2.4813
-10.7390 -0.8480 -12.3978 -1.7757 -14.2714 -2.4828 -10.8154 -0.9892 -12.8211 -2.0478 -15.1645 -2.9665
-10.6780 -0.8638 -12.3127 -1.7961 -14.1677 -2.5067 -10.8560 -1.1089 -12.9207 -2.3411 -15.3384 -3.4788
-10.6168 -0.8844 -12.2277 -1.8238 -14.0642 -2.5398 -10.8807 -1.2329 -12.9811 -2.6450 -15.4439 -4.0094
-10.5565 -0.9097 -12.1440 -1.8584 -13.9626 -2.5817 -10.8890 -1.3590 -13.0014 -2.9541 -15.4793 -4.5492
-10.4980 -0.9390 -12.0633 -1.8993 -13.8647 -2.6315 -10.8807 -1.4852 -12.9811 -3.2632 -15.4439 -5.0890
-10.4425 -0.9720 -11.9868 -1.9458 -13.7722 -2.6885 -10.8560 -1.6092 -12.9207 -3.5671 -15.3384 -5.6196
-10.3908 -1.0081 -11.9160 -1.9971 -13.6865 -2.7516 -10.8154 -1.7289 -12.8211 -3.8604 -15.1645 -6.1318
-10.3438 -1.0465 -11.8519 -2.0524 -13.6093 -2.8198 -10.7595 -1.8423 -12.6841 -4.1383 -14.9253 -6.6170
-10.3024 -1.0868 -11.7957 -2.1106 -13.5418 -2.8919 -10.6892 -1.9474 -12.5120 -4.3958 -14.6247 -7.0668
-10.2672 -1.1282 -11.7483 -2.1707 -13.4851 -2.9667 -10.6059 -2.0424 -12.3077 -4.6287 -14.2680 -7.4735
-10.2389 -1.1699 -11.7107 -2.2319 -13.4403 -3.0429 -10.5108 -2.1258 -12.0748 -4.8330 -13.8613 -7.8302
-10.2178 -1.2113 -11.6833 -2.2929 -13.4081 -3.1192 -10.4057 -2.1960 -11.8172 -5.0051 -13.4115 -8.1308
-10.2045 -1.2517 -11.6667 -2.3528 -13.3890 -3.1942 -10.2923 -2.2520 -11.5394 -5.1421 -12.9263 -8.3700
-10.1991 -1.2904 -11.6612 -2.4105 -13.3835 -3.2668 -10.1726 -2.2926 -11.2460 -5.2417 -12.4140 -8.5439
-10.2017 -1.3266 -11.6668 -2.4650 -13.3915 -3.3356 -10.0486 -2.3173 -10.9422 -5.3021 -11.8835 -8.6495
-10.2123 -1.3599 -11.6835 -2.5155 -13.4129 -3.3995 -9.9224 -2.3255 -10.6330 -5.3224 -11.3436 -8.6849
-10.2306 -1.3896 -11.7109 -2.5610 -13.4475 -3.4574 -9.7963 -2.3173 -10.3239 -5.3021 -10.8038 -8.6495
-10.2565 -1.4152 -11.7486 -2.6008 -13.4945 -3.5083 -9.6723 -2.2926 -10.0201 -5.2417 -10.2733 -8.5439
-10.2893 -1.4362 -11.7961 -2.6342 -13.5532 -3.5514 -9.5526 -2.2520 -9.7267 -5.1421 -9.7610 -8.3700
-10.3287 -1.4524 -11.8523 -2.6606 -13.6225 -3.5858 -9.4392 -2.1960 -9.4489 -5.0051 -9.2758 -8.1308
-10.3738 -1.4634 -11.9164 -2.6795 -13.7014 -3.6110 -9.3341 -2.1258 -9.1913 -4.8330 -8.8260 -7.8302
-10.4239 -1.4691 -11.9874 -2.6908 -13.7884 -3.6266 -9.2390 -2.0424 -8.9584 -4.6287 -8.4193 -7.4735
-10.4782 -1.4693 -12.0639 -2.6940 -13.8820 -3.6323 -9.1557 -1.9474 -8.7541 -4.3958 -8.0626 -7.0668
-10.5358 -1.4641 -12.1446 -2.6893 -13.9807 -3.6280 -9.0854 -1.8423 -8.5820 -4.1383 -7.7620 -6.6170
-10.5955 -1.4535 -12.2282 -2.6766 -14.0828 -3.6138 -9.0295 -1.7289 -8.4450 -3.8604 -7.5228 -6.1318
-10.6566 -1.4378 -12.3133 -2.6562 -14.1865 -3.5899 -8.9889 -1.6092 -8.3454 -3.5671 -7.3489 -5.6196
-10.7178 -1.4171 -12.3984 -2.6285 -14.2900 -3.5568 -8.9642 -1.4852 -8.2850 -3.2632 -7.2433 -5.0890
-10.7781 -1.3918 -12.4820 -2.5938 -14.3916 -3.5149 -8.9559 -1.3590 -8.2647 -2.9541 -7.2080 -4.5492
