t s1x s1y s2x s2y s3x s3y s4x s4y s5x s5y s6x s6y s7x s7y s8x s8y s9x s9y s10x s10y s11x s11y s12x s12y s13x s13y s14x s14y s15x s15y s16x s16y s17x s17y s18x s18y s19x s19y s20x s20y
0.0000 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756 -9.2490 0.2756
1.0000 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322 -9.5406 -0.1322
2.0000 -9.8981 -0.4999 -9.8996 -0.4984 -9.9015 -0.4973 -9.8997 -0.5001 -9.9079 -0.4894 -9.8974 -0.4999 -9.9059 -0.4966 -9.8817 -0.4970 -9.9018 -0.4961 -9.9225 -0.4928 -9.9019 -0.5021 -9.9329 -0.4855 -9.9077 -0.4967 -9.9067 -0.4921 -9.8979 -0.5008 -9.8973 -0.4979 -9.8879 -0.5062 -9.8792 -0.5049 -9.8958 -0.5028 -9.9115 -0.4883
3.0000 -10.2739 -0.8350 -10.2657 -0.8386 -10.2751 -0.8399 -10.2697 -0.8352 -10.2902 -0.8304 -10.2638 -0.8442 -10.2685 -0.8378 -10.2460 -0.8327 -10.2749 -0.8304 -10.2981 -0.8312 -10.2874 -0.8393 -10.3198 -0.8212 -10.2889 -0.8370 -10.2755 -0.8281 -10.2847 -0.8320 -10.2755 -0.8323 -10.2282 -0.8566 -10.2684 -0.8399 -10.2748 -0.8413 -10.2968 -0.8180
4.0000 -10.6766 -1.1468 -10.6343 -1.1630 -10.6469 -1.1685 -10.6634 -1.1491 -10.6649 -1.1499 -10.6710 -1.1593 -10.6625 -1.1517 -10.6223 -1.1480 -10.6638 -1.1412 -10.6760 -1.1504 -10.6650 -1.1532 -10.7451 -1.1250 -10.6665 -1.1567 -10.6556 -1.1455 -10.6750 -1.1455 -10.6802 -1.1416 -10.5878 -1.1836 -10.6693 -1.1470 -10.6737 -1.1577 -10.6965 -1.1239
5.0000 -11.0799 -1.4415 -11.0026 -1.4702 -11.0463 -1.4681 -11.0627 -1.4487 -11.0481 -1.4559 -11.0504 -1.4637 -11.0570 -1.4479 -11.0126 -1.4428 -11.0672 -1.4349 -11.0914 -1.4493 -11.0477 -1.4523 -11.1585 -1.4048 -11.0356 -1.4622 -11.0328 -1.4509 -11.0782 -1.4410 -11.0989 -1.4324 -10.9647 -1.4921 -11.0823 -1.4383 -11.0861 -1.4510 -11.1083 -1.4050
6.0000 -11.4755 -1.7193 -11.4232 -1.7409 -11.4507 -1.7479 -11.4566 -1.7331 -11.4367 -1.7459 -11.4659 -1.7415 -11.4556 -1.7268 -11.4230 -1.7203 -11.4874 -1.7019 -11.4897 -1.7372 -11.4772 -1.7181 -11.5837 -1.6677 -11.4534 -1.7381 -11.4226 -1.7380 -11.4979 -1.7100 -11.5329 -1.7080 -11.3658 -1.7755 -11.5132 -1.7026 -11.5271 -1.7238 -11.4872 -1.6880
7.0000 -11.8830 -1.9755 -11.8311 -2.0055 -11.8711 -2.0070 -11.8656 -1.9971 -11.8500 -2.0078 -11.8916 -1.9949 -11.8808 -1.9786 -11.8489 -1.9720 -11.8976 -1.9588 -11.9222 -1.9906 -11.9095 -1.9675 -12.0021 -1.9143 -11.8808 -1.9946 -11.8202 -2.0100 -11.9174 -1.9673 -11.9643 -1.9572 -11.7550 -2.0539 -11.9173 -1.9586 -11.9346 -1.9902 -11.9458 -1.9253
8.0000 -12.3195 -2.2145 -12.2656 -2.2417 -12.3092 -2.2488 -12.2951 -2.2404 -12.2801 -2.2490 -12.3634 -2.2181 -12.3265 -2.2133 -12.2864 -2.2081 -12.3210 -2.1980 -12.3466 -2.2343 -12.3621 -2.1927 -12.4333 -2.1474 -12.3162 -2.2336 -12.2335 -2.2687 -12.3546 -2.2013 -12.4088 -2.1950 -12.1469 -2.3190 -12.3658 -2.1874 -12.3720 -2.2333 -12.3874 -2.1576
9.0000 -12.7723 -2.4327 -12.7074 -2.4690 -12.7505 -2.4819 -12.7107 -2.4789 -12.7327 -2.4737 -12.8168 -2.4363 -12.7950 -2.4297 -12.7172 -2.4400 -12.7655 -2.4242 -12.7978 -2.4618 -12.8435 -2.3986 -12.9032 -2.3509 -12.7792 -2.4523 -12.6536 -2.5102 -12.7933 -2.4256 -12.9062 -2.3965 -12.5392 -2.5759 -12.8206 -2.4015 -12.8462 -2.4501 -12.8403 -2.3698
