h t ade_cv1 fde_cv1 ade_cv fde_cv ade_ca fde_ca ade_kf fde_kf ade_nll fde_nll ade_mse fde_mse ade_abs fde_abs ade_tf fde_tf ade_tr fde_tr ade_cv_straight ade_cv_turn ade_cv_evis ade_cv_ehid ade_nll_straight ade_nll_turn ade_nll_evis ade_nll_ehid
1.0000 0.2000 0.1522 0.1522 0.1234 0.1234 0.1251 0.1251 0.1197 0.1197 0.0994 0.0994 0.1068 0.1068 0.1748 0.1748 0.1180 0.1180 0.1161 0.1161 0.0991 0.1086 0.1953 0.0854 0.0769 0.1063 0.1404 0.0631
2.0000 0.4000 0.2130 0.2738 0.1731 0.2229 0.1778 0.2306 0.1689 0.2182 0.1336 0.1679 0.1397 0.1725 0.2274 0.2799 0.1614 0.2048 0.1553 0.1946 0.1194 0.1466 0.3201 0.1035 0.0904 0.1397 0.2184 0.0744
3.0000 0.6000 0.2821 0.4204 0.2335 0.3543 0.2429 0.3730 0.2285 0.3475 0.1765 0.2621 0.1795 0.2590 0.2889 0.4118 0.2160 0.3252 0.2004 0.2906 0.1403 0.1958 0.4725 0.1300 0.1072 0.1760 0.3193 0.0989
4.0000 0.8000 0.3601 0.5940 0.3044 0.5169 0.3203 0.5525 0.2983 0.5077 0.2273 0.3799 0.2268 0.3688 0.3643 0.5905 0.2812 0.4767 0.2517 0.4055 0.1614 0.2564 0.6473 0.1795 0.1273 0.2138 0.4392 0.1488
5.0000 1.0000 0.4466 0.7927 0.3850 0.7076 0.4096 0.7667 0.3779 0.6963 0.2857 0.5192 0.2815 0.5006 0.4512 0.7989 0.3554 0.6522 0.3089 0.5376 0.1828 0.3278 0.8382 0.2659 0.1513 0.2526 0.5711 0.2364
6.0000 1.2000 0.5412 1.0140 0.4745 0.9220 0.5103 1.0139 0.4663 0.9082 0.3506 0.6752 0.3429 0.6496 0.5490 1.0383 0.4378 0.8498 0.3717 0.6860 0.2043 0.4099 1.0404 0.3924 0.1797 0.2925 0.7102 0.3615
7.0000 1.4000 0.6431 1.2546 0.5718 1.1557 0.6219 1.2919 0.5624 1.1396 0.4211 0.8439 0.4097 0.8105 0.6571 1.3057 0.5277 1.0675 0.4394 0.8458 0.2260 0.5026 1.2504 0.5568 0.2124 0.3336 0.8533 0.5208
8.0000 1.6000 0.7513 1.5084 0.6757 1.4029 0.7437 1.5956 0.6651 1.3840 0.4958 1.0187 0.4806 0.9767 0.7741 1.5929 0.6244 1.3011 0.5112 1.0133 0.2476 0.6060 1.4653 0.7507 0.2490 0.3755 0.9984 0.7065
9.0000 1.8000 0.8648 1.7734 0.7852 1.6614 0.8748 1.9238 0.7734 1.6395 0.5738 1.1974 0.5545 1.1459 0.8987 1.8952 0.7272 1.5497 0.5864 1.1883 0.2694 0.7200 1.6837 0.9670 0.2891 0.4180 1.1444 0.9118
10.0000 2.0000 0.9831 2.0477 0.8996 1.9293 1.0149 2.2762 0.8865 1.9045 0.6542 1.3786 0.6307 1.3169 1.0302 2.2143 0.8357 1.8125 0.6648 1.3708 0.2912 0.8445 1.9045 1.1993 0.3323 0.4608 1.2911 1.1311
11.0000 2.2000 1.1057 2.3310 1.0184 2.2062 1.1639 2.6535 1.0040 2.1785 0.7368 1.5627 0.7089 1.4908 1.1689 2.5554 0.9497 2.0896 0.7464 1.5614 0.3130 0.9795 2.1270 1.4434 0.3782 0.5043 1.4380 1.3608
12.0000 2.4000 1.2321 2.6233 1.1412 2.4920 1.3216 3.0563 1.1254 2.4613 0.8213 1.7507 0.7889 1.6684 1.3149 2.9210 1.0691 2.3816 0.8307 1.7583 0.3349 1.1246 2.3510 1.6963 0.4267 0.5487 1.5852 1.5981
