epoch train_loss val_ade
1.0000 1.1901 1.3839
2.0000 0.6841 1.3454
3.0000 0.6461 1.2959
4.0000 0.4913 1.0220
5.0000 0.3112 0.9159
6.0000 0.2427 0.8583
7.0000 0.2257 0.8342
8.0000 0.1477 0.8297
9.0000 0.1301 0.8400
10.0000 0.1536 0.8720
11.0000 0.1164 0.8259
12.0000 0.0846 0.8203
13.0000 0.0859 0.8073
14.0000 0.0841 0.8120
15.0000 0.0603 0.8173
16.0000 0.0526 0.8113
17.0000 0.0278 0.8122
18.0000 0.0255 0.8115
19.0000 0.0129 0.8127
20.0000 0.0274 0.7978
21.0000 0.0058 0.8176
22.0000 0.0004 0.7987
23.0000 -0.0116 0.8075
24.0000 -0.0149 0.7918
25.0000 -0.0178 0.8199
26.0000 -0.0144 0.8140
27.0000 -0.0351 0.7923
28.0000 -0.0336 0.8042
29.0000 -0.0361 0.7959
30.0000 -0.0371 0.7967
31.0000 -0.0372 0.7947
32.0000 -0.0373 0.7859
33.0000 -0.0339 0.8004
34.0000 -0.0493 0.7858
35.0000 -0.0507 0.7858
36.0000 -0.0531 0.7818
37.0000 -0.0518 0.7864
38.0000 -0.0561 0.7950
39.0000 -0.0573 0.7952
40.0000 -0.0619 0.8089
