t x y vx vy ax ay ox oy sep err
0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -3.0000 5.4083 0.0000
0.1000 0.1000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.9200 5.2808 0.0000
0.2000 0.2000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.8400 5.1532 0.0000
0.3000 0.3000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.7600 5.0257 0.0000
0.4000 0.4000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -2.6800 4.8982 0.0000
0.5000 0.5000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.6000 4.7707 0.0000
0.6000 0.6000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.5200 4.6433 0.0000
0.7000 0.7000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.4400 4.5159 0.0000
0.8000 0.8000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.3600 4.3886 0.0000
0.9000 0.9000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.2800 4.2613 0.0000
1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.2000 4.1340 0.0000
1.1000 1.1000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.1200 4.0068 0.0000
1.2000 1.2000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -2.0400 3.8796 0.0000
1.3000 1.3000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.9600 3.7525 0.0000
1.4000 1.4000 0.0000 1.0000 0.0000 0.0000 0.0000 4.5000 -1.8800 3.6255 0.0000
1.5000 1.5000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.8000 3.4986 0.0000
1.6000 1.6000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.7200 3.3717 0.0000
1.7000 1.7000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.6400 3.2449 0.0000
1.8000 1.8000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.5600 3.1183 0.0000
1.9000 1.9000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.4800 2.9917 0.0000
2.0000 2.0000 0.0000 1.0000 0.0000 -0.0000 0.0000 4.5000 -1.4000 2.8653 0.0000
2.1000 2.1000 0.0000 1.0000 0.0000 -0.1765 0.0235 4.5000 -1.3200 2.7391 0.0000
2.2000 2.1991 0.0001 0.9823 0.0024 -0.3337 0.0160 4.5000 -1.2400 2.6138 0.0009
2.3000 2.2957 0.0004 0.9490 0.0040 -0.4264 -0.0290 4.5000 -1.1600 2.4911 0.0043
2.4000 2.3884 0.0007 0.9063 0.0011 -0.4555 -0.1083 4.5000 -1.0800 2.3720 0.0116
2.5000 2.4768 0.0002 0.8608 -0.0098 -0.4162 -0.2143 4.5000 -1.0000 2.2569 0.0232
2.6000 2.5608 -0.0018 0.8192 -0.0312 -0.2998 -0.3293 4.5000 -0.9200 2.1456 0.0392
2.7000 2.6412 -0.0066 0.7892 -0.0641 -0.1033 -0.4189 4.5000 -0.8400 2.0371 0.0591
2.8000 2.7196 -0.0151 0.7789 -0.1060 0.0494 -0.4510 4.5000 -0.7600 1.9299 0.0818
2.9000 2.7978 -0.0279 0.7838 -0.1511 0.0197 -0.4756 4.5000 -0.6800 1.8229 0.1060
3.0000 2.8762 -0.0454 0.7858 -0.1987 -0.0165 -0.4465 4.5000 -0.6000 1.7159 0.1318
3.1000 2.9547 -0.0675 0.7841 -0.2433 -0.0457 -0.3956 4.5000 -0.5200 1.6102 0.1602
3.2000 3.0329 -0.0938 0.7795 -0.2829 -0.0621 -0.3338 4.5000 -0.4400 1.5074 0.1916
