N rmsh seph failh rmss seps fails rmshl sephl failhl rmssl sepsl failsl
3 0.2999 0.9504 7 0.2617 0.9501 0 0.3800 0.8584 9 0.2669 0.8608 0
4 0.2357 1.0000 0 0.2357 1.0000 0 0.3800 0.8584 9 0.2303 0.8649 0
5 0.2274 1.0000 0 0.2275 1.0000 0 0.3800 0.8584 9 0.2146 0.8757 0
6 0.2201 1.0000 0 0.2201 1.0000 0 0.3800 0.8584 9 0.2047 0.8828 0
8 0.2115 1.0000 0 0.2128 0.9997 0 0.3800 0.8584 9 0.2047 0.8828 0
10 0.2081 1.0000 0 0.2081 1.0000 0 0.3800 0.8584 9 0.2047 0.8828 0
12 0.2074 1.0000 0 0.2074 1.0000 0 0.3800 0.8584 9 0.2047 0.8828 0
15 0.2081 1.0000 0 0.2081 1.0000 0 0.3800 0.8584 9 0.2047 0.8828 0
20 0.2091 1.0000 0 0.2090 0.9993 0 0.3800 0.8584 9 0.2047 0.8828 0
25 0.2087 1.0000 0 0.2087 0.9992 0 0.3800 0.8584 9 0.2047 0.8828 0
30 0.2085 1.0000 0 0.2086 0.9993 0 0.3800 0.8584 9 0.2047 0.8828 0
