t vx5 vx10 vx20 sep1 sep10 sep100
0.0000 1.0000 1.0000 1.0000 5.4083 5.4083 5.4083
0.1000 1.0000 1.0000 1.0000 5.2808 5.2808 5.2808
0.2000 1.0000 1.0000 1.0000 5.1532 5.1532 5.1532
0.3000 1.0000 1.0000 1.0000 5.0257 5.0257 5.0257
0.4000 1.0000 1.0000 1.0000 4.8982 4.8982 4.8982
0.5000 1.0000 1.0000 1.0000 4.7707 4.7707 4.7707
0.6000 1.0000 1.0000 1.0000 4.6433 4.6433 4.6433
0.7000 1.0000 1.0000 1.0000 4.5159 4.5159 4.5159
0.8000 1.0000 1.0000 1.0000 4.3886 4.3886 4.3886
0.9000 1.0000 1.0000 1.0000 4.2613 4.2613 4.2613
1.0000 1.0000 1.0000 1.0000 4.1340 4.1340 4.1340
1.1000 1.0000 1.0000 1.0000 4.0068 4.0068 4.0068
1.2000 1.0000 1.0000 1.0000 3.8796 3.8796 3.8796
1.3000 1.0000 1.0000 1.0000 3.7525 3.7525 3.7525
1.4000 1.0000 1.0000 1.0000 3.6255 3.6255 3.6255
1.5000 1.0000 1.0000 1.0000 3.4986 3.4986 3.4986
1.6000 1.0000 1.0000 1.0000 3.3717 3.3717 3.3717
1.7000 1.0000 1.0000 0.9933 3.2449 3.2449 3.2449
1.8000 1.0000 1.0000 0.9806 3.1183 3.1183 3.1183
1.9000 1.0000 1.0000 0.9641 2.9917 2.9917 2.9917
2.0000 1.0000 1.0000 0.9463 2.8653 2.8653 2.8653
2.1000 1.0000 1.0000 0.9298 2.7391 2.7391 2.7391
2.2000 1.0000 1.0000 0.9177 2.6132 2.6138 2.6138
2.3000 1.0000 1.0000 0.9133 2.4885 2.4911 2.4911
2.4000 1.0000 1.0000 0.9129 2.3652 2.3719 2.3720
2.5000 1.0000 1.0000 0.9088 2.2436 2.2561 2.2569
2.6000 1.0000 1.0000 0.9011 2.1238 2.1434 2.1456
2.7000 1.0000 0.9594 0.8900 2.0062 2.0334 2.0371
2.8000 1.0000 0.8859 0.8760 1.8910 1.9254 1.9299
2.9000 1.0000 0.7963 0.8596 1.7784 1.8182 1.8229
3.0000 1.0000 0.7056 0.8415 1.6684 1.7113 1.7159
3.1000 1.0000 0.6277 0.8226 1.5610 1.6055 1.6102
3.2000 0.8721 0.5762 0.8037 1.4562 1.5027 1.5074
3.3000 0.6776 0.5634 0.7861 1.3545 1.4046 1.4094
3.4000 0.4863 0.5915 0.7711 1.2565 1.3132 1.3182
3.5000 0.3360 0.6198 0.7604 1.1632 1.2308 1.2359
3.6000 0.2449 0.6476 0.7557 1.0758 1.1595 1.1647
3.7000 0.2199 0.6772 0.7593 0.9959 1.1010 1.1062
3.8000 0.2603 0.7117 0.7738 0.9250 1.0565 1.0614
3.9000 0.3601 0.7549 0.8018 0.8653 1.0259 1.0305
4.0000 0.5065 0.8107 0.8467 0.8192 1.0080 1.0119
4.1000 0.6464 0.8835 0.9120 0.7893 1.0000 1.0031
4.2000 0.7847 0.9783 1.0016 0.7775 0.9982 1.0000
4.3000 0.9282 1.0859 1.0929 0.7846 1.0000 1.0000
4.4000 1.0802 1.1795 1.1614 0.8102 1.0061 1.0043
4.5000 1.2158 1.2459 1.2093 0.8524 1.0197 1.0164
4.6000 1.3133 1.2898 1.2400 0.9089 1.0438 1.0395
4.7000 1.3790 1.3153 1.2568 0.9772 1.0803 1.0755
4.8000 1.4188 1.3261 1.2625 1.0553 1.1301 1.1250
4.9000 1.4375 1.3252 1.2596 1.1416 1.1926 1.1876
5.0000 1.4397 1.3156 1.2502 1.2347 1.2669 1.2621
5.1000 1.4292 1.2996 1.2362 1.3335 1.3513 1.3470
5.2000 1.4094 1.2791 1.2189 1.4369 1.4442 1.4404
5.3000 1.3829 1.2557 1.1997 1.5442 1.5442 1.5408
5.4000 1.3522 1.2308 1.1795 1.6546 1.6498 1.6469
5.5000 1.3190 1.2054 1.1592 1.7677 1.7599 1.7575
5.6000 1.2848 1.1804 1.1393 1.8830 1.8736 1.8716
5.7000 1.2509 1.1563 1.1202 2.0001 1.9902 1.9885
5.8000 1.2181 1.1336 1.1023 2.1188 2.1089 2.1076
5.9000 1.1870 1.1126 1.0859 2.2388 2.2294 2.2284
6.0000 1.1582 1.0935 1.0710 2.3599 2.3513 2.3505
6.1000 1.1318 1.0763 1.0576 2.4819 2.4743 2.4737
6.2000 1.1080 1.0611 1.0458 2.6048 2.5982 2.5978
6.3000 1.0869 1.0478 1.0356 2.7284 2.7228 2.7225
6.4000 1.0683 1.0363 1.0268 2.8526 2.8479 2.8477
6.5000 1.0523 1.0265 1.0193 2.9773 2.9735 2.9734
6.6000 1.0386 1.0184 1.0131 3.1025 3.0995 3.0995
6.7000 1.0271 1.0116 1.0080 3.2281 3.2257 3.2258
6.8000 1.0176 1.0061 1.0038 3.3540 3.3522 3.3523
6.9000 1.0099 1.0018 1.0006 3.4802 3.4789 3.4790
7.0000 1.0037 0.9984 0.9981 3.6066 3.6058 3.6059
7.1000 0.9988 0.9959 0.9962 3.7332 3.7328 3.7329
7.2000 0.9952 0.9941 0.9949 3.8601 3.8599 3.8601
7.3000 0.9925 0.9929 0.9941 3.9871 3.9871 3.9873
7.4000 0.9907 0.9921 0.9936 4.1142 4.1144 4.1145
7.5000 0.9896 0.9918 0.9934 4.2414 4.2417 4.2419
7.6000 0.9890 0.9918 0.9934 4.3687 4.3691 4.3692
7.7000 0.9889 0.9920 0.9936 4.4961 4.4966 4.4967
7.8000 0.9891 0.9923 0.9940 4.6235 4.6240 4.6241
7.9000 0.9895 0.9928 0.9944 4.7510 4.7515 4.7516
