k t xA yA xB yB sep ax_A ay_A ax_B ay_B
0 0.00 1.0000 4.0000 9.0000 4.5000 8.0000 2.0000 1.8333 -2.0000 1.1667
1 0.50 1.2500 4.2292 8.7500 4.6458 7.5000 2.0000 -0.0000 -2.0000 -0.0000
2 1.00 2.0000 4.6875 8.0000 4.9375 6.0000 1.0000 -0.0000 -1.0000 -0.0000
3 1.50 3.1250 5.1458 6.8750 5.2292 3.7500 -0.0000 -0.8333 -0.0000 -0.1667
4 2.00 4.3750 5.5000 5.6250 5.5000 1.2500 -0.0000 -2.0000 -0.0000 -2.0000
5 2.50 5.6250 5.5000 4.3750 5.5000 1.2500 -0.0000 -0.8333 -0.0000 -0.1667
6 3.00 6.8750 5.1458 3.1250 5.2292 3.7500 -1.0000 -0.0000 1.0000 -0.0000
7 3.50 8.0000 4.6875 2.0000 4.9375 6.0000 -2.0000 -0.0000 2.0000 -0.0000
8 4.00 8.7500 4.2292 1.2500 4.6458 7.5000 -2.0000 1.8333 2.0000 1.1667
9 4.50 9.0000 4.0000 1.0000 4.5000 8.0000 -0.0000 -0.0000 -0.0000 -0.0000
10 5.00 9.0000 4.0000 1.0000 4.5000 8.0000 0.0000 0.0000 0.0000 0.0000
11 5.50 9.0000 4.0000 1.0000 4.5000 8.0000 0.0000 0.0000 0.0000 0.0000
12 6.00 9.0000 4.0000 1.0000 4.5000 8.0000 0.0000 0.0000 0.0000 0.0000
