k t xA yA xB yB sep ax_A ay_A ax_B ay_B
0 0.00 1.0000 4.0000 9.0000 4.5000 8.0000 2.0000 2.0000 -2.0000 0.9091
1 0.50 1.2500 4.2500 8.7500 4.6136 7.5000 1.1111 -0.0000 -1.2727 -0.0000
2 1.00 1.8889 4.7500 8.0909 4.8409 6.2020 -0.0000 -0.0000 -0.0000 -0.0000
3 1.50 2.6667 5.2500 7.2727 5.0682 4.6061 -0.0000 -0.0000 -0.0000 -0.0000
4 2.00 3.4444 5.7500 6.4545 5.2955 3.0101 -0.0000 -0.0000 -0.0000 -0.1818
5 2.50 4.2222 6.2500 5.6364 5.5000 1.4141 -0.0000 -2.0000 -0.0000 -1.4545
6 3.00 5.0000 6.5000 4.8182 5.5000 1.0000 -0.0000 -2.0000 -0.0000 -0.0000
7 3.50 5.7778 6.2500 4.0000 5.3182 1.7778 -0.0000 -0.0000 -0.0000 -0.0000
8 4.00 6.5556 5.7500 3.1818 5.1364 3.3737 -0.0000 -0.0000 -0.0000 -0.0000
9 4.50 7.3333 5.2500 2.3636 4.9545 4.9697 -0.0000 -0.0000 0.3636 -0.0000
10 5.00 8.1111 4.7500 1.5909 4.7727 6.5202 -1.1111 -0.0000 2.0000 -0.0000
11 5.50 8.7500 4.2500 1.1136 4.5909 7.6364 -2.0000 2.0000 0.9091 0.7273
12 6.00 9.0000 4.0000 1.0000 4.5000 8.0000 0.0000 0.0000 0.0000 0.0000
