t err lmin lmax dint lam2 viol active
0.00000 0.00000 2.00000 2.82843 11.67262 4.00000 0.00000 0.00000
0.10000 0.00000 2.00000 2.82843 11.53126 4.00000 0.00000 0.00000
0.20000 0.00000 2.00000 2.82843 11.38991 4.00000 0.00000 0.00000
0.30000 0.00000 2.00000 2.82843 11.24856 4.00000 0.00000 0.00000
0.40000 0.00000 2.00000 2.82843 11.10720 4.00000 0.00000 0.00000
0.50000 0.00000 2.00000 2.82843 10.96586 4.00000 0.00000 0.00000
0.60000 0.00000 2.00000 2.82843 10.82451 4.00000 0.00000 0.00000
0.70000 0.00000 2.00000 2.82843 10.68316 4.00000 0.00000 0.00000
0.80000 0.00000 2.00000 2.82843 10.54182 4.00000 0.00000 0.00000
0.90000 0.00000 2.00000 2.82843 10.40048 4.00000 0.00000 0.00000
1.00000 0.00000 2.00000 2.82843 10.25914 4.00000 0.00000 0.00000
1.10000 0.00000 2.00000 2.82843 10.11781 4.00000 0.00000 0.00000
1.20000 0.00000 2.00000 2.82843 9.97647 4.00000 0.00000 0.00000
1.30000 0.00000 2.00000 2.82843 9.83514 4.00000 0.00000 0.00000
1.40000 0.00000 2.00000 2.82843 9.69381 4.00000 0.00000 0.00000
1.50000 0.00000 2.00000 2.82843 9.55249 4.00000 0.00000 0.00000
1.60000 0.00000 2.00000 2.82843 9.41116 4.00000 0.00000 0.00000
1.70000 0.00000 2.00000 2.82843 9.26984 4.00000 0.00000 0.00000
1.80000 0.00000 2.00000 2.82843 9.12853 4.00000 0.00000 0.00000
1.90000 0.00000 2.00000 2.82843 8.98721 4.00000 0.00000 0.00000
2.00000 0.00000 2.00000 2.82843 8.84590 4.00000 0.00000 0.00000
2.10000 0.00000 2.00000 2.82843 8.70460 4.00000 0.00000 0.00000
2.20000 0.00000 2.00000 2.82843 8.56329 4.00000 0.00000 0.00000
2.30000 0.00000 2.00000 2.82843 8.42200 4.00000 0.00000 0.00000
2.40000 0.00000 2.00000 2.82843 8.28070 4.00000 0.00000 0.00000
2.50000 0.00000 2.00000 2.82843 8.13941 4.00000 0.00000 0.00000
2.60000 0.00000 2.00000 2.82843 7.99812 4.00000 0.00000 0.00000
2.70000 0.00000 2.00000 2.82843 7.85684 4.00000 0.00000 0.00000
2.80000 0.00000 2.00000 2.82843 7.71557 4.00000 0.00000 0.00000
2.90000 0.00000 2.00000 2.82843 7.57430 4.00000 0.00000 0.00000
3.00000 0.00000 2.00000 2.82843 7.43303 4.00000 0.00000 0.00000
3.10000 0.00000 2.00000 2.82843 7.29178 4.00000 0.00000 0.00000
3.20000 0.00000 2.00000 2.82843 7.15052 4.00000 0.00000 0.00000
3.30000 0.00000 2.00000 2.82843 7.00928 4.00000 0.00000 0.00000
3.40000 0.00000 2.00000 2.82843 6.86804 4.00000 0.00000 0.00000
3.50000 0.00000 2.00000 2.82843 6.72681 4.00000 0.00000 0.00000
3.60000 0.00000 2.00000 2.82843 6.58559 4.00000 0.00000 0.00000
3.70000 0.00000 2.00000 2.82843 6.44438 4.00000 0.00000 0.00000
3.80000 0.00000 2.00000 2.82843 6.30317 4.00000 0.00000 0.00000
3.90000 0.00000 2.00000 2.82843 6.16198 4.00000 0.00000 0.00000
4.00000 0.00000 2.00000 2.82843 6.02080 4.00000 0.00000 0.00000
4.10000 0.00000 2.00000 2.82843 5.87963 4.00000 0.00000 0.00000
4.20000 0.00000 2.00000 2.82843 5.73847 4.00000 0.00000 0.00000
4.30000 0.00000 2.00000 2.82843 5.59732 4.00000 0.00000 0.00000
4.40000 0.00000 2.00000 2.82843 5.45619 4.00000 0.00000 0.00000
4.50000 0.00000 2.00000 2.82843 5.31507 4.00000 0.00000 0.00000
4.60000 0.00000 2.00000 2.82843 5.17397 4.00000 0.00000 0.00000
4.70000 0.00000 2.00000 2.82843 5.03289 4.00000 0.00000 0.00000
4.80000 0.00000 2.00000 2.82843 4.89183 4.00000 0.00000 0.00000
4.90000 0.00000 2.00000 2.82843 4.75079 4.00000 0.00000 0.00000
5.00000 0.00000 2.00000 2.82843 4.60977 4.00000 0.00000 0.00000
5.10000 0.00000 2.00000 2.82843 4.46878 4.00000 0.00000 0.00000
5.20000 0.00000 2.00000 2.82843 4.32782 4.00000 0.00000 0.00000
5.30000 0.00000 2.00000 2.82843 4.18688 4.00000 0.00000 0.00000
5.40000 0.00000 2.00000 2.82843 4.04599 4.00000 0.00000 0.00000
5.50000 0.00000 2.00000 2.82843 3.90512 4.00000 0.00000 0.00000
5.60000 0.00000 2.00000 2.82843 3.76431 4.00000 0.00000 0.00000
5.70000 0.00000 2.00000 2.82843 3.62353 4.00000 0.00000 0.00000
5.80000 0.00000 2.00000 2.82843 3.48281 4.00000 0.00000 0.00000
5.90000 0.00000 2.00000 2.82843 3.34215 4.00000 0.00000 0.00000
6.00000 0.00000 2.00000 2.82843 3.20156 4.00000 0.00000 0.00000
6.10000 0.00000 2.00000 2.82843 3.06105 4.00000 0.00000 0.00000
6.20000 0.00000 2.00000 2.82843 2.92062 4.00000 0.00000 0.00000
