t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
0.00000 12.00000 3.00000 9.00000 1.00000 6.00000 11.00000 12.00000 3.00000 9.00000 1.00000 6.00000 11.00000 9.89949 9.89949 9.89949 9.89949
0.05000 11.57846 3.68746 8.36592 1.60286 6.00900 10.75630 11.42864 3.60232 8.39684 2.11937 6.13509 10.31773 8.83300 8.28759 9.76775 9.32934
0.10000 11.20819 4.26346 7.84871 2.12190 6.03245 10.52530 10.91354 4.11801 7.95447 3.01511 6.24504 9.75382 7.94214 6.96890 9.63776 8.79202
0.15000 10.88170 4.74592 7.42875 2.57072 6.06594 10.30697 10.45215 4.55893 7.63260 3.73425 6.33556 9.28651 7.19439 5.88311 9.50950 8.28565
0.20000 10.59268 5.14990 7.08964 2.96064 6.10604 10.10110 10.04101 4.93546 7.40072 4.31356 6.41095 8.89829 6.56283 4.98379 9.38295 7.80844
0.25000 10.33579 5.48802 6.81771 3.30100 6.15015 9.90733 9.67621 5.25663 7.23577 4.78183 6.47447 8.57509 6.02530 4.23490 9.25808 7.35872
0.30000 10.10652 5.77088 6.60153 3.59958 6.19628 9.72522 9.35363 5.53028 7.12033 5.16168 6.52859 8.30549 5.56378 3.60834 9.13487 6.93489
0.35000 9.90106 6.00736 6.43155 3.86282 6.24295 9.55426 9.06920 5.76321 7.04129 5.47087 6.57519 8.08024 5.16371 3.08197 9.01330 6.53548
0.40000 9.71616 6.20494 6.29982 4.09609 6.28909 9.39390 8.81896 5.96127 6.98883 5.72346 6.61569 7.89178 4.81340 2.63823 8.89335 6.15907
0.45000 9.54910 6.36988 6.19967 4.30385 6.33392 9.24359 8.59922 6.12951 6.95559 5.93053 6.65121 7.73394 4.50356 2.26304 8.77500 5.80434
0.50000 9.39753 6.50744 6.12557 4.48981 6.37691 9.10275 8.40653 6.27229 6.93608 6.10088 6.68259 7.60164 4.22685 1.94503 8.65822 5.47005
0.55000 9.25948 6.62205 6.07288 4.65707 6.41770 8.97082 8.23775 6.39332 6.92623 6.24151 6.71049 7.49070 3.97746 1.67494 8.54300 5.15500
0.60000 9.13327 6.71740 6.03773 4.80824 6.45611 8.84726 8.09004 6.49582 6.92304 6.35800 6.73544 7.39765 3.75082 1.44519 8.42930 4.85810
0.65000 9.01745 6.79662 6.01692 4.94547 6.49201 8.73153 7.96083 6.58253 6.92432 6.45483 6.75785 7.31964 3.54334 1.24949 8.31713 4.57830
0.70000 8.91081 6.86231 6.00774 5.07059 6.52541 8.62314 7.84784 6.65579 6.92847 6.53557 6.77806 7.25427 3.35218 1.08260 8.20644 4.31462
0.75000 8.81228 6.91668 6.00798 5.18514 6.55633 8.52160 7.74905 6.71760 6.93434 6.60312 6.79635 7.19954 3.17510 0.94018 8.09723 4.06612
0.80000 8.72097 6.96156 6.01577 5.29039 6.58485 8.42647 7.66266 6.76968 6.94112 6.65981 6.81293 7.15380 3.01029 0.81855 7.98947 3.83193
0.85000 8.63610 6.99851 6.02955 5.38745 6.61108 8.33730 7.58711 6.81350 6.94825 6.70752 6.82800 7.11563 2.85631 0.71460 7.88314 3.61123
0.90000 8.55700 7.02882 6.04806 5.47725 6.63515 8.25371 7.52099 6.85030 6.95533 6.74780 6.84172 7.08386 2.71200 0.62572 7.77824 3.40325
0.95000 8.48310 7.05358 6.07023 5.56057 6.65719 8.17533 7.46309 6.88115 6.96213 6.78190 6.85422 7.05751 2.57640 0.54967 7.67472 3.20724
1.00000 8.41390 7.07372 6.09517 5.63809 6.67735 8.10179 7.41237 6.90695 6.96848 6.81085 6.86564 7.03572 2.44870 0.48457 7.57259 3.02252
1.05000 8.34895 7.08998 6.12215 5.71038 6.69576 8.03278 7.36788 6.92847 6.97430 6.83549 6.87607 7.01779 2.32824 0.42877 7.47181 2.84844
1.10000 8.28788 7.10303 6.15059 5.77795 6.71256 7.96799 7.32882 6.94638 6.97954 6.85653 6.88561 7.00313 2.21445 0.38091 7.37237 2.68438
1.15000 8.23036 7.11339 6.17999 5.84124 6.72788 7.90714 7.29449 6.96122 6.98421 6.87452 6.89433 6.99122 2.10683 0.33980 7.27426 2.52978
1.20000 8.17609 7.12152 6.20994 5.90061 6.74186 7.84998 7.26427 6.97348 6.98832 6.88996 6.90233 6.98164 2.00497 0.30441 7.17745 2.38408
1.25000 8.12482 7.12780 6.24011 5.95640 6.75461 7.79625 7.23765 6.98356 6.99190 6.90324 6.90965 6.97401 1.90849 0.27389 7.08194 2.24677
1.30000 8.07632 7.13255 6.27025 6.00889 6.76624 7.74574 7.21415 6.99179 6.99498 6.91468 6.91637 6.96803 1.81704 0.24748 6.98769 2.11736
1.35000 8.03038 7.13603 6.30014 6.05835 6.77686 7.69824 7.19337 6.99849 6.99762 6.92457 6.92253 6.96343 1.73032 0.22457 6.89470 1.99542
1.40000 7.98683 7.13846 6.32961 6.10500 6.78656 7.65354 7.17497 7.00388 6.99985 6.93313 6.92818 6.95999 1.64807 0.20460 6.80294 1.88049
1.45000 7.94549 7.14004 6.35853 6.14903 6.79543 7.61148 7.15866 7.00818 7.00171 6.94056 6.93338 6.95751 1.57002 0.18713 6.71241 1.77218
1.50000 7.90623 7.14091 6.38678 6.19064 6.80355 7.57188 7.14415 7.01157 7.00325 6.94703 6.93816 6.95583 1.49595 0.17177 6.62308 1.67012
1.55000 7.86892 7.14120 6.41430 6.22999 6.81099 7.53460 7.13124 7.01420 7.00451 6.95267 6.94256 6.95482 1.42563 0.15820 6.53494 1.57393
1.60000 7.83342 7.14102 6.44103 6.26722 6.81783 7.49948 7.11971 7.01619 7.00553 6.95761 6.94660 6.95435 1.35888 0.14614 6.44797 1.48328
1.65000 7.79964 7.14047 6.46691 6.30247 6.82412 7.46639 7.10941 7.01766 7.00633 6.96193 6.95033 6.95434 1.29551 0.13537 6.36216 1.39785
1.70000 7.76747 7.13961 6.49193 6.33587 6.82991 7.43521 7.10018 7.01869 7.00694 6.96573 6.95377 6.95469 1.23533 0.12570 6.27749 1.31734
1.75000 7.73683 7.13850 6.51607 6.36752 6.83526 7.40582 7.09190 7.01936 7.00740 6.96907 6.95695 6.95533 1.17820 0.11697 6.19395 1.24147
1.80000 7.70762 7.13721 6.53932 6.39753 6.84021 7.37812 7.08445 7.01974 7.00772 6.97202 6.95988 6.95620 1.12394 0.10905 6.11152 1.16997
1.85000 7.67976 7.13577 6.56168 6.42600 6.84480 7.35200 7.07773 7.01988 7.00792 6.97463 6.96258 6.95726 1.07243 0.10183 6.03019 1.10258
1.90000 7.65319 7.13421 6.58316 6.45301 6.84906 7.32737 7.07165 7.01982 7.00803 6.97695 6.96509 6.95846 1.02351 0.09522 5.94993 1.03908
1.95000 7.62784 7.13257 6.60377 6.47864 6.85303 7.30414 7.06616 7.01960 7.00807 6.97900 6.96741 6.95976 0.97707 0.08915 5.87075 0.97924
2.00000 7.60364 7.13087 6.62353 6.50298 6.85674 7.28223 7.06117 7.01927 7.00803 6.98084 6.96955 6.96114 0.93298 0.08356 5.79262 0.92284
2.05000 7.58054 7.12912 6.64246 6.52610 6.86021 7.26157 7.05664 7.01884 7.00794 6.98248 6.97155 6.96257 0.89111 0.07838 5.71553 0.86969
2.10000 7.55848 7.12735 6.66057 6.54805 6.86347 7.24207 7.05250 7.01833 7.00781 6.98394 6.97339 6.96402 0.85137 0.07358 5.63947 0.81960
2.15000 7.53741 7.12556 6.67789 6.56891 6.86654 7.22368 7.04873 7.01777 7.00764 6.98526 6.97511 6.96549 0.81364 0.06911 5.56442 0.77239
2.20000 7.51728 7.12377 6.69445 6.58873 6.86943 7.20634 7.04529 7.01717 7.00744 6.98645 6.97670 6.96696 0.77784 0.06496 5.49037 0.72791
2.25000 7.49805 7.12198 6.71026 6.60757 6.87216 7.18997 7.04213 7.01654 7.00722 6.98751 6.97819 6.96841 0.74385 0.06107 5.41730 0.68598
2.30000 7.47966 7.12021 6.72536 6.62548 6.87476 7.17454 7.03923 7.01590 7.00699 6.98848 6.97956 6.96984 0.71160 0.05745 5.34521 0.64647
2.35000 7.46209 7.11844 6.73977 6.64250 6.87722 7.15998 7.03656 7.01524 7.00675 6.98936 6.98085 6.97124 0.68099 0.05405 5.27407 0.60924
2.40000 7.44529 7.11670 6.75351 6.65869 6.87956 7.14625 7.03411 7.01459 7.00649 6.99015 6.98205 6.97261 0.65195 0.05087 5.20389 0.57415
2.45000 7.42922 7.11498 6.76661 6.67409 6.88180 7.13330 7.03184 7.01394 7.00624 6.99087 6.98316 6.97394 0.62440 0.04789 5.13463 0.54108
2.50000 7.41385 7.11329 6.77910 6.68873 6.88394 7.12108 7.02975 7.01330 7.00598 6.99153 6.98420 6.97523 0.59827 0.04509 5.06630 0.50992
2.55000 7.39915 7.11162 6.79100 6.70266 6.88600 7.10957 7.02782 7.01268 7.00573 6.99213 6.98518 6.97647 0.57348 0.04246 4.99888 0.48055
2.60000 7.38509 7.10998 6.80234 6.71591 6.88797 7.09871 7.02602 7.01207 7.00547 6.99268 6.98609 6.97766 0.54997 0.03999 4.93235 0.45287
2.65000 7.37163 7.10837 6.81313 6.72852 6.88987 7.08848 7.02436 7.01148 7.00522 6.99319 6.98694 6.97881 0.52767 0.03766 4.86671 0.42679
2.70000 7.35875 7.10678 6.82341 6.74052 6.89170 7.07884 7.02282 7.01090 7.00498 6.99365 6.98773 6.97991 0.50653 0.03548 4.80194 0.40221
2.75000 7.34643 7.10523 6.83319 6.75193 6.89347 7.06976 7.02138 7.01035 7.00474 6.99408 6.98847 6.98097 0.48648 0.03342 4.73804 0.37905
2.80000 7.33462 7.10370 6.84249 6.76280 6.89518 7.06120 7.02005 7.00982 7.00451 6.99448 6.98917 6.98198 0.46747 0.03149 4.67499 0.35721
2.85000 7.32333 7.10220 6.85135 6.77315 6.89683 7.05315 7.01880 7.00931 7.00429 6.99484 6.98982 6.98294 0.44946 0.02967 4.61277 0.33664
