t rx ry x1 y1 x2 y2 x3 y3 x4 y4 err lam2 lmin lmax
0.00000 0.00000 0.00000 -1.00000 2.00000 -4.00000 3.00000 -3.00000 0.50000 0.50000 -0.50000 1.71998 1.00000 2.50000 5.70088
0.20000 0.20000 0.00000 -0.54370 1.71876 -3.47077 2.72984 -2.91748 0.45312 0.44989 -0.43484 1.39391 2.00000 2.34298 5.03853
0.40000 0.40000 0.00000 -0.22821 1.56132 -2.99570 2.48060 -2.53405 0.22620 0.28122 -0.29371 0.97409 2.00000 1.92371 4.29360
0.60000 0.60000 0.00000 0.03156 1.45345 -2.57509 2.26079 -2.22743 0.06106 0.27385 -0.25400 0.71849 2.00000 1.72455 3.80008
0.80000 0.80000 0.00000 0.27160 1.36517 -2.20570 2.07355 -1.95687 -0.07253 0.35870 -0.26870 0.56223 4.00000 1.63620 3.47308
1.00000 1.00000 0.00000 0.50395 1.28636 -1.81182 1.87484 -1.70372 -0.18861 0.43335 -0.27383 0.42568 4.00000 1.56178 3.10766
1.20000 1.20000 0.00000 0.73268 1.21346 -1.50650 1.73383 -1.45954 -0.29373 0.60000 -0.33075 0.37783 4.00000 1.54990 2.94955
1.40000 1.40000 0.00000 0.95919 1.14515 -1.24088 1.62099 -1.22048 -0.39098 0.80538 -0.40706 0.35178 4.00000 1.55981 2.88100
1.60000 1.60000 0.00000 1.18401 1.08084 -0.99364 1.52329 -0.98478 -0.48191 1.02646 -0.48889 0.33111 4.00000 1.57762 2.85126
1.80000 1.80000 0.00000 1.40738 1.02019 -0.75543 1.43491 -0.75158 -0.56735 1.25330 -0.57039 0.31236 4.00000 1.59802 2.83834
2.00000 2.00000 0.00000 1.62941 0.96296 -0.52214 1.35314 -0.52047 -0.64784 1.48165 -0.64915 0.29481 4.00000 1.61887 2.83273
2.20000 2.20000 0.00000 1.85020 0.90894 -0.29193 1.27669 -0.29120 -0.72373 1.70972 -0.72431 0.27827 4.00000 1.63928 2.83030
2.40000 2.40000 0.00000 2.06982 0.85796 -0.06393 1.20484 -0.06362 -0.79534 1.93678 -0.79559 0.26266 4.00000 1.65890 2.82924
2.60000 2.60000 0.00000 2.28834 0.80984 0.16226 1.13716 0.16240 -0.86292 2.16257 -0.86303 0.24793 4.00000 1.67759 2.82878
2.80000 2.80000 0.00000 2.50582 0.76441 0.38689 1.07333 0.38695 -0.92670 2.38703 -0.92675 0.23402 4.00000 1.69533 2.82858
3.00000 3.00000 0.00000 2.72232 0.72154 0.61009 1.01311 0.61012 -0.98691 2.61015 -0.98693 0.22090 4.00000 1.71214 2.82849
3.20000 3.20000 0.00000 2.93790 0.68107 0.83198 0.95628 0.83199 -1.04373 2.83200 -1.04374 0.20851 4.00000 1.72806 2.82846
3.40000 3.40000 0.00000 3.15260 0.64287 1.05263 0.90264 1.05263 -1.09737 3.05264 -1.09737 0.19681 4.00000 1.74311 2.82844
3.60000 3.60000 0.00000 3.36648 0.60681 1.27211 0.85201 1.27211 -1.14800 3.27212 -1.14800 0.18577 4.00000 1.75734 2.82843
3.80000 3.80000 0.00000 3.57957 0.57277 1.49050 0.80422 1.49051 -1.19578 3.49051 -1.19578 0.17535 4.00000 1.77080 2.82843
4.00000 4.00000 0.00000 3.79194 0.54065 1.70786 0.75911 1.70786 -1.24089 3.70787 -1.24089 0.16552 4.00000 1.78352 2.82843
4.20000 4.20000 0.00000 4.00361 0.51032 1.92425 0.71653 1.92425 -1.28347 3.92425 -1.28347 0.15624 4.00000 1.79555 2.82843
4.40000 4.40000 0.00000 4.21462 0.48170 2.13972 0.67634 2.13972 -1.32366 4.13972 -1.32366 0.14747 4.00000 1.80691 2.82843
4.60000 4.60000 0.00000 4.42502 0.45468 2.35432 0.63841 2.35432 -1.36159 4.35432 -1.36159 0.13920 4.00000 1.81765 2.82843
4.80000 4.80000 0.00000 4.63483 0.42918 2.56810 0.60260 2.56810 -1.39740 4.56810 -1.39740 0.13139 4.00000 1.82780 2.82843
5.00000 5.00000 0.00000 4.84410 0.40511 2.78110 0.56880 2.78110 -1.43120 4.78110 -1.43120 0.12402 4.00000 1.83739 2.82843
5.20000 5.20000 0.00000 5.05284 0.38239 2.99338 0.53690 2.99338 -1.46310 4.99338 -1.46310 0.11707 4.00000 1.84645 2.82843
5.40000 5.40000 0.00000 5.26110 0.36094 3.20497 0.50678 3.20497 -1.49322 5.20497 -1.49322 0.11050 4.00000 1.85500 2.82843
5.60000 5.60000 0.00000 5.46889 0.34069 3.41591 0.47836 3.41591 -1.52164 5.41591 -1.52164 0.10430 4.00000 1.86309 2.82843
5.80000 5.80000 0.00000 5.67624 0.32158 3.62623 0.45153 3.62623 -1.54847 5.62623 -1.54847 0.09845 4.00000 1.87073 2.82843
6.00000 6.00000 0.00000 5.88318 0.30355 3.83598 0.42620 3.83598 -1.57380 5.83598 -1.57380 0.09293 4.00000 1.87794 2.82843
6.20000 6.20000 0.00000 6.08974 0.28652 4.04518 0.40230 4.04518 -1.59770 6.04518 -1.59770 0.08772 4.00000 1.88475 2.82843
6.40000 6.40000 0.00000 6.29592 0.27045 4.25386 0.37973 4.25386 -1.62027 6.25386 -1.62027 0.08280 4.00000 1.89119 2.82843
6.60000 6.60000 0.00000 6.50176 0.25528 4.46206 0.35843 4.46206 -1.64157 6.46206 -1.64157 0.07815 4.00000 1.89726 2.82843
6.80000 6.80000 0.00000 6.70727 0.24096 4.66980 0.33833 4.66980 -1.66167 6.66980 -1.66167 0.07377 4.00000 1.90300 2.82843
7.00000 7.00000 0.00000 6.91247 0.22745 4.87710 0.31935 4.87710 -1.68065 6.87710 -1.68065 0.06963 4.00000 1.90842 2.82843
7.20000 7.20000 0.00000 7.11738 0.21469 5.08399 0.30144 5.08399 -1.69856 7.08399 -1.69856 0.06573 4.00000 1.91354 2.82843
7.40000 7.40000 0.00000 7.32201 0.20265 5.29050 0.28453 5.29050 -1.71547 7.29050 -1.71547 0.06204 4.00000 1.91837 2.82843
7.60000 7.60000 0.00000 7.52639 0.19128 5.49664 0.26857 5.49664 -1.73143 7.49664 -1.73143 0.05856 4.00000 1.92294 2.82843
7.80000 7.80000 0.00000 7.73052 0.18055 5.70244 0.25351 5.70244 -1.74649 7.70244 -1.74649 0.05528 4.00000 1.92725 2.82843
8.00000 8.00000 0.00000 7.93441 0.17043 5.90791 0.23929 5.90791 -1.76071 7.90791 -1.76071 0.05218 4.00000 1.93132 2.82843
8.20000 8.00000 0.20000 7.95423 0.34473 5.93274 0.40621 5.93274 -1.59379 7.93274 -1.59379 0.04605 4.00000 1.93864 2.82843
8.40000 8.00000 0.40000 7.95568 0.53773 5.93678 0.59437 5.93678 -1.40563 7.93678 -1.40563 0.04223 4.00000 1.94344 2.82843
8.60000 8.00000 0.60000 7.95780 0.73037 5.94041 0.78338 5.94041 -1.21662 7.94041 -1.21662 0.03945 4.00000 1.94707 2.82843
8.80000 8.00000 0.80000 7.96004 0.92318 5.94378 0.97307 5.94378 -1.02693 7.94378 -1.02693 0.03710 4.00000 1.95018 2.82843
9.00000 8.00000 1.00000 7.96224 1.11632 5.94695 1.16335 5.94695 -0.83665 7.94695 -0.83665 0.03497 4.00000 1.95302 2.82843
9.20000 8.00000 1.20000 7.96434 1.30980 5.94993 1.35419 5.94993 -0.64581 7.94993 -0.64581 0.03300 4.00000 1.95567 2.82843
9.40000 8.00000 1.40000 7.96634 1.50365 5.95274 1.54554 5.95274 -0.45446 7.95274 -0.45446 0.03114 4.00000 1.95816 2.82843
9.60000 8.00000 1.60000 7.96823 1.69784 5.95539 1.73737 5.95539 -0.26263 7.95539 -0.26263 0.02939 4.00000 1.96051 2.82843
9.80000 8.00000 1.80000 7.97001 1.89235 5.95789 1.92967 5.95789 -0.07033 7.95789 -0.07033 0.02774 4.00000 1.96272 2.82843
10.00000 8.00000 2.00000 7.97169 2.08717 5.96025 2.12240 5.96025 0.12240 7.96025 0.12240 0.02619 4.00000 1.96481 2.82843
10.20000 8.00000 2.20000 7.97328 2.28228 5.96248 2.31553 5.96248 0.31553 7.96248 0.31553 0.02472 4.00000 1.96678 2.82843
10.40000 8.00000 2.40000 7.97478 2.47767 5.96458 2.50905 5.96458 0.50905 7.96458 0.50905 0.02333 4.00000 1.96864 2.82843
10.60000 8.00000 2.60000 7.97619 2.67331 5.96657 2.70293 5.96657 0.70293 7.96657 0.70293 0.02202 4.00000 1.97040 2.82843
10.80000 8.00000 2.80000 7.97753 2.86920 5.96845 2.89716 5.96845 0.89716 7.96845 0.89716 0.02079 4.00000 1.97206 2.82843
11.00000 8.00000 3.00000 7.97879 3.06532 5.97022 3.09171 5.97022 1.09171 7.97022 1.09171 0.01962 4.00000 1.97363 2.82843
11.20000 8.00000 3.20000 7.97998 3.26165 5.97189 3.28657 5.97189 1.28657 7.97189 1.28657 0.01852 4.00000 1.97510 2.82843
11.40000 8.00000 3.40000 7.98110 3.45820 5.97346 3.48171 5.97346 1.48171 7.97346 1.48171 0.01748 4.00000 1.97650 2.82843
11.60000 8.00000 3.60000 7.98216 3.65493 5.97495 3.67713 5.97495 1.67713 7.97495 1.67713 0.01650 4.00000 1.97782 2.82843
11.80000 8.00000 3.80000 7.98316 3.85185 5.97636 3.87280 5.97636 1.87280 7.97636 1.87280 0.01558 4.00000 1.97906 2.82843
12.00000 8.00000 4.00000 7.98411 4.04894 5.97768 4.06872 5.97768 2.06872 7.97768 2.06872 0.01470 4.00000 1.98023 2.82843
12.20000 8.00000 4.20000 7.98500 4.24620 5.97893 4.26486 5.97893 2.26486 7.97893 2.26486 0.01388 4.00000 1.98134 2.82843
12.40000 8.00000 4.40000 7.98584 4.44361 5.98012 4.46123 5.98012 2.46123 7.98012 2.46123 0.01310 4.00000 1.98239 2.82843
12.60000 8.00000 4.60000 7.98663 4.64116 5.98123 4.65779 5.98123 2.65779 7.98123 2.65779 0.01237 4.00000 1.98338 2.82843
12.80000 8.00000 4.80000 7.98738 4.83885 5.98228 4.85455 5.98228 2.85455 7.98228 2.85455 0.01167 4.00000 1.98431 2.82843
13.00000 8.00000 5.00000 7.98809 5.03667 5.98328 5.05149 5.98328 3.05149 7.98328 3.05149 0.01102 4.00000 1.98519 2.82843
13.20000 8.00000 5.20000 7.98876 5.23462 5.98422 5.24860 5.98422 3.24860 7.98422 3.24860 0.01040 4.00000 1.98602 2.82843
13.40000 8.00000 5.40000 7.98939 5.43267 5.98510 5.44588 5.98510 3.44588 7.98510 3.44588 0.00982 4.00000 1.98680 2.82843
13.60000 8.00000 5.60000 7.98998 5.63084 5.98594 5.64330 5.98594 3.64330 7.98594 3.64330 0.00927 4.00000 1.98754 2.82843
13.80000 8.00000 5.80000 7.99055 5.82911 5.98673 5.84087 5.98673 3.84087 7.98673 3.84087 0.00875 4.00000 1.98824 2.82843
14.00000 8.00000 6.00000 7.99108 6.02748 5.98747 6.03858 5.98747 4.03858 7.98747 4.03858 0.00825 4.00000 1.98890 2.82843
14.20000 8.20000 6.00000 8.17544 6.04208 6.16851 6.05608 6.16851 4.05608 8.16851 4.05608 0.01105 4.00000 1.98601 2.82843
14.40000 8.40000 6.00000 8.37793 6.03860 6.37001 6.05320 6.37001 4.05320 8.37001 4.05320 0.01174 4.00000 1.98542 2.82843
14.60000 8.60000 6.00000 8.57954 6.03606 6.57160 6.05031 6.57160 4.05031 8.57160 4.05031 0.01153 4.00000 1.98578 2.82843
14.80000 8.80000 6.00000 8.78081 6.03392 6.77317 6.04751 6.77317 4.04751 8.77317 4.04751 0.01103 4.00000 1.98642 2.82843
