t x1 y1 x2 y2 x3 y3 x4 y4 err errc
0.00000 0.00000 0.00000 2.00000 0.00000 1.00000 1.50000 3.50000 3.00000 2.50000 1.79409
0.10000 -0.07257 -0.03900 1.92743 -0.03900 1.55399 1.71307 3.09115 2.86492 1.88680 1.49776
0.20000 -0.09296 -0.05686 1.90704 -0.05686 1.91912 1.85351 2.76680 2.76021 1.49564 1.29033
0.30000 -0.08159 -0.06154 1.91841 -0.06154 2.15977 1.94606 2.50341 2.67702 1.23931 1.13465
0.40000 -0.05167 -0.05822 1.94833 -0.05822 2.31837 2.00707 2.28496 2.60938 1.06215 1.01006
0.50000 -0.01168 -0.05025 1.98832 -0.05025 2.42291 2.04727 2.10045 2.55322 0.93098 0.90545
0.60000 0.03300 -0.03975 2.03300 -0.03975 2.49180 2.07377 1.94220 2.50573 0.82719 0.81479
0.70000 0.07901 -0.02810 2.07901 -0.02810 2.53721 2.09124 1.80477 2.46497 0.74074 0.73474
0.80000 0.12430 -0.01615 2.12430 -0.01615 2.56714 2.10275 1.68425 2.42955 0.66619 0.66330
0.90000 0.16769 -0.00440 2.16769 -0.00440 2.58687 2.11033 1.57776 2.39847 0.60055 0.59916
1.00000 0.20851 0.00683 2.20851 0.00683 2.59987 2.11533 1.48311 2.37100 0.54207 0.54140
1.10000 0.24648 0.01740 2.24648 0.01740 2.60844 2.11863 1.39861 2.34658 0.48961 0.48928
1.20000 0.28149 0.02722 2.28149 0.02722 2.61408 2.12080 1.32293 2.32477 0.44238 0.44223
1.30000 0.31361 0.03627 2.31361 0.03627 2.61780 2.12223 1.25498 2.30523 0.39979 0.39972
1.40000 0.34294 0.04457 2.34294 0.04457 2.62026 2.12318 1.19387 2.28769 0.36134 0.36130
1.50000 0.36965 0.05215 2.36965 0.05215 2.62187 2.12380 1.13882 2.27191 0.32660 0.32658
1.60000 0.39393 0.05905 2.39393 0.05905 2.62294 2.12421 1.08920 2.25770 0.29521 0.29520
1.70000 0.41596 0.06532 2.41596 0.06532 2.62364 2.12448 1.04443 2.24488 0.26684 0.26684
1.80000 0.43594 0.07101 2.43594 0.07101 2.62411 2.12466 1.00402 2.23332 0.24120 0.24120
1.90000 0.45403 0.07617 2.45403 0.07617 2.62441 2.12477 0.96753 2.22289 0.21803 0.21803
2.00000 0.47041 0.08084 2.47041 0.08084 2.62461 2.12485 0.93458 2.21346 0.19708 0.19708
2.10000 0.48523 0.08507 2.48523 0.08507 2.62474 2.12490 0.90480 2.20495 0.17814 0.17814
2.20000 0.49864 0.08890 2.49864 0.08890 2.62483 2.12494 0.87790 2.19726 0.16103 0.16103
2.30000 0.51076 0.09236 2.51076 0.09236 2.62489 2.12496 0.85358 2.19031 0.14556 0.14556
2.40000 0.52173 0.09550 2.52173 0.09550 2.62493 2.12497 0.83161 2.18403 0.13157 0.13157
2.50000 0.53165 0.09833 2.53165 0.09833 2.62495 2.12498 0.81176 2.17836 0.11893 0.11893
2.60000 0.54061 0.10089 2.54061 0.10089 2.62497 2.12499 0.79381 2.17323 0.10750 0.10750
2.70000 0.54872 0.10321 2.54872 0.10321 2.62498 2.12499 0.77759 2.16860 0.09717 0.09717
2.80000 0.55604 0.10530 2.55604 0.10530 2.62499 2.12499 0.76292 2.16441 0.08784 0.08784
2.90000 0.56267 0.10719 2.56267 0.10719 2.62499 2.12500 0.74967 2.16062 0.07940 0.07940
3.00000 0.56866 0.10890 2.56866 0.10890 2.62499 2.12500 0.73769 2.15720 0.07177 0.07177
3.10000 0.57407 0.11045 2.57407 0.11045 2.62500 2.12500 0.72686 2.15410 0.06487 0.06487
3.20000 0.57896 0.11185 2.57896 0.11185 2.62500 2.12500 0.71708 2.15131 0.05864 0.05864
3.30000 0.58339 0.11311 2.58339 0.11311 2.62500 2.12500 0.70823 2.14878 0.05301 0.05301
3.40000 0.58738 0.11425 2.58738 0.11425 2.62500 2.12500 0.70023 2.14650 0.04791 0.04791
3.50000 0.59100 0.11529 2.59100 0.11529 2.62500 2.12500 0.69301 2.14443 0.04331 0.04331
3.60000 0.59426 0.11622 2.59426 0.11622 2.62500 2.12500 0.68647 2.14256 0.03915 0.03915
3.70000 0.59722 0.11706 2.59722 0.11706 2.62500 2.12500 0.68057 2.14088 0.03539 0.03539
3.80000 0.59989 0.11782 2.59989 0.11782 2.62500 2.12500 0.67523 2.13935 0.03199 0.03199
3.90000 0.60230 0.11851 2.60230 0.11851 2.62500 2.12500 0.67040 2.13797 0.02891 0.02891
4.00000 0.60448 0.11914 2.60448 0.11914 2.62500 2.12500 0.66604 2.13673 0.02614 0.02614
4.10000 0.60645 0.11970 2.60645 0.11970 2.62500 2.12500 0.66210 2.13560 0.02363 0.02363
4.20000 0.60823 0.12021 2.60823 0.12021 2.62500 2.12500 0.65853 2.13458 0.02136 0.02136
4.30000 0.60985 0.12067 2.60985 0.12067 2.62500 2.12500 0.65531 2.13366 0.01930 0.01930
4.40000 0.61130 0.12109 2.61130 0.12109 2.62500 2.12500 0.65240 2.13283 0.01745 0.01745
4.50000 0.61262 0.12146 2.61262 0.12146 2.62500 2.12500 0.64977 2.13208 0.01577 0.01577
4.60000 0.61381 0.12180 2.61381 0.12180 2.62500 2.12500 0.64739 2.13140 0.01426 0.01426
4.70000 0.61488 0.12211 2.61488 0.12211 2.62500 2.12500 0.64524 2.13078 0.01289 0.01289
4.80000 0.61585 0.12239 2.61585 0.12239 2.62500 2.12500 0.64329 2.13023 0.01165 0.01165
4.90000 0.61673 0.12264 2.61673 0.12264 2.62500 2.12500 0.64153 2.12972 0.01053 0.01053
5.00000 0.61753 0.12287 2.61753 0.12287 2.62500 2.12500 0.63994 2.12927 0.00952 0.00952
5.10000 0.61825 0.12307 2.61825 0.12307 2.62500 2.12500 0.63851 2.12886 0.00860 0.00860
5.20000 0.61889 0.12326 2.61889 0.12326 2.62500 2.12500 0.63721 2.12849 0.00778 0.00778
5.30000 0.61948 0.12342 2.61948 0.12342 2.62500 2.12500 0.63604 2.12815 0.00703 0.00703
5.40000 0.62001 0.12357 2.62001 0.12357 2.62500 2.12500 0.63498 2.12785 0.00635 0.00635
5.50000 0.62049 0.12371 2.62049 0.12371 2.62500 2.12500 0.63402 2.12758 0.00574 0.00574
5.60000 0.62092 0.12384 2.62092 0.12384 2.62500 2.12500 0.63315 2.12733 0.00519 0.00519
5.70000 0.62132 0.12395 2.62132 0.12395 2.62500 2.12500 0.63237 2.12711 0.00469 0.00469
5.80000 0.62167 0.12405 2.62167 0.12405 2.62500 2.12500 0.63166 2.12690 0.00424 0.00424
5.90000 0.62199 0.12414 2.62199 0.12414 2.62500 2.12500 0.63102 2.12672 0.00383 0.00383
6.00000 0.62228 0.12422 2.62228 0.12422 2.62500 2.12500 0.63044 2.12656 0.00347 0.00347
6.10000 0.62254 0.12430 2.62254 0.12430 2.62500 2.12500 0.62992 2.12641 0.00313 0.00313
6.20000 0.62278 0.12436 2.62278 0.12436 2.62500 2.12500 0.62945 2.12627 0.00283 0.00283
6.30000 0.62299 0.12443 2.62299 0.12443 2.62500 2.12500 0.62902 2.12615 0.00256 0.00256
6.40000 0.62318 0.12448 2.62318 0.12448 2.62500 2.12500 0.62863 2.12604 0.00231 0.00231
6.50000 0.62336 0.12453 2.62336 0.12453 2.62500 2.12500 0.62828 2.12594 0.00209 0.00209
6.60000 0.62352 0.12458 2.62352 0.12458 2.62500 2.12500 0.62797 2.12585 0.00189 0.00189
6.70000 0.62366 0.12462 2.62366 0.12462 2.62500 2.12500 0.62768 2.12577 0.00171 0.00171
6.80000 0.62379 0.12465 2.62379 0.12465 2.62500 2.12500 0.62743 2.12569 0.00154 0.00154
6.90000 0.62390 0.12469 2.62390 0.12469 2.62500 2.12500 0.62719 2.12563 0.00140 0.00140
7.00000 0.62401 0.12472 2.62401 0.12472 2.62500 2.12500 0.62698 2.12557 0.00126 0.00126
7.10000 0.62410 0.12474 2.62410 0.12474 2.62500 2.12500 0.62679 2.12551 0.00114 0.00114
7.20000 0.62419 0.12477 2.62419 0.12477 2.62500 2.12500 0.62662 2.12546 0.00103 0.00103
7.30000 0.62427 0.12479 2.62427 0.12479 2.62500 2.12500 0.62646 2.12542 0.00093 0.00093
7.40000 0.62434 0.12481 2.62434 0.12481 2.62500 2.12500 0.62632 2.12538 0.00084 0.00084
7.50000 0.62440 0.12483 2.62440 0.12483 2.62500 2.12500 0.62620 2.12534 0.00076 0.00076
7.60000 0.62446 0.12485 2.62446 0.12485 2.62500 2.12500 0.62608 2.12531 0.00069 0.00069
