s sepa thra sepb thrb
0.0000 6.5086 0.8584 6.3767 0.8564
0.1000 6.3444 0.8728 6.2152 0.8704
0.2000 6.1801 0.8882 6.0537 0.8856
0.3000 6.0159 0.9046 5.8922 0.9016
0.4000 5.8516 0.9219 5.7308 0.9186
0.5000 5.6874 0.9399 5.5693 0.9364
0.6000 5.5231 0.9588 5.4078 0.9549
0.7000 5.3589 0.9783 5.2464 0.9742
0.8000 5.1946 0.9985 5.0849 0.9941
0.9000 5.0304 1.0193 4.9234 1.0147
1.0000 4.8661 1.0408 4.7619 1.0359
1.1000 4.7019 1.0628 4.6005 1.0577
1.2000 4.5377 1.0854 4.4390 1.0801
1.3000 4.3735 1.1086 4.2775 1.1030
1.4000 4.2092 1.1322 4.1161 1.1264
1.5000 4.0450 1.1564 3.9546 1.1504
1.6000 3.8808 1.1810 3.7931 1.1749
1.7000 3.7166 1.2062 3.6316 1.1998
1.8000 3.5524 1.2318 3.4702 1.2252
1.9000 3.3882 1.2579 3.3087 1.2511
2.0000 3.2240 1.2844 3.1472 1.2774
2.1000 3.0599 1.3113 2.9858 1.3042
2.2000 2.8957 1.3387 2.8243 1.3314
2.3000 2.7316 1.3665 2.6628 1.3591
2.4000 2.5675 1.3948 2.5014 1.3871
2.5000 2.4034 1.4234 2.3399 1.4156
2.6000 2.2393 1.4524 2.1784 1.4445
2.7000 2.0753 1.4819 2.0169 1.4737
2.8000 1.9113 1.5117 1.8555 1.5034
2.9000 1.7474 1.5419 1.6940 1.5335
3.0000 1.5835 1.5725 1.5325 1.5639
