t sepA sepB sepC dmate eF driftA driftC avA avC rpA rpC conn
0.0000 12.0017 7.3239 12.1342 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.1000 11.8417 7.2176 11.9760 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.2000 11.6817 7.1116 11.8179 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.3000 11.5217 7.0059 11.6598 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.4000 11.3618 6.9006 11.5017 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.5000 11.2018 6.7956 11.3437 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.6000 11.0418 6.6910 11.1858 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.7000 10.8818 6.5868 11.0279 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.8000 10.7219 6.4831 10.8701 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
0.9000 10.5619 6.3798 10.7123 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
1.0000 10.4019 6.2769 10.5546 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
1.1000 10.2420 6.1746 10.3970 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
1.2000 10.0820 6.0728 10.2395 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
1.3000 9.9220 5.9715 10.0820 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
1.4000 9.7620 5.8707 9.9246 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
