pr_k2m0_none pr_k2m0_local pr_k2m0_replan pr_k2m0_hybrid dmin_k2_none pr_k2m1_none dmin_k2_local pr_k2m1_local dmin_k2_replan pr_k2m1_replan dmin_k2_hybrid pr_k2m1_hybrid pr_k4m0_none pr_k4m0_local pr_k4m0_replan pr_k4m0_hybrid dmin_k4_none pr_k4m1_none dmin_k4_local pr_k4m1_local dmin_k4_replan pr_k4m1_replan dmin_k4_hybrid pr_k4m1_hybrid
0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 1.1034 1.0959 1.9779 1.0756 1.2449 1.1753 0.9993 0.9993 0.9993 0.9993 0.0000 0.9993 0.9658 1.0272 1.7667 1.0334 0.9658 1.0272
0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 1.0042 1.0506 1.8424 1.2883 1.0042 1.0904 0.9990 0.9990 0.9990 0.9990 0.0001 0.9990 0.9615 1.0492 1.6963 1.0803 0.9615 1.1087
0.9989 0.9989 0.9989 0.9989 0.0271 0.9989 1.1127 1.0519 1.4960 1.0820 1.1127 1.0519 0.9993 0.9993 0.9993 0.9993 1.9472 0.9993 1.9484 1.0033 2.9575 1.0114 1.9484 1.0033
0.9989 0.9989 0.9989 0.9989 0.0000 0.9989 1.3689 1.0199 1.5897 1.0698 1.3689 1.0316 0.9993 0.9993 0.9993 0.9993 0.0000 0.9993 1.0955 1.0288 2.0557 1.0772 1.1148 1.0612
0.9990 0.9990 0.9990 0.9990 0.0002 0.9990 0.9413 1.0078 0.9253 1.0194 0.9413 1.0078 0.9994 0.9994 0.9994 0.9994 0.0006 0.9994 0.7531 1.0241 1.0315 1.0420 0.7451 1.0256
0.9989 0.9989 0.9989 0.9989 0.8056 0.9989 1.1859 1.0214 1.1930 1.0899 1.7693 1.0458 0.9994 0.9994 0.9994 0.9994 2.2539 0.9994 2.2760 1.0046 3.5197 1.0297 2.2760 1.0046
0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 0.9106 1.0266 2.1061 1.0364 0.9106 1.1221 0.9992 0.9992 0.9992 0.9992 0.0000 0.9992 1.0964 1.0324 1.8876 1.0219 1.0964 1.0324
0.9990 0.9990 0.9990 0.9990 0.0002 0.9990 1.1169 1.0815 3.5305 1.0538 1.3586 1.0375 0.9993 0.9993 0.9993 0.9993 0.0001 0.9993 0.9708 1.0429 1.3957 1.2770 1.1542 1.0890
0.9989 0.9989 0.9989 0.9989 0.5482 0.9989 0.8033 1.0285 1.1496 1.0477 0.8033 1.0699 0.9988 0.9988 0.9988 0.9988 1.2747 0.9988 0.4363 1.0113 3.4475 1.0579 0.4363 1.0347
0.9989 0.9989 0.9989 0.9989 0.0000 0.9989 1.0918 1.0450 1.5300 1.0681 1.1273 1.0354 0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 1.0224 1.0287 2.2924 1.0872 1.0224 1.0237
0.9989 0.9989 0.9989 0.9989 0.0004 0.9989 0.8794 1.0268 1.3248 1.0336 0.9954 1.0259 0.9994 0.9994 0.9994 0.9994 0.0004 0.9994 0.9635 1.0195 0.9114 1.1277 0.9635 1.0296
0.9991 0.9991 0.9991 0.9991 2.4049 0.9991 2.6599 1.0051 3.9354 1.0094 2.6599 1.0051 0.9990 0.9990 0.9990 0.9990 0.3274 0.9990 1.0200 1.0150 2.3462 1.1253 1.0091 1.0423
0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 1.2634 1.0175 1.7106 1.0816 1.2634 1.0175 0.9995 0.9995 0.9995 0.9995 0.0000 0.9995 1.1933 1.0116 1.5373 1.0568 1.2053 1.0593
0.9989 0.9989 0.9989 0.9989 0.0002 0.9989 0.9203 1.0842 1.3173 0.9988 0.9203 1.1218 0.9994 0.9994 0.9994 0.9994 0.0002 0.9994 0.8828 1.0304 1.2451 1.0297 0.8828 1.0258
0.9989 0.9989 0.9989 0.9989 0.2104 0.9989 0.9770 1.0145 1.8364 1.0434 0.9770 1.0145 0.9994 0.9994 0.9994 0.9994 1.0212 0.9994 1.4767 1.0207 0.9694 1.0701 1.4767 1.0207
0.9990 0.9990 0.9990 0.9990 0.0000 0.9990 1.3528 1.0115 1.7720 1.0848 1.4033 1.0115 0.9994 0.9994 0.9994 0.9994 0.0000 0.9994 1.0711 1.0210 1.3361 1.0495 1.2344 1.0947
0.9989 0.9989 0.9989 0.9989 0.0000 0.9989 0.9311 1.0369 1.5207 1.1017 0.9311 1.1672 0.9993 0.9993 0.9993 0.9993 0.0003 0.9993 0.9758 1.0514 0.9094 1.0712 0.9758 1.0514
0.9990 0.9990 0.9990 0.9990 1.8384 0.9990 1.9399 1.0147 2.3422 1.1474 2.4024 1.0134 0.9991 0.9991 0.9991 0.9991 1.5262 0.9991 1.5933 1.0074 2.6727 1.0473 1.6973 1.0071
0.9989 0.9989 0.9989 0.9989 0.0000 0.9989 1.1726 1.0411 2.3478 1.0354 1.1726 1.1317 0.9992 0.9992 0.9992 0.9992 0.0000 0.9992 1.0073 1.0268 1.5272 1.0485 1.0073 1.0268
0.9989 0.9989 0.9989 0.9989 0.0003 0.9989 0.8459 1.0036 0.9067 1.0539 0.8459 1.0036 0.9989 0.9989 0.9989 0.9989 0.0002 0.9989 1.0554 1.1447 1.8811 1.2694 1.0554 1.2563
